,date,open,high,low,close,volume,Name
0,2013-02,73.2,74.44,70.73,72.98,4772024,IFF
1,2013-03,72.75,77.4,72.04,76.67,6657461,IFF
2,2013-04,76.35,77.32,73.09,77.19,6247005,IFF
3,2013-05,77.0,82.8,74.88,80.29,6039019,IFF
4,2013-06,80.59,80.89,73.02,75.16,7343572,IFF
5,2013-07,76.17,81.45,75.86,80.68,6602956,IFF
6,2013-08,80.98,84.99,78.78,79.01,5886754,IFF
7,2013-09,80.02,84.87,78.75,82.3,5120399,IFF
8,2013-10,82.32,84.08,79.59,82.65,6070461,IFF
9,2013-11,83.1,90.3,82.07,88.35,7890177,IFF
10,2013-12,88.54,90.09,83.05,85.98,9628047,IFF
11,2014-01,85.98,88.01,84.51,86.68,8745397,IFF
12,2014-02,86.43,94.31,82.91,93.79,7787318,IFF
13,2014-03,93.7,97.91,92.22,95.67,9133471,IFF
14,2014-04,95.73,98.56,91.31,98.52,9638694,IFF
15,2014-05,98.69,100.93,95.51,99.26,7748601,IFF
16,2014-06,99.45,105.61,99.21,104.28,7187753,IFF
17,2014-07,104.73,105.84,100.96,100.99,7840990,IFF
18,2014-08,100.6,102.02,96.1,101.59,8908217,IFF
19,2014-09,101.6,102.08,95.51,95.88,9673643,IFF
20,2014-10,95.73,99.37,91.64,99.15,12902194,IFF
21,2014-11,99.51,102.08,95.46,101.17,9432782,IFF
22,2014-12,100.8,104.0,98.08,101.36,8624319,IFF
23,2015-01,101.42,110.97,97.59,106.11,10752181,IFF
24,2015-02,106.53,123.08,105.35,121.93,9565936,IFF
25,2015-03,120.0,122.84,115.26,117.4,10248983,IFF
26,2015-04,117.1,120.42,114.11,114.75,6958926,IFF
27,2015-05,115.48,120.61,110.5701,119.04,8634521,IFF
28,2015-06,119.29,119.29,108.82,109.29,12101090,IFF
29,2015-07,110.28,116.87,108.2,115.59,8163281,IFF
30,2015-08,115.45,118.87,106.2,109.55,10883243,IFF
31,2015-09,107.07,110.81,100.0201,103.26,9159960,IFF
32,2015-10,104.07,117.04899999999999,102.44200000000001,116.06,8356151,IFF
33,2015-11,116.2,121.03,111.33,120.01,8628195,IFF
34,2015-12,117.89,122.64,115.2,119.64,9450623,IFF
35,2016-01,118.31,119.57,108.08,116.96,11554324,IFF
36,2016-02,116.39,122.38,97.24,103.29,20098963,IFF
37,2016-03,104.32,116.18,104.055,113.77,12118381,IFF
38,2016-04,113.19,123.43,112.95,119.47,9815353,IFF
39,2016-05,119.76,129.45,117.07,129.0,13227604,IFF
40,2016-06,129.0,131.3,117.82,126.07,14324906,IFF
41,2016-07,126.47,135.55,124.77,133.25,6932211,IFF
42,2016-08,133.35,139.81,132.15,138.58,8798869,IFF
43,2016-09,138.24,143.43,133.58,142.97,8151500,IFF
44,2016-10,142.93,143.64,128.15,130.78,10547759,IFF
45,2016-11,130.9,133.99,116.73,121.05,16557295,IFF
46,2016-12,121.07,126.2599,116.64,117.83,12813346,IFF
47,2017-01,118.45,120.36,113.16,117.21,10804514,IFF
48,2017-02,117.4,128.33,114.81,125.7,16760830,IFF
49,2017-03,126.12,137.035,123.15,132.53,16192107,IFF
50,2017-04,132.74,140.2,130.99,138.59,7107400,IFF
51,2017-05,139.19,139.865,128.42,137.89,11319872,IFF
52,2017-06,137.72,140.44,132.39,135.0,9645995,IFF
53,2017-07,135.6,136.27,130.94,133.18,7623858,IFF
54,2017-08,134.61,140.0,133.25,136.85,8777500,IFF
55,2017-09,137.1,145.89,137.1,142.91,6037506,IFF
56,2017-10,143.27,151.04,142.98,147.42,6044480,IFF
57,2017-11,147.74,156.64,145.45,155.44,6028661,IFF
58,2017-12,156.2,156.2,150.45,152.61,4886383,IFF
59,2018-01,153.04,157.4,148.58,150.3,7543347,IFF
60,2018-02,149.48,150.48,137.85,142.7,2276483,IFF
