,date,open,high,low,close,volume,Name
0,2013-02,51.55,51.62,48.0,50.13,16417739,ILMN
1,2013-03,50.65,54.32,50.3,53.98,19881969,ILMN
2,2013-04,54.18,65.0,53.77,64.69,31770548,ILMN
3,2013-05,64.63,77.11,63.78,70.32,34515077,ILMN
4,2013-06,70.94,76.08,66.11,74.84,23110679,ILMN
5,2013-07,75.21,83.23,72.13,79.82,27138007,ILMN
6,2013-08,80.49,81.9,76.0101,77.84,16228598,ILMN
7,2013-09,78.49,85.81,75.8001,80.83,18098032,ILMN
8,2013-10,81.05,94.86,72.77,93.51,30420470,ILMN
9,2013-11,93.48,100.99,91.03,98.0,19963626,ILMN
10,2013-12,97.87,115.0,96.5116,110.59,24890335,ILMN
11,2014-01,110.48,154.99,106.791,152.0,52619252,ILMN
12,2014-02,151.53,181.6,148.52100000000002,171.49,35338717,ILMN
13,2014-03,171.49,183.3,133.8201,148.66,50111205,ILMN
14,2014-04,150.67,162.21,127.69,135.85,52471800,ILMN
15,2014-05,135.88,161.0,133.72,158.25,26610100,ILMN
16,2014-06,159.58,180.8,153.18,178.54,38715318,ILMN
17,2014-07,178.59,185.0,159.523,159.91,28702612,ILMN
18,2014-08,160.42,180.995,156.85,179.36,21047622,ILMN
19,2014-09,180.26,182.27,162.031,163.92,22382620,ILMN
20,2014-10,164.36,197.37,145.1201,192.58,34365802,ILMN
21,2014-11,192.58,196.83,176.93,190.89,19125811,ILMN
22,2014-12,189.9,196.0,172.09,184.58,20859533,ILMN
23,2015-01,186.17,213.33,179.301,195.19,34527781,ILMN
24,2015-02,195.37,203.8844,187.2,195.46,16819839,ILMN
25,2015-03,194.11,202.85,178.52,185.64,22645930,ILMN
26,2015-04,185.87,200.5795,178.68,184.25,28085876,ILMN
27,2015-05,185.83,210.445,185.1,206.08,23822989,ILMN
28,2015-06,206.51,223.08,202.75,218.36,28384788,ILMN
29,2015-07,220.7,242.37,207.02,219.3,36069470,ILMN
30,2015-08,219.97,220.52,179.2,197.61,29392000,ILMN
31,2015-09,194.56,213.27,161.21,175.82,32530750,ILMN
32,2015-10,168.1,168.6,130.0,143.28,61984012,ILMN
33,2015-11,144.42,186.26,142.93,183.9,60613481,ILMN
34,2015-12,185.09,196.47,171.75,191.945,32808904,ILMN
35,2016-01,187.65,188.25,152.46,157.95,38284791,ILMN
36,2016-02,156.73,160.2599,130.37,150.24,31696215,ILMN
37,2016-03,152.2,163.98,142.41,162.11,26200453,ILMN
38,2016-04,161.72,178.77,132.0,134.99,39708705,ILMN
39,2016-05,134.72,145.8,127.1,144.83,25511320,ILMN
40,2016-06,144.42,148.835,133.58,140.38,26909811,ILMN
41,2016-07,140.04,167.03,132.65,166.35,23653284,ILMN
42,2016-08,166.77,182.67,163.601,168.34,26366369,ILMN
43,2016-09,168.72,182.61,164.75,181.66,17246529,ILMN
44,2016-10,184.49,186.88,133.8,136.14,39378726,ILMN
45,2016-11,136.39,145.43,129.0,133.14,31405790,ILMN
46,2016-12,133.3,133.3,119.37,128.04,28533326,ILMN
47,2017-01,129.17,167.1,128.16,160.1,31262801,ILMN
48,2017-02,158.0,168.6099,156.5,167.4,16912032,ILMN
49,2017-03,168.58,174.32,158.0203,170.64,21179867,ILMN
50,2017-04,171.0,185.95,167.16,184.86,21245825,ILMN
51,2017-05,186.32,189.48,172.34,177.36,22209100,ILMN
52,2017-06,177.61,186.0,168.87,173.52,18399637,ILMN
53,2017-07,174.24,177.8,167.98,173.85,18724006,ILMN
54,2017-08,173.96,205.21,170.31,204.46,24197776,ILMN
55,2017-09,205.0,214.3374,196.0,199.2,15345224,ILMN
56,2017-10,199.45,214.5,198.21,205.19,17706732,ILMN
57,2017-11,206.49,230.72,203.83,230.03,13809879,ILMN
58,2017-12,226.55,230.24,210.05,218.49,15378607,ILMN
59,2018-01,224.78,248.97,222.13,232.64,21357031,ILMN
60,2018-02,232.0,233.56,207.51,221.2,6842038,ILMN
