,date,open,high,low,close,volume,Name
0,2013-02,18.0,22.82,17.9501,22.23,31087933,INCY
1,2013-03,22.0,25.29,21.47,23.41,34306785,INCY
2,2013-04,23.42,23.45,20.59,22.15,20503517,INCY
3,2013-05,22.04,24.86,20.9,22.17,24434415,INCY
4,2013-06,22.31,22.53,18.23,22.0,26577244,INCY
5,2013-07,22.4,24.56,22.08,23.41,22052702,INCY
6,2013-08,23.59,37.46,23.59,33.89,49612770,INCY
7,2013-09,34.54,38.87,33.37,38.15,32332966,INCY
8,2013-10,38.27,41.95,33.01,39.0,34220250,INCY
9,2013-11,39.04,50.14,35.205,46.6,44709273,INCY
10,2013-12,46.63,52.47,45.28,50.63,26634943,INCY
11,2014-01,50.32,67.45,49.655,65.52,37157961,INCY
12,2014-02,65.89,70.86,59.51,64.26,40669867,INCY
13,2014-03,62.81,68.9,49.71,53.52,44288379,INCY
14,2014-04,53.77,55.82,40.3,48.56,53118589,INCY
15,2014-05,47.32,58.34,46.11,49.55,42726203,INCY
16,2014-06,49.41,57.36,46.55,56.44,30168564,INCY
17,2014-07,56.56,57.34,45.06,47.57,24431932,INCY
18,2014-08,47.84,55.77,46.09,54.2,16146867,INCY
19,2014-09,54.5,54.5,46.14,49.05,18482285,INCY
20,2014-10,49.14,70.3299,43.86,67.06,31029422,INCY
21,2014-11,66.93,76.37,66.29,75.55,29621653,INCY
22,2014-12,75.88,80.78,69.45,73.11,25015105,INCY
23,2015-01,73.65,84.73,69.05,79.71,24689185,INCY
24,2015-02,80.44,88.44,72.62,85.85,20955609,INCY
25,2015-03,85.48,99.0,85.19,91.66,28253012,INCY
26,2015-04,92.3,111.93,87.18,97.16,26794849,INCY
27,2015-05,98.86,111.11,96.83,110.15,19354508,INCY
28,2015-06,111.63,113.55,100.59,104.21,21115757,INCY
29,2015-07,105.15,121.7,99.65,104.28,21074708,INCY
30,2015-08,104.28,121.93,89.3701,116.19,30489728,INCY
31,2015-09,114.85,133.62,89.2101,110.33,36665461,INCY
32,2015-10,110.37,131.33,99.8,117.53,49890309,INCY
33,2015-11,119.61,124.98,90.33,114.24,36508072,INCY
34,2015-12,114.99,118.49,105.0,108.45,26595741,INCY
35,2016-01,106.5,106.81,64.51,70.56,51598481,INCY
36,2016-02,70.0,77.29,55.0,73.5,65916650,INCY
37,2016-03,74.01,76.5,60.3,72.47,37993524,INCY
38,2016-04,73.2,84.42,70.01,72.27,26299370,INCY
39,2016-05,72.03,86.2,68.03,84.41,25705310,INCY
40,2016-06,83.92,87.88,71.75,79.98,25113837,INCY
41,2016-07,79.61,90.35,78.4,90.21,16345528,INCY
42,2016-08,90.62,92.82,75.52,81.1,30218881,INCY
43,2016-09,81.61,95.39,77.58,94.29,29689752,INCY
44,2016-10,93.72,99.48,84.02,86.97,26387842,INCY
45,2016-11,90.0,109.95,83.01100000000001,102.29,34679081,INCY
46,2016-12,102.53,107.47,98.49,100.27,25480287,INCY
47,2017-01,101.14,124.87,100.4096,121.21,31179191,INCY
48,2017-02,121.12,134.97,117.18,133.1,67425662,INCY
49,2017-03,133.9,153.15,131.48,133.67,55891253,INCY
50,2017-04,135.0,144.32,122.321,124.28,38268139,INCY
51,2017-05,124.78,139.98,114.03,129.33,46938446,INCY
52,2017-06,130.0,137.3,115.2,125.91,41361247,INCY
53,2017-07,126.2,139.59,124.7455,133.29,21398351,INCY
54,2017-08,132.92,140.11,118.69,137.41,26930877,INCY
55,2017-09,137.4,139.66,107.79,116.74,41402513,INCY
56,2017-10,116.83,118.32,110.8501,113.25,36496173,INCY
57,2017-11,113.42,114.79,94.78,98.99,37192520,INCY
58,2017-12,98.01,99.71,92.91,94.71,27331595,INCY
59,2018-01,97.36,102.63,88.81,90.29,37759677,INCY
60,2018-02,90.52,91.2681,84.21,86.34,9656375,INCY
