,date,open,high,low,close,volume,Name
0,2014-06,26.15,27.45,26.06,26.98,42358654,INFO
1,2014-07,27.2,27.2,25.134,25.31,14067275,INFO
2,2014-08,25.06,26.58,24.06,25.01,9253515,INFO
3,2014-09,25.04,25.51,23.08,23.35,6458378,INFO
4,2014-10,23.32,25.97,20.99,25.54,11051910,INFO
5,2014-11,25.54,26.0,23.57,25.43,7635358,INFO
6,2014-12,25.45,26.95,24.28,26.43,10374729,INFO
7,2015-01,26.62,27.2,24.93,26.25,7310821,INFO
8,2015-02,26.18,27.39,25.67,26.65,9524712,INFO
9,2015-03,26.7,27.5,25.26,26.9,8323096,INFO
10,2015-04,26.9,27.63,25.41,25.65,7554176,INFO
11,2015-05,25.79,26.85,24.96,26.81,11389122,INFO
12,2015-06,26.72,27.1,25.36,25.57,18574023,INFO
13,2015-07,25.88,27.19,25.616,26.62,7639723,INFO
14,2015-08,26.54,29.98,26.23,28.58,12658222,INFO
15,2015-09,28.34,29.75,27.99,29.0,9782990,INFO
16,2015-10,29.08,30.87,28.42,30.5,7466468,INFO
17,2015-11,30.69,30.86,28.14,29.5,11717516,INFO
18,2015-12,29.31,30.5,28.38,30.17,10928438,INFO
19,2016-01,29.9,30.3,26.011,28.36,13999678,INFO
20,2016-02,28.34,28.98,26.29,27.82,10885658,INFO
21,2016-03,27.95,35.35,27.52,35.35,36994807,INFO
22,2016-04,35.19,35.765,33.72,34.89,14150700,INFO
23,2016-05,35.0,35.43,32.96,34.37,13799608,INFO
24,2016-06,34.17,34.43,30.38,32.6,12651568,INFO
25,2016-07,32.64,36.83,31.9,34.74,60887141,INFO
26,2016-08,34.73,37.5,32.9,37.32,32616200,INFO
27,2016-09,37.5,37.835,35.08,37.55,38006691,INFO
28,2016-10,37.29,37.85,35.82,36.79,35286468,INFO
29,2016-11,36.9,37.27,34.13,35.94,62500114,INFO
30,2016-12,35.88,36.15,34.2,35.41,61556329,INFO
31,2017-01,35.62,39.98,35.555,39.45,46483762,INFO
32,2017-02,39.6,40.88,38.08,39.8,43390057,INFO
33,2017-03,40.18,42.18,37.82,41.95,48857704,INFO
34,2017-04,42.04,44.0,41.43,43.4,29720018,INFO
35,2017-05,43.33,47.06,43.02,45.85,58236494,INFO
36,2017-06,46.07,47.92,44.03,44.04,147232150,INFO
37,2017-07,44.21,46.74,43.34,46.65,33079670,INFO
38,2017-08,46.75,47.23,44.98,46.84,45510314,INFO
39,2017-09,47.0,48.53,43.85,44.08,66547488,INFO
40,2017-10,44.1,44.78,42.4,42.61,46375150,INFO
41,2017-11,42.81,44.87,42.52,44.62,42722769,INFO
42,2017-12,44.81,46.1,44.39,45.15,30232257,INFO
43,2018-01,45.95,49.19,44.84,47.73,50992814,INFO
44,2018-02,47.65,47.93,44.27,45.17,14047007,INFO
