,date,open,high,low,close,volume,Name
0,2013-02,62.64,64.66,60.12,64.468,33358043,INTU
1,2013-03,64.04,68.41,63.7835,65.66,40905079,INTU
2,2013-04,65.66,66.11,55.54,59.64,64260796,INTU
3,2013-05,59.51,60.98,57.331,58.44,65758577,INTU
4,2013-06,58.45,61.37,56.74,61.04,49538422,INTU
5,2013-07,62.1,65.73,61.53,63.92,42323341,INTU
6,2013-08,64.23,65.32,61.5,63.53,41428779,INTU
7,2013-09,63.8,67.34,63.54,66.31,50517933,INTU
8,2013-10,66.53,71.97,65.12,71.41,45356399,INTU
9,2013-11,71.77,74.33,70.81,74.23,37328752,INTU
10,2013-12,74.16,76.89,73.47,76.32,36197650,INTU
11,2014-01,76.11,77.78,72.66,73.25,32163491,INTU
12,2014-02,73.49,81.21,69.02,78.15,44953536,INTU
13,2014-03,78.59,82.4,76.91,77.73,35527071,INTU
14,2014-04,77.98,79.43,72.44,75.75,40753948,INTU
15,2014-05,75.69,80.44,73.5,79.29,32962337,INTU
16,2014-06,79.39,81.99,78.35,80.53,27541960,INTU
17,2014-07,80.5,83.54,80.0601,81.97,23718398,INTU
18,2014-08,79.665,86.8,79.665,83.18,33843517,INTU
19,2014-09,83.35,88.79,82.0,87.65,37215125,INTU
20,2014-10,87.36,88.84,77.96,88.01,39254612,INTU
21,2014-11,88.24,95.42,87.87,93.87,25912078,INTU
22,2014-12,93.25,95.84,90.45,92.19,33850296,INTU
23,2015-01,92.21,93.16,84.751,86.82,37199963,INTU
24,2015-02,87.51,98.09,85.77,97.63,40326492,INTU
25,2015-03,97.56,100.88,95.0128,96.96,29983968,INTU
26,2015-04,96.82,102.17,95.33,100.33,27358737,INTU
27,2015-05,100.33,109.21,99.02,104.15,26955267,INTU
28,2015-06,104.77,107.95,100.755,100.77,31697710,INTU
29,2015-07,101.64,108.2,100.12,105.77,26738935,INTU
30,2015-08,104.67,107.75,79.63,85.75,52672520,INTU
31,2015-09,83.35,89.77,83.1,88.75,62866036,INTU
32,2015-10,88.66,99.0,85.61,97.43,34664160,INTU
33,2015-11,98.05,108.0,95.62,100.2,44132831,INTU
34,2015-12,100.94,102.5797,94.675,96.5,36366127,INTU
35,2016-01,94.19,96.48,88.66,95.51,36571221,INTU
36,2016-02,95.28,101.0,88.17,96.64,43034676,INTU
37,2016-03,97.67,104.51,96.39,104.01,34427071,INTU
38,2016-04,103.77,105.32,99.2,100.89,23878980,INTU
39,2016-05,101.4,108.68,99.25,106.66,30679588,INTU
40,2016-06,105.85,111.79,103.03,111.61,35689263,INTU
41,2016-07,111.73,116.97,110.39,110.99,26614826,INTU
42,2016-08,111.42,114.06,108.0,111.45,32487023,INTU
43,2016-09,111.28,113.105,106.34,110.01,31415428,INTU
44,2016-10,109.83,110.12,106.41,108.74,25722403,INTU
45,2016-11,109.03,116.66,103.2211,113.68,34520192,INTU
46,2016-12,113.79,118.655,111.48,114.61,19908768,INTU
47,2017-01,114.34,120.55,114.1,118.58,19306957,INTU
48,2017-02,118.49,128.45,111.9,125.44,29058423,INTU
49,2017-03,125.89,126.67,115.3,115.99,44136161,INTU
50,2017-04,116.05,126.08,114.8,125.21,44460990,INTU
51,2017-05,125.55,141.08,124.22,140.64,39358471,INTU
52,2017-06,140.55,143.81,132.35,132.81,34255857,INTU
53,2017-07,133.82,137.71,130.26,137.21,22470946,INTU
54,2017-08,137.64,141.69,133.6,141.45,30963793,INTU
55,2017-09,141.83,146.72,140.07,142.14,28347015,INTU
56,2017-10,142.26,153.86,140.21,151.02,23761291,INTU
57,2017-11,151.85,158.9,150.55,157.22,28537769,INTU
58,2017-12,156.14,161.44,152.5801,157.78,24945007,INTU
59,2018-01,158.22,170.59,157.01,167.9,23181734,INTU
60,2018-02,167.56,168.45,152.611,161.29,8470133,INTU
