,date,open,high,low,close,volume,Name
0,2013-02,12.13,12.89,12.0,12.78,84094713,IPG
1,2013-03,12.7,13.475,12.61,13.03,100253798,IPG
2,2013-04,13.03,14.35,12.76,13.84,129633913,IPG
3,2013-05,13.75,14.99,13.57,14.22,78075190,IPG
4,2013-06,14.23,14.9,13.67,14.55,81300025,IPG
5,2013-07,14.67,17.43,14.59,16.45,125155272,IPG
6,2013-08,16.59,16.73,15.52,15.72,70624815,IPG
7,2013-09,15.96,17.55,15.93,17.18,63566487,IPG
8,2013-10,16.83,17.25,15.28,16.8,175135121,IPG
9,2013-11,16.8,17.54,16.675,17.4,80325256,IPG
10,2013-12,17.41,17.805,16.3,17.7,74174099,IPG
11,2014-01,17.6,17.85,16.21,16.32,74404205,IPG
12,2014-02,16.34,17.83,15.9,17.72,93617101,IPG
13,2014-03,17.5,18.0,16.56,17.14,78497682,IPG
14,2014-04,17.23,17.93,16.14,17.42,118600675,IPG
15,2014-05,17.46,19.5,17.2,19.12,155616214,IPG
16,2014-06,19.13,19.775,19.1001,19.51,138217542,IPG
17,2014-07,19.55,20.64,18.84,19.71,176497343,IPG
18,2014-08,20.05,20.32,18.93,19.53,89738039,IPG
19,2014-09,19.54,19.83,17.89,18.32,103719804,IPG
20,2014-10,18.27,19.57,16.37,19.39,117595638,IPG
21,2014-11,19.4,20.425,19.0,20.29,48370667,IPG
22,2014-12,20.28,21.16,19.175,20.77,55417451,IPG
23,2015-01,20.85,20.94,19.0,19.94,76697832,IPG
24,2015-02,20.0,22.69,19.52,22.3,63955911,IPG
25,2015-03,22.27,22.66,21.26,22.12,66981228,IPG
26,2015-04,22.04,22.24,20.445,20.84,92093364,IPG
27,2015-05,21.0,21.35,20.31,20.42,68885534,IPG
28,2015-06,20.45,20.7,19.075,19.27,63879331,IPG
29,2015-07,19.42,21.395,18.83,21.3,83900422,IPG
30,2015-08,21.32,21.44,18.42,18.88,76370780,IPG
31,2015-09,18.44,20.715,18.16,19.13,84526128,IPG
32,2015-10,19.11,23.0,18.81,22.93,91587440,IPG
33,2015-11,22.91,23.63,22.38,23.0,59666671,IPG
34,2015-12,23.14,23.8,22.21,23.28,67844834,IPG
35,2016-01,22.89,23.39,20.64,22.44,97254589,IPG
36,2016-02,22.31,22.64,19.79,21.39,111417498,IPG
37,2016-03,21.52,23.11,20.82,22.95,84718834,IPG
38,2016-04,22.79,24.27,22.6211,22.94,98573253,IPG
39,2016-05,23.11,24.02,23.055,23.9,88952557,IPG
40,2016-06,23.79,24.82,22.18,23.1,99033033,IPG
41,2016-07,23.16,24.335,22.34,23.06,98901451,IPG
42,2016-08,23.11,23.61,22.44,23.14,71663365,IPG
43,2016-09,23.17,23.34,21.8,22.35,85467154,IPG
44,2016-10,22.31,23.0,21.835,22.39,97461593,IPG
45,2016-11,22.47,24.73,21.665,24.07,94645265,IPG
46,2016-12,24.02,24.415,22.8,23.41,74561962,IPG
47,2017-01,23.65,24.0,22.86,23.53,65346241,IPG
48,2017-02,23.52,25.33,22.88,24.1,84493599,IPG
49,2017-03,24.33,24.78,23.88,24.57,83627380,IPG
50,2017-04,24.56,25.34,23.54,23.57,101305511,IPG
51,2017-05,23.64,24.94,23.43,24.93,78759038,IPG
52,2017-06,24.82,25.33,23.33,24.6,72690156,IPG
53,2017-07,24.71,25.71,20.94,21.61,111895452,IPG
54,2017-08,21.61,22.02,19.57,20.14,115220766,IPG
55,2017-09,20.18,21.57,19.735,20.79,112577696,IPG
56,2017-10,20.89,21.94,19.01,19.25,163669809,IPG
57,2017-11,19.35,20.17,18.3,19.78,136977553,IPG
58,2017-12,19.77,20.9,18.99,20.16,86143166,IPG
59,2018-01,19.32,22.14,19.15,21.89,102196251,IPG
60,2018-02,21.75,21.97,20.250999999999998,21.3,27933187,IPG
