,date,open,high,low,close,volume,Name
0,2013-05,43.76,46.5,41.78,44.04,34584668,IQV
1,2013-06,44.02,44.9,41.5,42.56,11097920,IQV
2,2013-07,42.56,45.48,42.25,44.85,5881844,IQV
3,2013-08,46.71,47.5,42.78,43.26,6067229,IQV
4,2013-09,43.48,45.74,42.7,44.88,6301693,IQV
5,2013-10,44.81,45.5,40.1,41.99,8988200,IQV
6,2013-11,42.75,44.42,42.2,43.19,9978801,IQV
7,2013-12,43.3,46.75,41.43,46.34,11910501,IQV
8,2014-01,46.11,52.0,45.25,47.63,9145722,IQV
9,2014-02,47.22,55.0,45.845,54.15,11297017,IQV
10,2014-03,53.6,54.995,49.65,50.77,29521181,IQV
11,2014-04,50.3,51.87,46.27,47.13,14125776,IQV
12,2014-05,49.99,51.75,46.27,50.98,16643706,IQV
13,2014-06,50.9,53.55,50.55,53.29,12053785,IQV
14,2014-07,53.3,57.33,53.03,54.93,11824252,IQV
15,2014-08,55.52,57.65,54.66,56.12,8185660,IQV
16,2014-09,56.32,58.887,55.35,55.78,12381918,IQV
17,2014-10,56.26,58.55,51.09,58.54,13921573,IQV
18,2014-11,59.0,60.71,54.77,57.82,18999192,IQV
19,2014-12,57.32,60.79,56.12,58.87,16434580,IQV
20,2015-01,59.14,62.73,56.46,60.5,11241635,IQV
21,2015-02,60.31,66.28,58.8,64.98,11011933,IQV
22,2015-03,65.17,69.97,63.62,66.97,11428019,IQV
23,2015-04,66.46,70.0,64.25,65.88,12808179,IQV
24,2015-05,65.94,70.794,63.63,69.71,20649047,IQV
25,2015-06,69.71,73.82,68.23,72.61,14683239,IQV
26,2015-07,72.75,80.45,71.455,76.72,16444847,IQV
27,2015-08,76.72,77.97,67.47,74.51,19034214,IQV
28,2015-09,73.16,78.84,67.83,69.57,14971269,IQV
29,2015-10,69.17,72.68,63.62,63.65,20282209,IQV
30,2015-11,64.0,70.02,63.97,67.99,17699193,IQV
31,2015-12,68.34,70.74,65.76,68.66,16822705,IQV
32,2016-01,67.86,67.92,59.89,60.83,18802937,IQV
33,2016-02,60.86,64.85,55.011,62.71,22368466,IQV
34,2016-03,62.92,67.55,62.8101,65.1,16042843,IQV
35,2016-04,64.62,71.44,64.48,69.07,14886523,IQV
36,2016-05,69.47,69.665,62.95,67.89,38681414,IQV
37,2016-06,67.64,67.99,61.21,65.32,26997939,IQV
38,2016-07,65.14,78.36,65.005,77.64,31555686,IQV
39,2016-08,77.89,78.86,73.85,77.3,20385807,IQV
40,2016-09,77.46,81.255,75.6703,81.06,18257832,IQV
41,2016-10,80.87,81.45,71.165,71.74,33287385,IQV
42,2016-11,71.94,81.18,70.1,76.83,40311428,IQV
43,2016-12,75.6,80.98,71.9,76.05,38648106,IQV
44,2017-01,76.71,78.58,74.8,78.49,21918062,IQV
45,2017-02,78.28,83.04,75.94,77.39,30731430,IQV
46,2017-03,77.51,81.99,76.51,80.53,37735919,IQV
47,2017-04,80.39,84.49,78.07,84.28,22526922,IQV
48,2017-05,84.75,86.51,81.62,86.44,26308511,IQV
49,2017-06,86.81,91.81,84.3,89.5,24080118,IQV
50,2017-07,89.6,92.54,87.641,90.55,14953253,IQV
51,2017-08,92.65,99.95,87.45,96.03,73634102,IQV
52,2017-09,96.05,97.595,93.79,95.07,30495892,IQV
53,2017-10,95.17,108.81,94.28,108.1,33124441,IQV
54,2017-11,108.25,110.67,100.72,102.01,32590163,IQV
55,2017-12,102.43,103.28,97.45,97.9,23679606,IQV
56,2018-01,98.52,106.33,97.15,102.19,23707651,IQV
57,2018-02,102.12,104.18,93.0989,98.21,5925031,IQV
