,date,open,high,low,close,volume,Name
0,2013-02,34.63,35.16,33.36,34.5,18332852,IRM
1,2013-03,34.37,36.67,34.23,36.31,20818226,IRM
2,2013-04,36.25,37.87,35.63,37.86,18465066,IRM
3,2013-05,37.79,39.71,35.82,35.84,21000656,IRM
4,2013-06,35.86,35.89,25.91,26.61,62506373,IRM
5,2013-07,26.64,29.08,26.59,27.8,26744288,IRM
6,2013-08,27.46,28.54,25.72,25.8,26817644,IRM
7,2013-09,25.95,29.12,25.53,27.02,37092908,IRM
8,2013-10,27.0,27.96,25.03,26.54,35341004,IRM
9,2013-11,26.51,30.7,25.5201,28.12,40922575,IRM
10,2013-12,28.12,30.8,27.552,30.35,28296636,IRM
11,2014-01,30.26,30.48,26.31,26.41,55953622,IRM
12,2014-02,26.48,29.19,25.745,27.2,33138656,IRM
13,2014-03,26.9,28.56,26.62,27.57,28128268,IRM
14,2014-04,27.67,28.78,25.95,28.44,34014486,IRM
15,2014-05,28.43,31.15,26.7,31.14,38050532,IRM
16,2014-06,31.14,36.0,29.621,35.45,51695601,IRM
17,2014-07,35.41,35.58,33.49,33.51,33325253,IRM
18,2014-08,34.08,36.33,32.6004,35.98,25199925,IRM
19,2014-09,36.03,37.1,31.17,32.65,48847326,IRM
20,2014-10,32.56,38.17,31.11,36.07,45916308,IRM
21,2014-11,36.05,38.5,35.88,38.01,57805429,IRM
22,2014-12,37.88,40.41,36.43,38.66,41816030,IRM
23,2015-01,38.95,41.12,38.59,39.84,28567408,IRM
24,2015-02,39.85,41.53,35.84,36.75,26824544,IRM
25,2015-03,36.67,38.91,35.6,36.48,35107298,IRM
26,2015-04,36.5,38.4945,34.29,34.49,34442904,IRM
27,2015-05,34.5,37.73,33.88,36.47,33010567,IRM
28,2015-06,36.49,37.02,30.95,31.0,47481781,IRM
29,2015-07,30.95,32.25,28.34,30.05,32220093,IRM
30,2015-08,30.09,30.62,26.49,28.34,34227153,IRM
31,2015-09,27.72,31.07,27.39,31.02,33333823,IRM
32,2015-10,31.07,32.35,29.9,30.64,45652541,IRM
33,2015-11,30.66,32.24,27.73,27.78,26048074,IRM
34,2015-12,27.97,28.34,25.99,27.01,28826863,IRM
35,2016-01,26.8,27.65,23.64,27.54,24864186,IRM
36,2016-02,27.24,30.0,26.08,29.38,29232390,IRM
37,2016-03,29.52,34.15,29.16,33.91,27701275,IRM
38,2016-04,33.26,36.62,32.12,36.53,51361637,IRM
39,2016-05,37.36,38.64,35.71,36.74,68621508,IRM
40,2016-06,36.55,39.84,36.095,39.83,44707399,IRM
41,2016-07,39.92,41.44,39.225,41.21,31368797,IRM
42,2016-08,41.23,41.5,36.38,38.41,42400545,IRM
43,2016-09,38.48,39.75,35.42,37.53,37404336,IRM
44,2016-10,37.51,37.51,32.55,33.73,33105821,IRM
45,2016-11,33.29,34.65,30.75,33.0,35963234,IRM
46,2016-12,32.99,35.08,31.39,32.48,34252761,IRM
47,2017-01,32.81,36.28,32.27,35.8,27527215,IRM
48,2017-02,35.79,37.75,35.3,36.35,28393695,IRM
49,2017-03,36.49,36.58,33.43,35.67,30573506,IRM
50,2017-04,35.55,36.7,34.57,34.76,22151904,IRM
51,2017-05,34.95,35.69,34.3,34.92,24215142,IRM
52,2017-06,34.99,35.69,32.53,34.36,27851677,IRM
53,2017-07,34.65,36.72,32.92,36.43,19229859,IRM
54,2017-08,37.35,39.74,36.4901,39.42,27335821,IRM
55,2017-09,39.44,40.64,37.96,38.9,26707007,IRM
56,2017-10,38.83,41.17,37.51,40.0,26290766,IRM
57,2017-11,40.18,41.53,39.56,40.87,23388078,IRM
58,2017-12,40.89,41.13,36.93,37.73,48560671,IRM
59,2018-01,37.8,37.94,33.57,35.03,40305151,IRM
60,2018-02,34.94,35.11,32.05,33.18,12123937,IRM
