,date,open,high,low,close,volume,Name
0,2013-02,190.6731,194.3331,164.1165,169.9632,13471515,ISRG
1,2013-03,184.3331,185.9998,151.7265,163.7298,46048731,ISRG
2,2013-04,164.2898,171.9098,155.2398,164.0965,28413714,ISRG
3,2013-05,163.8632,170.5965,155.0365,165.8432,22516029,ISRG
4,2013-06,166.4532,172.0232,163.9632,168.7105,14596260,ISRG
5,2013-07,169.7332,169.7332,119.0066,129.3332,70826634,ISRG
6,2013-08,129.6965,131.9299,125.1799,128.8399,21596598,ISRG
7,2013-09,129.3965,130.1632,121.1499,125.4232,32166033,ISRG
8,2013-10,125.1499,136.2962,119.3399,123.8332,43524945,ISRG
9,2013-11,124.6165,132.9299,122.9165,125.6332,17978496,ISRG
10,2013-12,126.0732,128.1299,117.0465,128.0265,28869195,ISRG
11,2014-01,127.8799,149.1665,123.3432,135.8599,46377549,ISRG
12,2014-02,135.1232,151.6565,132.2199,148.2765,22915155,ISRG
13,2014-03,147.4332,154.1551,139.4332,145.9965,23964159,ISRG
14,2014-04,162.0165,180.4098,117.7932,120.5665,64279035,ISRG
15,2014-05,121.7465,125.7265,115.4866,123.2465,33578058,ISRG
16,2014-06,122.9032,142.1432,122.0632,137.2665,29106987,ISRG
17,2014-07,137.2765,160.9998,125.3332,152.5165,42520488,ISRG
18,2014-08,152.9998,160.1465,146.1665,156.6698,17654250,ISRG
19,2014-09,157.5165,160.5398,150.5038,153.9398,18131889,ISRG
20,2014-10,154.4398,168.5798,149.7799,165.2665,28382679,ISRG
21,2014-11,162.3532,174.5498,162.1032,172.5898,13595418,ISRG
22,2014-12,171.9565,179.6103,165.5532,176.3132,11896155,ISRG
23,2015-01,176.9598,179.3632,164.3148,164.8265,19786992,ISRG
24,2015-02,166.6165,174.4665,164.8865,166.6665,11479797,ISRG
25,2015-03,166.9932,171.6632,162.2215,168.3432,14550663,ISRG
26,2015-04,167.3132,186.34799999999998,163.8298,165.3265,21692469,ISRG
27,2015-05,164.8365,168.6498,160.9565,162.5832,16834425,ISRG
28,2015-06,163.7865,169.8598,160.0298,161.4998,16516026,ISRG
29,2015-07,162.4765,188.2855,156.9298,177.7232,22846566,ISRG
30,2015-08,177.2198,178.1498,158.3432,170.3165,15733275,ISRG
31,2015-09,167.3298,175.4965,150.1948,153.1932,18855003,ISRG
32,2015-10,153.3298,173.3265,148.9999,165.5332,27032487,ISRG
33,2015-11,165.6998,174.2298,165.0198,173.3398,15860964,ISRG
34,2015-12,173.6765,185.5331,168.0165,182.0532,18721482,ISRG
35,2016-01,182.3865,193.3331,173.4998,180.2832,29640588,ISRG
36,2016-02,179.6665,190.0365,167.3365,187.6865,22682931,ISRG
37,2016-03,188.0765,202.5831,187.0065,200.3498,24770136,ISRG
38,2016-04,198.3965,218.2931,197.0131,208.7865,22195680,ISRG
39,2016-05,209.2598,214.9365,203.7431,211.5698,19991541,ISRG
40,2016-06,210.7498,221.1664,208.4728,220.4698,19074063,ISRG
41,2016-07,220.5231,240.0014,219.6764,231.9198,19811316,ISRG
42,2016-08,231.3231,233.5498,226.3664,228.8064,12319590,ISRG
43,2016-09,228.9531,242.3764,223.4998,241.6098,15825483,ISRG
44,2016-10,240.5198,242.4164,219.2398,224.0264,19967442,ISRG
45,2016-11,224.4798,229.3898,205.5998,214.5798,27123975,ISRG
46,2016-12,214.1531,217.3998,203.5698,211.3898,21221964,ISRG
47,2017-01,211.9798,233.4731,208.2398,230.8964,24069261,ISRG
48,2017-02,230.0164,246.3431,229.3264,245.6664,18510987,ISRG
49,2017-03,245.5998,256.7597,242.2631,255.4897,23051016,ISRG
50,2017-04,255.2131,281.4864,251.1264,278.6231,21523689,ISRG
51,2017-05,279.5264,307.2764,278.7914,304.893,18366870,ISRG
52,2017-06,305.0297,321.1797,292.1664,311.7897,23318511,ISRG
53,2017-07,313.653,324.8849,306.8564,312.753,23547555,ISRG
54,2017-08,312.9897,335.2197,307.893,334.8897,20764134,ISRG
55,2017-09,333.9663,351.5896,332.4563,348.6263,13694019,ISRG
56,2017-10,349.6997,382.15,349.1897,375.36,20440430,ISRG
57,2017-11,377.31,405.05,373.865,399.78,15271864,ISRG
58,2017-12,398.6,402.0,359.75,364.94,19689457,ISRG
59,2018-01,367.89,452.0,365.11,431.67,21614974,ISRG
60,2018-02,432.61,433.13,385.51099999999997,399.53,5244034,ISRG
