,date,open,high,low,close,volume,Name
0,2013-02,61.9,64.65,59.71,61.5,27584321,ITW
1,2013-03,61.16,63.46,60.18,60.94,50055508,ITW
2,2013-04,60.83,65.94,60.02,64.56,55102393,ITW
3,2013-05,64.27,71.64,63.84,70.13,44868847,ITW
4,2013-06,70.33,71.74,67.14,69.17,44471970,ITW
5,2013-07,69.81,74.07,68.16,72.04,40263884,ITW
6,2013-08,72.88,75.39,71.15,71.47,28737086,ITW
7,2013-09,72.18,78.56,71.07,76.27,34987621,ITW
8,2013-10,76.39,79.52,73.6,78.79,42530046,ITW
9,2013-11,79.05,79.965,78.22,79.58,30747237,ITW
10,2013-12,79.4,84.32,77.3,84.08,38787011,ITW
11,2014-01,83.97,84.12,77.95,78.87,46113222,ITW
12,2014-02,78.89,83.215,76.25,82.5,57828050,ITW
13,2014-03,81.61,83.22,79.47,81.33,47073191,ITW
14,2014-04,81.5,86.46,80.795,85.23,44682883,ITW
15,2014-05,85.15,88.0,84.59,86.55,33644944,ITW
16,2014-06,86.55,89.5,86.29,87.56,36582890,ITW
17,2014-07,87.96,88.0,82.35,82.37,40174076,ITW
18,2014-08,82.03,89.44,81.86,88.21,34254367,ITW
19,2014-09,88.28,89.58,84.22,84.42,40308045,ITW
20,2014-10,84.28,91.39,79.06,91.05,49591519,ITW
21,2014-11,90.96,96.54,90.43,94.93,32206186,ITW
22,2014-12,94.75,97.79,91.7,94.7,35102023,ITW
23,2015-01,95.16,95.46,90.43,93.09,42754905,ITW
24,2015-02,93.56,99.95,92.82,98.86,29474470,ITW
25,2015-03,98.9,100.14,95.78,97.14,43054046,ITW
26,2015-04,97.0,99.92,93.31,93.58,39357667,ITW
27,2015-05,94.07,97.96,93.83,93.83,29979173,ITW
28,2015-06,94.33,95.34,91.41,91.79,37289047,ITW
29,2015-07,92.4,94.33,87.01,89.47,40698528,ITW
30,2015-08,89.49,92.06,78.79,84.53,33898357,ITW
31,2015-09,82.4,86.91,80.36,82.31,41525594,ITW
32,2015-10,82.18,92.51,80.16,91.94,37694802,ITW
33,2015-11,91.99,94.13,89.28,93.98,28829156,ITW
34,2015-12,94.3,95.0,90.87,92.68,33974854,ITW
35,2016-01,91.29,91.5,79.15,90.07,51512435,ITW
36,2016-02,88.48,97.34,88.0,94.25,39939956,ITW
37,2016-03,95.13,102.98,94.7143,102.44,34076048,ITW
38,2016-04,101.745,106.19,100.79,104.52,31995753,ITW
39,2016-05,104.24,106.14,101.68,106.03,25493747,ITW
40,2016-06,105.21,109.54,98.32,104.16,40195208,ITW
41,2016-07,104.31,116.32,103.075,115.4,28944403,ITW
42,2016-08,114.92,120.78,113.99,118.85,27352178,ITW
43,2016-09,118.86,123.5,114.91,119.84,31388921,ITW
44,2016-10,119.37,120.94,111.5,113.57,40547636,ITW
45,2016-11,113.57,127.61,111.53,125.18,32747277,ITW
46,2016-12,125.7,127.99,121.85,122.46,26097485,ITW
47,2017-01,123.73,130.16,120.06,127.2,28428195,ITW
48,2017-02,127.14,132.2,125.96,132.01,23602093,ITW
49,2017-03,133.28,136.03,129.17,132.47,27953040,ITW
50,2017-04,132.97,142.82,130.17,138.09,29147987,ITW
51,2017-05,137.88,141.49,133.9,141.22,23607851,ITW
52,2017-06,143.16,150.29,141.09,143.25,28306549,ITW
53,2017-07,144.2,147.89,139.51,140.71,24331686,ITW
54,2017-08,141.68,143.06,135.07,137.51,25351729,ITW
55,2017-09,138.0,148.28,136.04,147.96,20557876,ITW
56,2017-10,148.18,159.36,147.97,156.52,24708918,ITW
57,2017-11,156.96,169.5199,154.6901,169.25,20739814,ITW
58,2017-12,169.31,169.69,162.56,166.85,24893212,ITW
59,2018-01,167.31,179.07,163.92,173.67,29266241,ITW
60,2018-02,172.6,174.64,156.261,163.44,8960481,ITW
