,date,open,high,low,close,volume,Name
0,2013-02,27.44,27.86,25.46,26.79,65504599,IVZ
1,2013-03,26.93,29.23,26.24,28.96,72548037,IVZ
2,2013-04,28.95,31.97,27.86,31.74,83351109,IVZ
3,2013-05,31.75,35.02,31.4,33.74,91514499,IVZ
4,2013-06,33.75,34.66,31.09,31.8,84094716,IVZ
5,2013-07,32.14,33.242,31.18,32.19,78771786,IVZ
6,2013-08,32.57,33.36,30.14,30.36,62869732,IVZ
7,2013-09,30.92,33.025,30.09,31.9,62295843,IVZ
8,2013-10,32.01,34.73,31.5,33.75,122812398,IVZ
9,2013-11,33.91,35.255,32.25,34.85,73356635,IVZ
10,2013-12,34.86,36.79,33.94,36.4,64241752,IVZ
11,2014-01,36.26,36.88,32.69,33.25,70548738,IVZ
12,2014-02,33.06,34.835,31.73,34.3,76792596,IVZ
13,2014-03,33.72,37.18,33.2,37.0,80022319,IVZ
14,2014-04,36.71,37.87,34.0,35.21,69556135,IVZ
15,2014-05,35.75,36.9,34.31,36.7,58778147,IVZ
16,2014-06,36.83,38.41,36.44,37.75,52822228,IVZ
17,2014-07,37.99,38.86,37.36,37.63,41465040,IVZ
18,2014-08,37.92,41.14,37.36,40.84,52164470,IVZ
19,2014-09,40.8,41.44,39.36,39.48,54649173,IVZ
20,2014-10,39.45,41.04,34.4,40.47,76799833,IVZ
21,2014-11,40.42,41.48,39.18,40.36,41387429,IVZ
22,2014-12,40.25,41.51,38.05,39.52,55172225,IVZ
23,2015-01,39.72,39.815,35.42,36.73,78845817,IVZ
24,2015-02,36.83,40.73,36.49,40.27,52930224,IVZ
25,2015-03,39.93,41.98,39.44,39.69,62845697,IVZ
26,2015-04,39.68,42.0,39.34,41.42,48700530,IVZ
27,2015-05,41.75,42.05,39.755,39.83,47365657,IVZ
28,2015-06,40.0,40.25,37.29,37.49,70778920,IVZ
29,2015-07,37.97,39.48,36.2,38.6,62289160,IVZ
30,2015-08,38.67,38.97,31.03,34.11,74506901,IVZ
31,2015-09,33.11,34.19,30.65,31.23,78644282,IVZ
32,2015-10,31.27,34.49,30.21,33.17,80620069,IVZ
33,2015-11,33.32,34.4,31.48,33.69,59974134,IVZ
34,2015-12,33.86,35.0,30.12,33.48,82024699,IVZ
35,2016-01,32.59,33.54,27.36,29.93,98802884,IVZ
36,2016-02,29.68,29.69,24.9,26.74,100750675,IVZ
37,2016-03,27.07,31.545,26.9875,30.77,86133126,IVZ
38,2016-04,30.49,32.855,29.5,31.01,75801791,IVZ
39,2016-05,30.83,31.665,28.08,31.4,82325429,IVZ
40,2016-06,31.06,31.3973,23.015,25.54,134452820,IVZ
41,2016-07,25.48,29.56,24.34,29.18,84520874,IVZ
42,2016-08,29.22,31.49,28.15,31.19,74988888,IVZ
43,2016-09,31.32,31.76,29.88,31.27,74704695,IVZ
44,2016-10,31.24,32.03,28.085,28.09,87371392,IVZ
45,2016-11,28.28,32.36,27.46,31.31,76398701,IVZ
46,2016-12,31.64,33.34,29.96,30.34,67102638,IVZ
47,2017-01,30.98,31.82,28.75,28.92,68531770,IVZ
48,2017-02,29.16,33.46,29.0724,32.19,60834633,IVZ
49,2017-03,32.93,33.1756,29.36,30.63,73919762,IVZ
50,2017-04,30.61,33.47,30.02,32.94,55674122,IVZ
51,2017-05,33.07,33.119,30.51,31.7,50344937,IVZ
52,2017-06,31.88,35.91,31.75,35.19,60288050,IVZ
53,2017-07,35.46,36.835,33.86,34.77,55949007,IVZ
54,2017-08,34.78,35.22,31.85,32.78,51173053,IVZ
55,2017-09,32.95,35.44,31.58,35.04,45198125,IVZ
56,2017-10,35.01,37.75,34.63,35.79,57051743,IVZ
57,2017-11,36.05,36.68,33.95,36.17,49603211,IVZ
58,2017-12,36.28,37.8464,35.09,36.54,45575296,IVZ
59,2018-01,36.84,38.43,35.41,36.13,65441196,IVZ
60,2018-02,36.25,36.64,32.08,33.46,25790134,IVZ
