,date,open,high,low,close,volume,Name
0,2013-02,68.42,70.55,65.53,69.658,10103807,JBHT
1,2013-03,69.99,75.73,68.45,74.48,18492910,JBHT
2,2013-04,74.44,75.16,69.04,71.07,18230489,JBHT
3,2013-05,71.02,77.2,69.16,73.66,13928209,JBHT
4,2013-06,72.98,73.76,67.97,72.24,11247228,JBHT
5,2013-07,72.71,77.76,72.42,74.93,10879412,JBHT
6,2013-08,75.88,78.39,71.87,72.0,8423463,JBHT
7,2013-09,72.83,76.0,71.26,72.93,14930922,JBHT
8,2013-10,73.63,76.11,70.6,75.03,19388234,JBHT
9,2013-11,75.16,78.65,72.11,75.19,14992385,JBHT
10,2013-12,75.68,78.16,73.7,77.3,12729775,JBHT
11,2014-01,77.17,79.89,73.666,75.05,15928339,JBHT
12,2014-02,75.26,75.6,70.73,71.87,15493142,JBHT
13,2014-03,71.32,74.81,69.33,71.92,21194165,JBHT
14,2014-04,72.1,77.01,71.45,76.1,23240924,JBHT
15,2014-05,76.24,77.94,75.2,77.66,13371738,JBHT
16,2014-06,77.29,78.07,72.97,73.78,16857388,JBHT
17,2014-07,74.26,79.79,72.94,77.26,22916822,JBHT
18,2014-08,76.78,77.41,74.145,75.55,13093784,JBHT
19,2014-09,73.94,77.2,71.73,74.05,19711789,JBHT
20,2014-10,74.33,79.82,71.0,79.77,25673196,JBHT
21,2014-11,79.41,84.04,79.0198,82.53,16419178,JBHT
22,2014-12,82.16,85.54,79.47,84.25,15071973,JBHT
23,2015-01,84.61,85.46,77.5,79.61,17164508,JBHT
24,2015-02,80.0,86.848,79.53,85.5,12022902,JBHT
25,2015-03,85.26,90.46,82.9,85.395,18241751,JBHT
26,2015-04,85.46,93.5,83.57,87.2,20197897,JBHT
27,2015-05,87.52,89.39,82.91,84.02,15144383,JBHT
28,2015-06,84.16,88.04,82.06,82.09,35284259,JBHT
29,2015-07,82.49,86.3172,81.2301,84.12,25356775,JBHT
30,2015-08,84.29,85.75,71.4801,72.78,23374285,JBHT
31,2015-09,71.92,78.93,70.9156,71.4,21599674,JBHT
32,2015-10,71.25,78.52,70.58,76.37,22566262,JBHT
33,2015-11,76.46,79.63,73.32,78.24,17902356,JBHT
34,2015-12,78.34,79.73,69.69,73.36,18342893,JBHT
35,2016-01,71.85,72.73,63.58,72.7,27805667,JBHT
36,2016-02,72.05,78.81,71.07,76.29,19940636,JBHT
37,2016-03,76.63,86.94,76.5401,84.24,19480396,JBHT
38,2016-04,83.64,89.43,81.0,82.88,17233165,JBHT
39,2016-05,83.27,85.69,79.19,82.72,14612611,JBHT
40,2016-06,82.46,83.8,75.71,80.93,15185346,JBHT
41,2016-07,80.92,86.59,79.35,83.13,18392649,JBHT
42,2016-08,82.88,83.75,79.0701,79.39,15637854,JBHT
43,2016-09,79.57,82.03,77.52,81.14,19837954,JBHT
44,2016-10,80.68,81.99,76.2,81.61,20857603,JBHT
45,2016-11,81.92,95.93,80.12,95.37,22331066,JBHT
46,2016-12,95.49,102.38,95.21,97.07,20597997,JBHT
47,2017-01,97.83,100.21,93.33,99.08,18730931,JBHT
48,2017-02,99.49,101.23,96.51,98.17,17819927,JBHT
49,2017-03,98.82,100.33,88.7,91.74,22264702,JBHT
50,2017-04,92.04,94.08,88.0,89.66,22893071,JBHT
51,2017-05,90.09,90.36,83.35,85.38,20783896,JBHT
52,2017-06,85.86,92.62,85.16,91.38,19421465,JBHT
53,2017-07,92.04,94.45,90.07,90.71,19938735,JBHT
54,2017-08,91.465,101.21,88.83,98.89,21683142,JBHT
55,2017-09,99.41,111.6,98.14,111.08,17187441,JBHT
56,2017-10,111.44,111.98,100.25,106.39,21782639,JBHT
57,2017-11,106.74,111.885,100.78,111.14,16600089,JBHT
58,2017-12,110.82,116.84,106.86,114.98,17946688,JBHT
59,2018-01,115.96,126.49,114.74,120.83,21752532,JBHT
60,2018-02,120.01,121.91,111.42,117.95,8210223,JBHT
