,date,open,high,low,close,volume,Name
0,2013-02,48.06,50.48,46.92,48.84,12706195,JEC
1,2013-03,48.24,56.53,47.34,56.24,21541081,JEC
2,2013-04,56.11,56.326,48.86,50.48,23384652,JEC
3,2013-05,50.45,57.81,48.99,57.01,19595439,JEC
4,2013-06,57.16,57.97,54.58,55.13,17988406,JEC
5,2013-07,55.48,60.84,53.99,59.2,14700087,JEC
6,2013-08,60.05,62.33,57.73,58.28,17285717,JEC
7,2013-09,59.33,60.47,57.17,58.18,19136089,JEC
8,2013-10,58.2,61.2,55.8,60.82,14904986,JEC
9,2013-11,60.79,64.27,58.86,59.77,18236642,JEC
10,2013-12,59.7,63.06,56.43,62.99,16231304,JEC
11,2014-01,63.67,66.88,60.46,60.71,21253805,JEC
12,2014-02,60.73,62.02,58.2,60.65,18032848,JEC
13,2014-03,59.9,65.58,59.36,63.5,19409093,JEC
14,2014-04,63.82,65.02,55.5,57.7,19854238,JEC
15,2014-05,57.68,58.5,52.57,55.07,31809899,JEC
16,2014-06,55.05,57.18,52.84,53.28,20102862,JEC
17,2014-07,53.33,55.0,50.725,50.81,23620429,JEC
18,2014-08,50.29,54.74,49.5718,53.91,16615153,JEC
19,2014-09,54.07,54.7,48.585,48.82,22310274,JEC
20,2014-10,48.81,48.81,45.04,47.45,35702441,JEC
21,2014-11,47.43,49.9,45.9,46.45,26763236,JEC
22,2014-12,46.25,47.96,39.78,44.69,36215861,JEC
23,2015-01,44.81,45.03,37.87,38.1,29082587,JEC
24,2015-02,38.4,44.88,38.2201,44.34,27294100,JEC
25,2015-03,44.33,45.43,42.64,45.16,25843282,JEC
26,2015-04,45.19,48.25,41.68,42.86,26555797,JEC
27,2015-05,42.75,44.66,42.495,43.26,20641453,JEC
28,2015-06,43.38,44.56,40.51,40.62,25994510,JEC
29,2015-07,41.03,43.27,38.88,42.12,33628215,JEC
30,2015-08,41.9,44.64,36.82,40.41,35746576,JEC
31,2015-09,39.48,40.85,36.27,37.43,36797409,JEC
32,2015-10,37.61,41.81,36.05,40.14,26915262,JEC
33,2015-11,40.12,44.61,40.08,44.14,22058672,JEC
34,2015-12,44.11,45.41,40.64,41.95,21996816,JEC
35,2016-01,41.35,42.12,35.2,39.23,21460156,JEC
36,2016-02,38.79,39.22,34.76,38.65,23291973,JEC
37,2016-03,38.88,44.77,38.76,43.55,16013256,JEC
38,2016-04,43.08,45.3,40.93,44.58,14782771,JEC
39,2016-05,44.62,50.83,43.9304,50.69,28726347,JEC
40,2016-06,50.47,53.33,47.14,49.81,20281565,JEC
41,2016-07,49.9,54.54,48.13,53.52,14114230,JEC
42,2016-08,53.45,55.89,52.34,52.69,18339976,JEC
43,2016-09,52.72,53.0352,49.15,51.72,14794177,JEC
44,2016-10,51.48,52.5837,49.62,51.58,11900708,JEC
45,2016-11,51.99,63.42,49.16,62.01,30217637,JEC
46,2016-12,62.48,63.16,56.8,57.0,21942070,JEC
47,2017-01,57.69,62.2,56.38,58.55,16469922,JEC
48,2017-02,58.98,59.81,55.31,56.41,22039032,JEC
49,2017-03,57.35,58.48,52.39,55.28,18431493,JEC
50,2017-04,55.39,55.9205,52.66,54.92,12429555,JEC
51,2017-05,55.1,55.97,50.53,52.42,22825278,JEC
52,2017-06,52.56,55.66,51.62,54.39,18418747,JEC
53,2017-07,54.64,55.585,51.35,52.72,13620480,JEC
54,2017-08,52.99,54.99,49.31,54.49,22853479,JEC
55,2017-09,54.74,58.51,53.85,58.27,15138130,JEC
56,2017-10,58.14,59.27,57.57,58.21,11187320,JEC
57,2017-11,58.38,66.2,57.21,65.63,15915487,JEC
58,2017-12,65.87,69.35,63.881,65.96,17732338,JEC
59,2018-01,66.5,72.18,66.2461,69.46,20877057,JEC
60,2018-02,69.09,70.19,56.55,66.01,8293381,JEC
