,date,open,high,low,close,volume,Name
0,2013-02,75.17,77.02,74.73,76.11,126655835,JNJ
1,2013-03,75.79,81.59,75.73,81.53,193249831,JNJ
2,2013-04,81.39,85.89,80.31,85.23,218627382,JNJ
3,2013-05,84.5,89.99,83.88,84.18,220672793,JNJ
4,2013-06,84.28,87.8224,82.12,85.86,210564661,JNJ
5,2013-07,85.72,94.42,85.5,93.5,200323939,JNJ
6,2013-08,94.16,94.4,85.85,86.41,204231130,JNJ
7,2013-09,86.89,90.72,86.0,86.69,158736331,JNJ
8,2013-10,86.59,93.45,85.5,92.61,172987163,JNJ
9,2013-11,92.3801,95.99,92.28,94.66,131058093,JNJ
10,2013-12,94.41,94.79,89.77,91.59,151102217,JNJ
11,2014-01,91.14,95.38,88.15,88.47,193134837,JNJ
12,2014-02,88.75,92.99,86.09,92.12,162428357,JNJ
13,2014-03,91.13,98.6,90.83,98.23,181361073,JNJ
14,2014-04,98.31,101.98,96.05,101.29,180275458,JNJ
15,2014-05,100.77,101.54,98.88,101.46,124664062,JNJ
16,2014-06,101.54,106.0,101.01,104.62,124029083,JNJ
17,2014-07,105.15,106.74,100.05,100.09,148837642,JNJ
18,2014-08,99.76,104.42,98.8,103.73,120174874,JNJ
19,2014-09,103.3,108.77,103.02,106.59,130601910,JNJ
20,2014-10,105.98,108.18,95.1,107.78,232672276,JNJ
21,2014-11,107.83,109.49,106.6,108.25,125679287,JNJ
22,2014-12,107.89,108.99,102.5,104.57,175590656,JNJ
23,2015-01,105.05,106.5,100.09,100.14,195050998,JNJ
24,2015-02,100.49,103.33,97.15,102.51,191368104,JNJ
25,2015-03,102.86,103.41,98.22,100.6,177464464,JNJ
26,2015-04,100.46,102.14,98.04,99.2,171578738,JNJ
27,2015-05,99.62,104.48,98.66,100.14,143781147,JNJ
28,2015-06,100.28,100.84,97.01,97.46,170023511,JNJ
29,2015-07,98.3,101.36,96.64,100.21,151835700,JNJ
30,2015-08,100.0,101.0,81.79,93.98,194799520,JNJ
31,2015-09,92.29,96.19,89.9,93.35,202040179,JNJ
32,2015-10,93.43,102.12,91.76,101.03,191793474,JNJ
33,2015-11,101.18,103.0,99.74,101.24,126173317,JNJ
34,2015-12,101.73,105.49,100.31,102.72,162039926,JNJ
35,2016-01,101.71,104.75,94.28,104.44,211277999,JNJ
36,2016-02,103.61,106.92,99.78,105.21,201552148,JNJ
37,2016-03,105.9,109.56,105.44,108.2,172975352,JNJ
38,2016-04,108.0,114.19,107.69,112.08,158186666,JNJ
39,2016-05,112.22,115.0,111.7,112.69,141098667,JNJ
40,2016-06,112.57,121.41,112.07,121.3,167591425,JNJ
41,2016-07,121.54,126.07,120.79,125.23,132067285,JNJ
42,2016-08,125.31,125.9,118.33,119.34,138570714,JNJ
43,2016-09,119.19,119.97,117.0434,118.13,130380831,JNJ
44,2016-10,118.0,120.1955,112.99,115.99,140055284,JNJ
45,2016-11,114.76,122.5,111.3,111.3,171886103,JNJ
46,2016-12,111.36,117.3,109.32,115.21,138045647,JNJ
47,2017-01,115.78,117.0,110.76,113.25,143312463,JNJ
48,2017-02,112.48,122.88,112.47,122.21,133814536,JNJ
49,2017-03,122.49,129.0,122.39,124.55,166553346,JNJ
50,2017-04,124.73,125.81,120.95,123.47,106205565,JNJ
51,2017-05,123.4,128.8,122.34,128.25,112544843,JNJ
52,2017-06,128.32,137.0,128.12,132.29,145559817,JNJ
53,2017-07,132.79,137.08,129.5711,132.72,107885771,JNJ
54,2017-08,133.17,134.97,130.9,132.37,106188700,JNJ
55,2017-09,132.6,135.79,129.05,130.01,116214710,JNJ
56,2017-10,130.16,144.3523,130.02,139.41,122135386,JNJ
57,2017-11,139.83,141.87,136.6,139.33,93738856,JNJ
58,2017-12,139.57,143.8,138.6,139.72,114023406,JNJ
59,2018-01,139.66,148.32,138.1,138.19,170954294,JNJ
60,2018-02,137.53,140.67,122.15,131.42,68354229,JNJ
