,date,open,high,low,close,volume,Name
0,2013-02,55.0,56.6599,52.44,54.22,30717498,JWN
1,2013-03,54.03,55.29,52.16,55.23,36707966,JWN
2,2013-04,55.07,57.76,54.33,56.59,31633773,JWN
3,2013-05,56.48,61.81,55.98,58.82,37000117,JWN
4,2013-06,58.94,60.2,57.07,59.94,21159180,JWN
5,2013-07,60.28,63.34,60.05,61.24,24730081,JWN
6,2013-08,61.85,62.3,55.56,55.73,43199442,JWN
7,2013-09,56.29,58.58,55.34,56.2,31938891,JWN
8,2013-10,55.97,61.2399,55.498999999999995,60.47,32636657,JWN
9,2013-11,60.52,63.72,59.76,62.21,32264834,JWN
10,2013-12,62.09,62.56,59.31,61.8,23193807,JWN
11,2014-01,61.67,62.56,56.571000000000005,57.45,31391127,JWN
12,2014-02,57.33,61.67,54.9,61.48,39716238,JWN
13,2014-03,60.78,63.15,60.6,62.45,29393992,JWN
14,2014-04,62.46,64.19,59.97,61.28,28794157,JWN
15,2014-05,61.47,70.71,60.2,68.06,41086579,JWN
16,2014-06,68.2,69.54,66.72,67.93,22386184,JWN
17,2014-07,68.19,70.56,67.35,69.55,21104647,JWN
18,2014-08,68.44,70.56,64.92,69.25,33617745,JWN
19,2014-09,69.3,71.45,67.62,68.37,24314782,JWN
20,2014-10,68.36,73.74,66.08,72.61,35777670,JWN
21,2014-11,72.6,77.2,70.21,76.36,31797271,JWN
22,2014-12,76.07,80.54,73.29,79.39,23369599,JWN
23,2015-01,79.66,80.0501,74.87,76.2,24176247,JWN
24,2015-02,76.06,81.78,74.51,80.43,31780284,JWN
25,2015-03,80.5,83.16,78.685,80.32,22184447,JWN
26,2015-04,80.23,80.92,75.27,75.56,21569565,JWN
27,2015-05,75.43,78.04,72.51,72.64,30403726,JWN
28,2015-06,72.65,76.52,72.01,74.5,23402480,JWN
29,2015-07,75.02,80.23,74.47,76.31,24736254,JWN
30,2015-08,76.22,79.98,70.7,72.88,38364766,JWN
31,2015-09,71.65,75.425,69.91,71.71,24438703,JWN
32,2015-10,71.61,75.6725,63.73,65.21,44526926,JWN
33,2015-11,65.08,67.27,50.43,56.31,88202493,JWN
34,2015-12,56.5,57.93,49.34,49.81,83714453,JWN
35,2016-01,49.3,50.7,44.49,49.1,72233444,JWN
36,2016-02,48.46,53.07,46.65,51.32,99352668,JWN
37,2016-03,51.67,59.37,51.08,57.21,59495692,JWN
38,2016-04,57.08,57.92,49.9,51.13,60932166,JWN
39,2016-05,51.2,51.74,36.1875,37.98,142235728,JWN
40,2016-06,37.98,40.85,35.01,38.05,84949068,JWN
41,2016-07,37.84,45.15,36.7938,44.23,60452506,JWN
42,2016-08,43.93,53.71,39.05,50.46,97483058,JWN
43,2016-09,50.76,52.62,48.46,51.88,59168028,JWN
44,2016-10,51.62,55.23,50.87,52.0,54897961,JWN
45,2016-11,51.97,62.82,50.11,55.92,89706132,JWN
46,2016-12,55.77,61.85,47.75,47.93,65690413,JWN
47,2017-01,48.24,49.195,42.32,44.22,61026153,JWN
48,2017-02,44.55,48.16,42.32,46.66,83482980,JWN
49,2017-03,46.87,47.05,40.695,46.57,66779985,JWN
50,2017-04,46.57,48.45,43.351000000000006,48.27,45848663,JWN
51,2017-05,48.31,50.22,39.53,41.8,81016106,JWN
52,2017-06,41.92,48.43,39.715,47.83,83063881,JWN
53,2017-07,48.08,50.32,45.97,48.57,30470205,JWN
54,2017-08,46.97,48.86,43.67,44.62,48530264,JWN
55,2017-09,44.86,48.11,43.59,47.15,48376638,JWN
56,2017-10,45.04,45.04,39.36,39.65,64548265,JWN
57,2017-11,39.77,46.96,37.7924,45.45,60722543,JWN
58,2017-12,45.38,49.09,44.4,47.38,37690039,JWN
59,2018-01,48.76,53.0,46.3,49.31,42253986,JWN
60,2018-02,48.9,51.0,46.1,49.3,10597416,JWN
