,date,open,high,low,close,volume,Name
0,2013-02,21.23,21.98,21.16,21.77,47621007,KIM
1,2013-03,21.67,22.49,21.54,22.4,50296631,KIM
2,2013-04,22.2,23.78,22.04,23.78,59123438,KIM
3,2013-05,23.74,25.09,22.02,22.15,84155889,KIM
4,2013-06,22.15,22.36,20.25,21.43,96751372,KIM
5,2013-07,21.3,23.24,21.025,22.55,56104615,KIM
6,2013-08,22.66,22.95,19.89,20.03,67036384,KIM
7,2013-09,20.23,21.37,19.68,20.18,72859034,KIM
8,2013-10,19.96,21.77,19.22,21.48,100780085,KIM
9,2013-11,21.53,21.83,20.61,20.62,64293929,KIM
10,2013-12,20.58,21.21,19.71,19.75,62739007,KIM
11,2014-01,19.77,21.08,19.61,20.91,70736985,KIM
12,2014-02,20.86,22.3,20.3,22.26,63668101,KIM
13,2014-03,22.17,22.7,21.3,21.88,63295906,KIM
14,2014-04,21.7,22.96,21.41,22.92,48778805,KIM
15,2014-05,22.91,23.235,22.5,22.92,55681801,KIM
16,2014-06,22.91,23.63,22.27,22.98,55015826,KIM
17,2014-07,22.92,23.82,22.36,22.38,40098131,KIM
18,2014-08,22.37,23.75,22.04,23.49,51270412,KIM
19,2014-09,23.54,23.66,21.54,21.91,56112667,KIM
20,2014-10,21.7,25.33,21.56,24.95,78403903,KIM
21,2014-11,25.0,25.765,24.42,25.45,51896771,KIM
22,2014-12,25.41,26.04,24.84,25.14,78879435,KIM
23,2015-01,25.26,28.54,25.2,27.65,62864394,KIM
24,2015-02,27.65,28.095,26.0,26.28,61560380,KIM
25,2015-03,26.26,27.95,25.25,26.85,53945303,KIM
26,2015-04,26.55,27.055,24.065,24.1,46441180,KIM
27,2015-05,24.14,25.03,23.68,23.96,56657785,KIM
28,2015-06,23.99,24.375,22.48,22.54,57452948,KIM
29,2015-07,22.45,24.99,22.3,24.71,71128282,KIM
30,2015-08,24.7,25.7,22.52,23.05,81186068,KIM
31,2015-09,22.64,24.49,22.07,24.43,74213997,KIM
32,2015-10,24.34,27.24,23.98,26.77,73144012,KIM
33,2015-11,26.71,27.33,25.26,26.09,51865050,KIM
34,2015-12,26.3,27.13,24.98,26.46,74427554,KIM
35,2016-01,26.17,27.21,24.75,27.19,74372304,KIM
36,2016-02,26.99,28.08,26.0599,26.75,68475063,KIM
37,2016-03,27.02,29.11,26.89,28.78,54475700,KIM
38,2016-04,28.49,28.81,27.73,28.12,48796598,KIM
39,2016-05,28.14,29.97,26.79,28.18,71851192,KIM
40,2016-06,28.04,31.38,28.02,31.38,56587797,KIM
41,2016-07,31.1,32.24,30.44,32.1,50380209,KIM
42,2016-08,32.07,32.2,29.32,30.05,57589854,KIM
43,2016-09,30.06,30.7,28.34,28.95,49874455,KIM
44,2016-10,28.63,29.23,25.965,26.61,73253380,KIM
45,2016-11,26.5,26.62,24.76,25.54,101028678,KIM
46,2016-12,25.46,26.63,24.35,25.16,76135221,KIM
47,2017-01,25.38,26.16,24.5599,24.89,58466084,KIM
48,2017-02,24.88,25.15,24.02,24.25,66010492,KIM
49,2017-03,24.11,24.11,21.46,22.09,99212767,KIM
50,2017-04,21.82,23.03,20.18,20.29,76372175,KIM
51,2017-05,20.32,20.9,17.14,17.54,117308629,KIM
52,2017-06,17.49,19.89,17.02,18.35,177539026,KIM
53,2017-07,18.18,21.24,17.6,20.18,110758524,KIM
54,2017-08,19.94,20.78,19.0,19.62,75268381,KIM
55,2017-09,19.63,20.63,19.13,19.55,78289947,KIM
56,2017-10,19.55,19.79,17.76,18.16,72732358,KIM
57,2017-11,18.22,19.53,17.96,18.52,87293960,KIM
58,2017-12,18.56,19.38,17.83,18.15,74574324,KIM
59,2018-01,18.24,18.37,15.46,15.91,118423038,KIM
60,2018-02,15.9,15.95,14.33,14.52,39729572,KIM
