,date,open,high,low,close,volume,Name
0,2013-02,56.97,57.18,53.0,54.76,26653460,KLAC
1,2013-03,54.36,55.82,50.8,52.74,37439966,KLAC
2,2013-04,52.73,57.0,50.2315,54.25,49214085,KLAC
3,2013-05,54.23,56.8,53.45,56.29,45228266,KLAC
4,2013-06,56.68,57.56,53.38,55.73,32581837,KLAC
5,2013-07,56.18,60.94,54.29,58.63,39832771,KLAC
6,2013-08,59.17,60.18,54.65,55.15,25936427,KLAC
7,2013-09,55.8,62.445,55.11,60.85,28820257,KLAC
8,2013-10,60.99,67.05,58.83,65.6,32578335,KLAC
9,2013-11,65.89,65.8975,61.57,63.87,22748669,KLAC
10,2013-12,63.6,64.65,60.5,64.46,22690006,KLAC
11,2014-01,64.0,64.3,60.62,61.47,31159829,KLAC
12,2014-02,60.23,66.12,59.44,65.15,24234428,KLAC
13,2014-03,64.46,70.78,63.9,69.14,28623027,KLAC
14,2014-04,69.56,71.93,62.17,63.99,39809447,KLAC
15,2014-05,63.99,65.88,61.43,65.52,24652331,KLAC
16,2014-06,65.73,72.78,65.17,72.64,26009113,KLAC
17,2014-07,72.73,75.3975,70.1,71.49,44320437,KLAC
18,2014-08,71.37,76.73,70.91,76.42,22003311,KLAC
19,2014-09,76.54,81.27,76.47,78.78,32923126,KLAC
20,2014-10,78.88,79.88,65.25,79.15,59093767,KLAC
21,2014-11,79.04,84.21,66.74,69.44,32041141,KLAC
22,2014-12,69.07,73.12,66.2185,70.32,33586667,KLAC
23,2015-01,70.62,71.2565,61.34,61.47,37716850,KLAC
24,2015-02,61.42,66.66,60.21,64.955,22035466,KLAC
25,2015-03,65.19,66.2399,57.49,58.29,30975762,KLAC
26,2015-04,58.27,60.8,57.1,58.8,33686280,KLAC
27,2015-05,59.11,60.7284,57.77,59.66,22356580,KLAC
28,2015-06,60.07,60.09,55.24,56.21,28359951,KLAC
29,2015-07,56.72,57.35,50.42,53.05,33365894,KLAC
30,2015-08,52.74,54.445,44.95,50.11,30786185,KLAC
31,2015-09,48.63,53.2801,46.76,50.0,40478074,KLAC
32,2015-10,49.98,67.27,48.725,67.12,82680746,KLAC
33,2015-11,67.0,67.49,65.29,66.47,33756528,KLAC
34,2015-12,66.77,70.28,66.61,69.35,28605164,KLAC
35,2016-01,68.03,69.18,63.64,66.99,30175939,KLAC
36,2016-02,66.4,68.42,62.33,67.74,46925754,KLAC
37,2016-03,68.22,73.19,67.71,72.81,26037860,KLAC
38,2016-04,72.74,73.59,69.54,69.94,19340627,KLAC
39,2016-05,70.32,73.14,67.32,72.93,18292909,KLAC
40,2016-06,72.83,75.17,70.98,73.25,24633173,KLAC
41,2016-07,73.0,77.85,71.51,75.71,18975514,KLAC
42,2016-08,75.62,77.63,66.88,69.26,37939979,KLAC
43,2016-09,69.56,71.16,68.43,69.71,29158474,KLAC
44,2016-10,69.95,75.5,69.751,75.11,73350527,KLAC
45,2016-11,75.04,83.23,73.3,79.84,37618975,KLAC
46,2016-12,79.69,81.69,74.66,78.68,36887217,KLAC
47,2017-01,78.97,87.96,77.86,85.11,27261504,KLAC
48,2017-02,85.54,90.88,84.9,90.12,21348864,KLAC
49,2017-03,90.66,96.91,89.52,95.07,21338463,KLAC
50,2017-04,95.34,104.22,93.61,98.22,25551579,KLAC
51,2017-05,98.71,105.67,97.47,104.0,24110159,KLAC
52,2017-06,104.0,109.59,91.09,91.51,31757103,KLAC
53,2017-07,92.3,101.75,90.69,92.63,21140944,KLAC
54,2017-08,92.85,94.17,87.93,93.69,24580575,KLAC
55,2017-09,94.1,106.09,92.527,106.0,25549854,KLAC
56,2017-10,105.54,109.78,101.04,108.89,29642050,KLAC
57,2017-11,110.0,110.005,98.91,102.24,38398429,KLAC
58,2017-12,101.26,114.43,99.7177,105.07,26347512,KLAC
59,2018-01,105.76,121.65,104.71,109.8,30680901,KLAC
60,2018-02,109.27,113.12,98.73,102.66,8658482,KLAC
