,date,open,high,low,close,volume,Name
0,2013-02,90.98,95.91,89.38,94.28,35962008,KMB
1,2013-03,94.22,97.99,91.91,97.98,45018170,KMB
2,2013-04,97.57,106.541,97.3,103.19,52196251,KMB
3,2013-05,103.25,105.678,96.8225,96.83,65057629,KMB
4,2013-06,97.0,99.68,93.76,97.14,51191882,KMB
5,2013-07,96.88,100.806,96.03,98.8,35840527,KMB
6,2013-08,99.44,99.99,92.0,93.48,31548292,KMB
7,2013-09,94.16,97.98,91.44,94.22,27308102,KMB
8,2013-10,93.49,108.56,93.12,108.0,40138830,KMB
9,2013-11,107.87,111.68,106.721,109.16,38482185,KMB
10,2013-12,108.86,109.4,102.53,104.46,32717095,KMB
11,2014-01,104.32,110.42,102.81,109.37,41719236,KMB
12,2014-02,109.0,111.29,104.93,110.35,33689478,KMB
13,2014-03,109.67,111.71,108.29,110.25,35560608,KMB
14,2014-04,109.78,113.09,108.02,112.25,46703964,KMB
15,2014-05,111.81,112.5,109.22,112.35,26796395,KMB
16,2014-06,112.34,113.93,109.66,111.22,24895484,KMB
17,2014-07,110.83,114.45,103.85,103.87,34439797,KMB
18,2014-08,105.31,109.66,104.19,108.0,28344533,KMB
19,2014-09,108.17,108.96,105.545,107.57,31811882,KMB
20,2014-10,107.03,114.82,103.88,114.27,39516896,KMB
21,2014-11,109.44,116.78,109.07,116.59,33924456,KMB
22,2014-12,115.61,118.83,111.86,115.54,38626250,KMB
23,2015-01,115.25,119.01,107.91,107.96,41941901,KMB
24,2015-02,107.94,111.84,107.56,109.66,29430130,KMB
25,2015-03,109.56,110.51,103.67,107.11,38845196,KMB
26,2015-04,106.69,113.445,105.5,109.69,34200538,KMB
27,2015-05,109.72,112.9299,108.73,108.86,24657092,KMB
28,2015-06,108.97,109.56,104.53,105.97,27964806,KMB
29,2015-07,106.72,115.63,106.04,114.97,30564401,KMB
30,2015-08,114.75,117.95,103.1105,106.53,32248887,KMB
31,2015-09,104.9,109.95,103.04,109.04,32653331,KMB
32,2015-10,108.33,122.73,107.79,119.71,36901866,KMB
33,2015-11,120.61,122.97,116.97,119.15,27004968,KMB
34,2015-12,120.0,129.893,117.52,127.3,38315002,KMB
35,2016-01,125.91,130.05,121.5,128.42,51544126,KMB
36,2016-02,127.38,133.73,124.65,130.3,36821466,KMB
37,2016-03,130.99,136.61,128.77,134.51,39553809,KMB
38,2016-04,133.33,138.755,123.52,125.19,44961655,KMB
39,2016-05,124.88,130.7,123.83,127.04,36275706,KMB
40,2016-06,126.88,137.48,126.85,137.48,30894115,KMB
41,2016-07,137.0,138.87,129.49,129.55,34949072,KMB
42,2016-08,129.22,131.45,126.33,128.06,35603818,KMB
43,2016-09,128.01,129.63,121.2,126.14,31560145,KMB
44,2016-10,125.52,125.755,112.64,114.41,43784990,KMB
45,2016-11,114.31,117.41,111.3,115.61,42329236,KMB
46,2016-12,115.07,116.59,113.09,114.12,33331184,KMB
47,2017-01,114.16,122.84,113.71,121.13,42471461,KMB
48,2017-02,120.52,136.21,120.38,132.55,43705675,KMB
49,2017-03,132.84,135.22,131.48,131.63,41546595,KMB
50,2017-04,132.04,134.24,127.18,129.75,35194601,KMB
51,2017-05,129.35,131.26,125.55,129.73,39018312,KMB
52,2017-06,130.29,134.295,127.545,129.11,28306780,KMB
53,2017-07,129.61,130.0,120.96,123.16,34246215,KMB
54,2017-08,121.29,123.83,120.54,123.29,27578568,KMB
55,2017-09,123.5,124.15,115.91,117.68,32228341,KMB
56,2017-10,117.8,118.85,110.33,112.51,50218265,KMB
57,2017-11,111.9,120.3,109.67,119.76,42880824,KMB
58,2017-12,119.6,123.77,116.14,120.66,39211366,KMB
59,2018-01,120.81,123.5,112.0,117.0,60348972,KMB
60,2018-02,116.85,118.09,110.28,112.36,15705119,KMB
