,date,open,high,low,close,volume,Name
0,2013-02,37.72,38.17,35.89,37.07,55443895,KMI
1,2013-03,36.96,38.8,36.113,38.68,68435667,KMI
2,2013-04,38.67,40.09,37.24,39.1,78847675,KMI
3,2013-05,39.07,41.49,37.98,37.98,66044952,KMI
4,2013-06,38.01,39.73,35.52,38.15,88921597,KMI
5,2013-07,38.39,40.45,37.71,37.76,75777804,KMI
6,2013-08,38.05,38.24,36.35,37.93,91490096,KMI
7,2013-09,38.18,38.295,34.54,35.57,161502271,KMI
8,2013-10,35.63,36.6801,34.5,35.31,151937485,KMI
9,2013-11,35.24,36.27,34.3477,35.54,76606769,KMI
10,2013-12,35.54,36.51,32.3,36.0,144916872,KMI
11,2014-01,35.99,36.45,33.6,34.01,127021861,KMI
12,2014-02,34.06,34.19,31.45,31.85,152006305,KMI
13,2014-03,31.72,32.59,30.8114,32.49,139985396,KMI
14,2014-04,32.6,33.98,32.21,32.66,112690489,KMI
15,2014-05,32.71,33.98,32.1,33.39,123291434,KMI
16,2014-06,33.45,36.5,33.325,36.26,117210541,KMI
17,2014-07,36.3,38.05,35.2,35.98,110358398,KMI
18,2014-08,35.61,42.49,35.2,40.26,445220330,KMI
19,2014-09,40.31,40.31,37.342,38.34,210183945,KMI
20,2014-10,38.35,39.595,33.25,38.7,339126275,KMI
21,2014-11,38.72,42.41,37.2,41.35,690528755,KMI
22,2014-12,41.15,43.18,37.06,42.31,590003319,KMI
23,2015-01,42.44,42.93,39.95,41.05,250969838,KMI
24,2015-02,41.36,42.33,40.3409,41.01,179608528,KMI
25,2015-03,41.02,42.3,39.45,42.06,209947856,KMI
26,2015-04,42.45,44.71,41.5633,42.95,196668876,KMI
27,2015-05,43.01,43.34,41.415,41.49,144621428,KMI
28,2015-06,41.37,41.47,38.33,38.39,289994737,KMI
29,2015-07,38.45,38.575,34.12,34.64,287011846,KMI
30,2015-08,34.35,34.81,28.5,32.41,360458352,KMI
31,2015-09,31.82,32.09,25.81,27.68,337610200,KMI
32,2015-10,28.22,32.89,26.6,27.35,395812187,KMI
33,2015-11,26.36,27.78,22.57,23.57,408329244,KMI
34,2015-12,23.6,23.62,14.22,14.92,1509895227,KMI
35,2016-01,14.89,16.47,11.2,16.45,760452896,KMI
36,2016-02,15.97,18.48,13.26,18.09,575833545,KMI
37,2016-03,18.28,19.315,17.0,17.86,492770027,KMI
38,2016-04,17.41,19.4,16.84,17.76,380734082,KMI
39,2016-05,17.73,18.25,16.63,18.08,309918207,KMI
40,2016-06,17.85,18.95,17.07,18.72,340047813,KMI
41,2016-07,18.68,22.31,17.95,20.33,391225499,KMI
42,2016-08,20.09,22.79,19.46,21.85,297947928,KMI
43,2016-09,21.76,23.195,21.22,23.13,357334247,KMI
44,2016-10,23.18,23.36,19.97,20.43,357972398,KMI
45,2016-11,20.62,22.55,19.425,22.2,285007831,KMI
46,2016-12,22.4,22.45,20.61,20.71,287244199,KMI
47,2017-01,20.92,22.94,20.88,22.34,257234096,KMI
48,2017-02,22.48,23.01,21.12,21.31,224368350,KMI
49,2017-03,21.51,21.98,20.71,21.74,257473405,KMI
50,2017-04,21.74,21.915,20.22,20.63,208907679,KMI
51,2017-05,20.61,20.72,18.31,18.76,291510653,KMI
52,2017-06,18.77,19.39,18.4,19.16,276858766,KMI
53,2017-07,19.17,21.25,18.92,20.43,215116812,KMI
54,2017-08,20.2,20.35,18.23,19.33,205724880,KMI
55,2017-09,19.33,19.85,18.95,19.18,176009717,KMI
56,2017-10,19.06,19.17,17.820999999999998,18.11,261212599,KMI
57,2017-11,18.25,18.38,16.68,17.23,271926401,KMI
58,2017-12,17.3,18.34,16.89,18.07,284419962,KMI
59,2018-01,18.32,19.83,17.95,17.98,358639780,KMI
60,2018-02,18.02,18.08,16.56,17.29,103144860,KMI
