,date,open,high,low,close,volume,Name
0,2013-02,57.12,65.1,56.35,59.28,129129933,KORS
1,2013-03,59.0,61.328,54.2,56.79,107539335,KORS
2,2013-04,56.79,57.72,51.63,56.94,83831572,KORS
3,2013-05,56.57,66.18,56.1,62.82,93165805,KORS
4,2013-06,63.01,63.1,56.15,62.02,71630461,KORS
5,2013-07,62.14,67.78,60.08,67.34,66244025,KORS
6,2013-08,68.12,74.2787,67.65,74.09,86967845,KORS
7,2013-09,74.7,78.62100000000001,72.68,74.52,59389739,KORS
8,2013-10,74.74,78.83,70.59,76.95,83329986,KORS
9,2013-11,77.15,83.134,73.26,81.55,125750525,KORS
10,2013-12,81.65,84.58,78.59,81.19,64961529,KORS
11,2014-01,80.94,83.5,74.11,79.93,82744799,KORS
12,2014-02,80.4,101.04,76.15,98.03,79552860,KORS
13,2014-03,97.4,99.66,89.43,93.27,43998488,KORS
14,2014-04,93.87,96.1,85.7088,91.2,56273232,KORS
15,2014-05,91.05,98.96,90.1,94.38,62841557,KORS
16,2014-06,94.54,95.91,87.7,88.65,56828219,KORS
17,2014-07,89.16,91.79,77.75,81.48,87688798,KORS
18,2014-08,81.5,83.38,75.13,80.12,74990667,KORS
19,2014-09,80.15,81.54,70.44,71.39,83677482,KORS
20,2014-10,71.57,79.7,68.55,78.59,68813396,KORS
21,2014-11,78.7,79.06,68.25,76.71,98702405,KORS
22,2014-12,76.36,78.547,73.15,75.1,67503856,KORS
23,2015-01,75.56,75.9,65.1,70.79,81761317,KORS
24,2015-02,70.85,73.47,67.11,67.41,81042471,KORS
25,2015-03,67.46,68.93,63.31,65.75,61677396,KORS
26,2015-04,64.03,65.83,61.225,61.86,66666858,KORS
27,2015-05,62.11,63.31,45.53,46.5,147497374,KORS
28,2015-06,46.98,49.71,41.52,42.09,123080703,KORS
29,2015-07,42.63,44.17,38.8,41.99,83949622,KORS
30,2015-08,41.4,45.82,36.63,43.46,106104554,KORS
31,2015-09,42.79,45.43,40.12,42.24,51488927,KORS
32,2015-10,42.21,44.38,37.91,38.64,69310949,KORS
33,2015-11,38.92,44.795,37.9,43.02,84691673,KORS
34,2015-12,43.1,43.87,38.97,40.06,58232209,KORS
35,2016-01,39.39,40.86,34.83,39.9,57135840,KORS
36,2016-02,39.93,57.39,39.62,56.65,119120592,KORS
37,2016-03,56.99,59.49,55.05,56.96,52923772,KORS
38,2016-04,56.82,58.63,50.4104,51.66,61298078,KORS
39,2016-05,51.97,53.055,40.36,42.72,89762507,KORS
40,2016-06,45.29,51.58,43.73,49.48,105154139,KORS
41,2016-07,49.53,52.97,48.0,51.72,45730275,KORS
42,2016-08,51.8,53.29,46.5,48.95,73711448,KORS
43,2016-09,48.88,51.06,46.44,46.79,46958125,KORS
44,2016-10,46.61,51.28,45.18,50.78,57031113,KORS
45,2016-11,50.95,52.67,46.12,46.49,76949099,KORS
46,2016-12,46.5,51.42,41.95,42.98,46589613,KORS
47,2017-01,42.78,44.25,40.81,42.81,41443702,KORS
48,2017-02,42.32,42.32,34.92,36.5,81667451,KORS
49,2017-03,36.87,38.59,35.91,38.11,54772246,KORS
50,2017-04,38.16,38.46,36.38,37.33,31794605,KORS
51,2017-05,37.43,38.965,32.38,33.18,55992579,KORS
52,2017-06,33.22,36.43,32.5,36.25,62397570,KORS
53,2017-07,36.23,36.78,32.81,36.44,39781518,KORS
54,2017-08,36.45,46.26,35.725,42.22,66240036,KORS
55,2017-09,42.44,48.59,41.8101,47.85,41092442,KORS
56,2017-10,48.06,50.17,46.7,48.81,36896632,KORS
57,2017-11,49.31,59.27,47.49,58.44,66637750,KORS
58,2017-12,58.71,64.3,57.7849,62.95,42908538,KORS
59,2018-01,63.18,68.35,62.73,66.0,34114026,KORS
60,2018-02,65.32,69.95,62.0,66.11,19382318,KORS
