,date,open,high,low,close,volume,Name
0,2013-02,38.85,38.97,36.54,38.72,250050989,KO
1,2013-03,38.49,40.7,38.45,40.44,288090805,KO
2,2013-04,40.39,42.96,39.77,42.33,317765569,KO
3,2013-05,42.15,43.43,39.99,39.99,288208403,KO
4,2013-06,39.95,41.7299,38.97,40.11,305831533,KO
5,2013-07,40.5,41.25,39.5,40.08,260987102,KO
6,2013-08,40.4,40.75,37.8,38.18,296738192,KO
7,2013-09,38.27,39.67,37.75,37.88,300802512,KO
8,2013-10,38.0,39.96,36.83,39.57,378724154,KO
9,2013-11,39.57,40.875,39.22,40.19,267921524,KO
10,2013-12,40.1,41.387,38.87,41.31,301175163,KO
11,2014-01,41.12,41.225,37.72,37.82,289694711,KO
12,2014-02,38.02,39.02,36.89,38.2,385787174,KO
13,2014-03,37.88,39.03,37.85,38.66,349248324,KO
14,2014-04,38.53,41.28,38.04,40.79,382743052,KO
15,2014-05,40.79,41.22,40.26,40.91,213638651,KO
16,2014-06,40.75,42.49,40.15,42.36,281981116,KO
17,2014-07,42.39,42.57,39.25,39.29,282946188,KO
18,2014-08,39.41,41.75,39.1,41.72,245333007,KO
19,2014-09,41.52,42.81,41.18,42.66,314878257,KO
20,2014-10,42.55,44.87,40.1,41.88,524795574,KO
21,2014-11,41.79,45.0,41.59,44.83,254115357,KO
22,2014-12,44.18,44.765,39.8,42.22,326889949,KO
23,2015-01,42.26,43.83,41.11,41.17,293092247,KO
24,2015-02,41.21,43.66,40.9,43.3,291647763,KO
25,2015-03,43.12,43.28,39.61,40.55,370738440,KO
26,2015-04,40.79,41.61,40.104,40.56,284020137,KO
27,2015-05,40.58,41.69,40.39,40.96,230592841,KO
28,2015-06,41.36,41.405,39.12,39.23,288290320,KO
29,2015-07,39.38,41.6,39.22,41.08,268100208,KO
30,2015-08,40.85,42.25,36.56,39.32,343077442,KO
31,2015-09,38.67,40.23,37.84,40.12,347284003,KO
32,2015-10,40.22,43.85,39.36,42.35,366565547,KO
33,2015-11,42.32,43.6,41.34,42.62,252128948,KO
34,2015-12,42.73,43.91,41.97,42.96,286672367,KO
35,2016-01,42.34,43.26,40.75,42.92,317920959,KO
36,2016-02,42.6,44.18,41.9,43.13,304133552,KO
37,2016-03,43.38,46.88,43.17,46.39,347235376,KO
38,2016-04,46.14,47.13,42.87,44.8,317337851,KO
39,2016-05,44.57,45.895,43.94,44.6,230296161,KO
40,2016-06,44.6,46.01,43.315,45.33,265518708,KO
41,2016-07,45.32,45.94,43.1,43.63,236072502,KO
42,2016-08,43.69,44.33,43.08,43.43,235118278,KO
43,2016-09,43.21,43.83,41.85,42.32,251093229,KO
44,2016-10,42.31,43.03,41.4,42.4,264839453,KO
45,2016-11,42.4,42.98,40.35,40.35,316569927,KO
46,2016-12,40.31,42.22,39.88,41.46,283870185,KO
47,2017-01,41.5,42.25,40.69,41.57,240344329,KO
48,2017-02,41.52,42.15,40.22,41.96,333983813,KO
49,2017-03,42.01,42.7,41.74,42.44,339193957,KO
50,2017-04,42.58,43.79,42.27,43.15,232461929,KO
51,2017-05,43.15,45.7,43.1,45.47,250587738,KO
52,2017-06,45.45,46.06,44.65,44.85,241609124,KO
53,2017-07,45.11,46.425,44.15,45.84,195368962,KO
54,2017-08,45.6,46.34,45.25,45.55,208266214,KO
55,2017-09,45.64,46.98,44.38,45.01,197996831,KO
56,2017-10,45.05,46.79,44.745,45.98,189848424,KO
57,2017-11,45.75,47.48,45.03,45.77,217651383,KO
58,2017-12,45.8,46.48,44.92,45.88,207945190,KO
59,2018-01,45.91,48.615,45.34,47.59,256417399,KO
60,2018-02,47.41,47.73,43.44,44.56,89679141,KO
