,date,open,high,low,close,volume,Name
0,2013-02,14.03,14.76,13.82,14.605,130650992,KR
1,2013-03,14.59,16.64,14.515,16.57,173146126,KR
2,2013-04,16.54,17.6175,15.76,17.19,183858524,KR
3,2013-05,17.19,17.72,16.835,16.835,145734266,KR
4,2013-06,16.85,17.82,16.385,17.27,177153508,KR
5,2013-07,17.345,19.9875,17.295,19.635,178114958,KR
6,2013-08,19.75,19.88,17.955,18.3,140478958,KR
7,2013-09,18.485,20.71,18.355,20.17,176169050,KR
8,2013-10,20.175,21.925,19.86,21.42,132691172,KR
9,2013-11,21.42,21.5493,20.605,20.875,128782240,KR
10,2013-12,20.865,21.125,19.43,19.765,155930756,KR
11,2014-01,19.63,19.83,17.855,18.05,186091320,KR
12,2014-02,18.05,20.98,17.565,20.97,157190034,KR
13,2014-03,20.84,22.625,20.6,21.825,215884604,KR
14,2014-04,21.865,23.02,21.665,23.02,161674954,KR
15,2014-05,23.055,23.95,22.655,23.87,141550310,KR
16,2014-06,23.9,25.1,23.385,24.715,138666264,KR
17,2014-07,24.6,25.745,24.39,24.49,113643818,KR
18,2014-08,24.5,25.555,24.29,25.49,88896746,KR
19,2014-09,25.515,26.48,25.485,26.0,126926184,KR
20,2014-10,25.96,29.245,25.42,27.855,174522514,KR
21,2014-11,27.865,30.19,27.85,29.92,102792954,KR
22,2014-12,29.905,32.4898,29.27,32.105,144915128,KR
23,2015-01,32.055,35.03,31.19,34.525,174090364,KR
24,2015-02,34.505,36.8,34.165,35.575,153679236,KR
25,2015-03,35.51,38.87,34.54,38.33,210363502,KR
26,2015-04,38.365,38.78,34.08,34.455,179729320,KR
27,2015-05,34.525,37.31,34.0475,36.4,159670486,KR
28,2015-06,36.595,37.515,35.12,36.255,161161716,KR
29,2015-07,36.545,39.3441,36.32,39.24,115935597,KR
30,2015-08,39.23,39.43,27.32,34.5,166485435,KR
31,2015-09,33.98,37.95,31.31,36.07,161564624,KR
32,2015-10,36.12,38.51,35.691,37.8,171373287,KR
33,2015-11,37.8,38.25,36.0,37.66,160460637,KR
34,2015-12,38.01,42.75,37.855,41.83,184554111,KR
35,2016-01,41.16,42.42,36.44,38.81,177245819,KR
36,2016-02,38.74,40.47,35.42,39.91,174449864,KR
37,2016-03,40.36,40.91,36.46,38.25,225981758,KR
38,2016-04,37.94,39.22,34.78,35.39,164310902,KR
39,2016-05,35.52,36.05,33.62,35.76,151248198,KR
40,2016-06,35.79,37.0,33.9,36.79,224019345,KR
41,2016-07,36.89,37.97,33.805,34.19,146557712,KR
42,2016-08,34.2,34.34,31.45,31.99,232487258,KR
43,2016-09,32.1,32.81,29.485,29.68,262113539,KR
44,2016-10,29.57,31.58,28.71,30.98,245643468,KR
45,2016-11,31.09,34.95,30.44,32.3,188836497,KR
46,2016-12,31.16,36.44,31.09,34.51,175312490,KR
47,2017-01,34.5,34.99,32.69,33.96,134535278,KR
48,2017-02,33.81,34.75,31.58,31.8,148717178,KR
49,2017-03,31.93,32.48,28.29,29.49,245823018,KR
50,2017-04,29.46,30.4,29.215,29.65,147380157,KR
51,2017-05,29.66,30.64,28.54,29.78,200077383,KR
52,2017-06,29.77,30.93,20.46,23.32,486697563,KR
53,2017-07,23.47,24.559,22.5,24.52,192447935,KR
54,2017-08,24.16,24.7,21.06,21.87,267248528,KR
55,2017-09,21.97,22.93,19.885,20.06,346664254,KR
56,2017-10,20.04,22.03,19.69,20.7,379420392,KR
57,2017-11,20.76,27.7,20.735,25.86,292247659,KR
58,2017-12,25.62,28.49,25.2,27.45,198354149,KR
59,2018-01,27.54,31.4536,26.54,30.36,225256480,KR
60,2018-02,30.21,30.7,27.18,28.9,47018643,KR
