,date,open,high,low,close,volume,Name
0,2013-02,45.97,48.24,44.57,46.1,41174701,KSS
1,2013-03,46.0,49.34,45.76,46.13,49204447,KSS
2,2013-04,46.11,49.3,45.33,47.06,46054866,KSS
3,2013-05,46.98,52.94,46.55,51.41,70383309,KSS
4,2013-06,51.39,53.21,49.39,50.51,45045777,KSS
5,2013-07,50.86,54.03,50.77,52.98,37236048,KSS
6,2013-08,53.4,54.52,49.57,51.31,56143603,KSS
7,2013-09,51.7,53.32,50.5,51.75,44972426,KSS
8,2013-10,51.62,57.49,50.6,56.8,57567018,KSS
9,2013-11,56.92,59.0,53.031000000000006,55.28,69700913,KSS
10,2013-12,55.11,56.885,53.62,56.75,47056120,KSS
11,2014-01,56.76,57.53,49.8,50.63,68277702,KSS
12,2014-02,50.63,57.33,48.683,56.19,58329653,KSS
13,2014-03,55.6,57.25,54.1,56.8,55173909,KSS
14,2014-04,56.91,58.2,53.11,54.79,47754871,KSS
15,2014-05,54.89,56.23,51.83,54.44,56614132,KSS
16,2014-06,54.66,54.81,51.88,52.68,42124209,KSS
17,2014-07,52.71,54.2,50.9,53.54,52835564,KSS
18,2014-08,53.65,59.9,53.18,58.79,59618864,KSS
19,2014-09,58.99,63.54,58.47,61.03,63432297,KSS
20,2014-10,60.89,61.9,53.86,54.22,82827553,KSS
21,2014-11,54.28,59.875,54.01,59.62,47961127,KSS
22,2014-12,59.39,62.02,55.865,61.04,61856942,KSS
23,2015-01,61.15,62.2,58.0,59.72,47468946,KSS
24,2015-02,59.99,74.66,59.61,73.8,79642764,KSS
25,2015-03,73.4,79.3,72.9,78.25,57989567,KSS
26,2015-04,77.86,79.6,70.9,71.65,55223213,KSS
27,2015-05,71.59,75.24,64.172,65.49,92559441,KSS
28,2015-06,65.49,66.18,61.7,62.61,49598783,KSS
29,2015-07,62.93,65.2,60.56,61.32,50474230,KSS
30,2015-08,61.33,64.18,49.09,51.03,90126174,KSS
31,2015-09,49.81,52.73,45.62,46.31,63134258,KSS
32,2015-10,47.18,47.52,43.45,46.12,67346362,KSS
33,2015-11,46.14,49.06,41.855,47.13,105262950,KSS
34,2015-12,47.27,49.53,44.06,47.63,80964919,KSS
35,2016-01,46.91,52.06,44.1883,49.75,82025324,KSS
36,2016-02,49.07,51.39,39.23,46.67,93460696,KSS
37,2016-03,46.9,49.96,45.3,46.61,58680482,KSS
38,2016-04,46.47,46.69,41.72,44.3,47570144,KSS
39,2016-05,44.64,45.13,33.87,36.04,106877140,KSS
40,2016-06,36.02,38.41,34.1,37.92,74298876,KSS
41,2016-07,37.81,42.14,35.94,41.59,64564087,KSS
42,2016-08,41.47,46.69,35.67,44.38,118285789,KSS
43,2016-09,44.67,44.6714,41.39,43.75,68086636,KSS
44,2016-10,43.53,46.46,42.38,43.75,62955004,KSS
45,2016-11,43.7,57.27,42.12,53.83,101411470,KSS
46,2016-12,53.5,59.67,49.12,49.38,79680482,KSS
47,2017-01,49.75,51.98,38.4799,39.83,117221530,KSS
48,2017-02,39.75,44.5,38.87,42.62,88049223,KSS
49,2017-03,42.92,43.25,36.66,39.81,99704851,KSS
50,2017-04,39.82,41.09,37.44,39.03,75412632,KSS
51,2017-05,39.06,42.13,35.6,38.43,116374642,KSS
52,2017-06,38.43,40.11,35.16,38.67,110297964,KSS
53,2017-07,38.83,41.88,36.21,41.35,63353276,KSS
54,2017-08,42.03,44.14,36.5,39.78,106428807,KSS
55,2017-09,39.26,47.44,39.1,45.65,72533988,KSS
56,2017-10,45.31,45.48,41.25,41.76,74672193,KSS
57,2017-11,41.95,49.5199,37.97,47.97,108438625,KSS
58,2017-12,48.0,57.281000000000006,46.88,54.23,78173009,KSS
59,2018-01,54.79,69.14,52.528,64.77,93882556,KSS
60,2018-02,64.48,66.23,58.09,62.92,19162242,KSS
