,date,open,high,low,close,volume,Name
0,2013-02,58.93,60.785,58.76,60.5,25427725,K
1,2013-03,60.31,64.75,60.05,64.43,29450762,K
2,2013-04,64.09,66.8399,63.19,65.04,33420369,K
3,2013-05,64.82,66.48,62.05,62.05,43591451,K
4,2013-06,61.97,65.12,61.025,64.23,38151260,K
5,2013-07,64.03,67.984,64.03,66.24,28284593,K
6,2013-08,65.94,66.24,60.28,60.71,40657650,K
7,2013-09,61.24,61.43,58.59,58.73,36384392,K
8,2013-10,58.52,64.4,58.01,63.25,39743002,K
9,2013-11,63.16,64.92,60.59,60.64,44905190,K
10,2013-12,60.64,62.31,59.58,61.07,33275993,K
11,2014-01,60.98,61.36,57.51,57.98,37647115,K
12,2014-02,58.01,61.26,55.69,60.69,49208876,K
13,2014-03,60.34,62.75,60.1,62.71,35583141,K
14,2014-04,62.47,67.49,62.31,66.83,56827666,K
15,2014-05,66.94,69.0,64.8,68.98,41826340,K
16,2014-06,69.0,69.5,64.465,65.7,35244295,K
17,2014-07,65.48,66.73,59.78,59.83,39089619,K
18,2014-08,61.48,65.38,61.2,64.97,35629560,K
19,2014-09,64.93,65.38,60.54,61.6,34924834,K
20,2014-10,60.5,64.74,58.83,63.96,42394154,K
21,2014-11,63.64,66.64,63.1,66.25,32586902,K
22,2014-12,65.85,67.44,63.67,65.44,36399535,K
23,2015-01,65.63,69.885,64.14,65.58,40148254,K
24,2015-02,65.65,67.315,61.82,64.48,40398196,K
25,2015-03,64.37,66.38,61.53,65.95,56871112,K
26,2015-04,65.69,67.0,63.03,63.33,35797085,K
27,2015-05,63.42,65.64,62.24,62.77,33648752,K
28,2015-06,62.6,63.88,61.13,62.7,39016749,K
29,2015-07,62.7,66.46,61.99,66.17,24915580,K
30,2015-08,65.93,69.85,63.52,66.28,45160167,K
31,2015-09,65.31,69.59,65.0,66.55,39420270,K
32,2015-10,66.26,72.34,65.03,70.52,37716036,K
33,2015-11,70.72,70.86,64.65,68.77,46691901,K
34,2015-12,69.39,73.68,68.2,72.27,37215990,K
35,2016-01,71.59,73.89,68.73,73.44,36347416,K
36,2016-02,73.32,76.24,70.33,74.02,52619345,K
37,2016-03,74.56,77.05,73.1096,76.55,38916127,K
38,2016-04,75.71,78.1,74.72,76.81,33781317,K
39,2016-05,77.0,77.94,73.7,74.37,46006621,K
40,2016-06,74.4,82.57,74.26,81.65,52639437,K
41,2016-07,81.445,87.16,80.64,82.71,65406286,K
42,2016-08,82.62,84.28,80.57,82.21,37473804,K
43,2016-09,81.88,82.78,76.9,77.47,34174747,K
44,2016-10,77.21,77.42,73.66,75.13,37094956,K
45,2016-11,75.62,78.37,71.83,72.0,35677737,K
46,2016-12,71.61,74.49,70.735,73.71,35635610,K
47,2017-01,73.71,73.73,71.05,72.71,32534805,K
48,2017-02,72.31,76.69,71.45,74.07,42028333,K
49,2017-03,74.07,75.31,72.2,72.61,54154979,K
50,2017-04,72.59,73.38,70.57,71.0,38541769,K
51,2017-05,71.09,73.4314,68.67,71.6,59553311,K
52,2017-06,71.89,74.28,68.56,69.46,43897885,K
53,2017-07,69.58,69.58,65.32,68.0,44300161,K
54,2017-08,71.52,71.65,65.16,65.46,50255636,K
55,2017-09,65.47,69.22,62.11,62.37,61350430,K
56,2017-10,62.22,63.93,58.76,62.53,80932525,K
57,2017-11,62.64,67.74,60.13,66.16,78419431,K
58,2017-12,66.02,68.71,64.21,67.98,61666604,K
59,2018-01,68.03,69.21,64.6601,68.11,63291930,K
60,2018-02,68.0,68.96,62.96,64.21,20399417,K
