,date,open,high,low,close,volume,Name
0,2013-02,46.14,46.56,42.49,45.52,59655900,LB
1,2013-03,45.19,45.58,42.83,44.66,49090800,LB
2,2013-04,44.56,51.25,44.52,50.41,58267800,LB
3,2013-05,50.36,53.33,48.76,50.01,64423000,LB
4,2013-06,50.03,53.14,49.06,49.25,60684700,LB
5,2013-07,49.67,56.01,48.77,55.77,41206200,LB
6,2013-08,56.11,61.36,55.91,57.36,49020900,LB
7,2013-09,57.97,61.66,56.26,61.1,33166200,LB
8,2013-10,61.04,62.93,54.73,62.61,59357600,LB
9,2013-11,62.77,66.16,61.68,64.99,30695300,LB
10,2013-12,64.82,67.12,55.68,61.85,26226200,LB
11,2014-01,61.68,62.52,51.72,52.36,51181700,LB
12,2014-02,52.55,57.44,50.78,56.33,48519364,LB
13,2014-03,55.7,59.17,55.51,56.77,36944614,LB
14,2014-04,56.83,59.95,53.24,54.2,36548426,LB
15,2014-05,54.33,58.07,53.03,57.39,33967908,LB
16,2014-06,57.46,60.61,56.57,58.66,25251214,LB
17,2014-07,58.96,61.95,56.78,57.97,32634941,LB
18,2014-08,58.05,64.47,57.93,63.85,35744997,LB
19,2014-09,63.9,68.61,63.51,66.98,33823104,LB
20,2014-10,66.98,75.34,64.47,72.12,42178257,LB
21,2014-11,72.36,81.81,71.46,80.9,35443569,LB
22,2014-12,80.86,87.58,79.9,86.55,30323170,LB
23,2015-01,87.0,87.14,79.32,84.63,42728893,LB
24,2015-02,84.73,94.84,82.38,91.86,34383094,LB
25,2015-03,91.87,95.62,89.935,94.29,29889776,LB
26,2015-04,94.78,95.78,88.48,89.36,25041491,LB
27,2015-05,89.8,92.13,85.765,86.52,32837264,LB
28,2015-06,86.59,88.43,83.42,85.73,37292259,LB
29,2015-07,86.34,87.42,80.42,80.72,39475481,LB
30,2015-08,80.82,84.96,75.11,83.9,46564353,LB
31,2015-09,82.08,93.41,81.9296,90.13,43509763,LB
32,2015-10,90.1,97.93,89.635,95.98,31417765,LB
33,2015-11,95.77,101.11,89.45,95.41,40597924,LB
34,2015-12,95.84,99.83,94.35,95.82,24792942,LB
35,2016-01,94.6,97.3899,88.66,96.15,39443175,LB
36,2016-02,95.72,97.35,79.35,84.79,65368864,LB
37,2016-03,85.39,88.77,84.63,87.81,38605724,LB
38,2016-04,87.7,88.74,75.91,78.29,59991068,LB
39,2016-05,78.58,80.2,60.0,68.56,103588682,LB
40,2016-06,67.39,71.46,64.3,67.13,58228106,LB
41,2016-07,66.87,75.0,66.36,73.9,36550108,LB
42,2016-08,73.98,79.67,70.4,76.21,44842527,LB
43,2016-09,76.91,77.545,69.33,70.77,37844148,LB
44,2016-10,70.86,74.46,69.6694,72.19,34619447,LB
45,2016-11,66.63,73.25,62.7,70.22,62826298,LB
46,2016-12,70.2,75.5,65.34,65.84,35068521,LB
47,2017-01,65.36,68.435,58.18,60.21,60994499,LB
48,2017-02,60.34,60.46,47.93,52.62,100361264,LB
49,2017-03,52.93,53.7057,46.76,47.1,91175987,LB
50,2017-04,47.1,52.88,43.04,52.81,89553917,LB
51,2017-05,52.91,53.67,47.52,51.6,93723439,LB
52,2017-06,51.83,55.35,49.87,53.89,61977381,LB
53,2017-07,54.35,55.98,43.35,46.39,78319278,LB
54,2017-08,42.01,46.53,35.0,36.22,126881271,LB
55,2017-09,36.23,43.24,36.1605,41.61,96718408,LB
56,2017-10,41.64,45.57,39.85,43.04,83377854,LB
57,2017-11,43.46,57.1884,42.535,56.07,99474402,LB
58,2017-12,55.86,63.1,54.09,60.22,75337199,LB
59,2018-01,61.25,61.44,47.0,50.09,105625867,LB
60,2018-02,49.54,50.315,44.38,49.11,20725623,LB
