,date,open,high,low,close,volume,Name
0,2013-02,29.79,30.88,29.13,30.58,17304991,LEG
1,2013-03,30.46,33.8,30.22,33.78,20651867,LEG
2,2013-04,33.78,34.07,31.57,32.24,25385071,LEG
3,2013-05,32.16,34.28,31.57,32.0,22117612,LEG
4,2013-06,32.06,32.94,29.59,31.09,27150063,LEG
5,2013-07,31.24,32.52,29.95,31.41,19794278,LEG
6,2013-08,31.77,32.03,28.83,28.92,19122036,LEG
7,2013-09,29.29,31.32,28.585,30.15,24161153,LEG
8,2013-10,30.11,30.5,28.0,29.74,25687187,LEG
9,2013-11,29.77,30.55,28.93,30.21,17186904,LEG
10,2013-12,30.16,31.33,28.79,30.94,22291051,LEG
11,2014-01,30.87,30.939,29.31,30.02,24452530,LEG
12,2014-02,30.02,32.25,28.9,32.05,17053653,LEG
13,2014-03,31.67,32.75,31.01,32.64,17865255,LEG
14,2014-04,32.6,33.85,31.54,32.86,19210138,LEG
15,2014-05,32.84,34.0599,32.16,33.92,18673927,LEG
16,2014-06,33.91,34.8,33.14,34.28,17356820,LEG
17,2014-07,34.3,34.49,32.53,32.8,20624783,LEG
18,2014-08,32.79,35.21,32.705,35.09,14407084,LEG
19,2014-09,35.06,35.94,34.82,34.92,17821629,LEG
20,2014-10,34.81,41.53,32.64,39.38,29826202,LEG
21,2014-11,39.35,42.47,39.3001,42.09,19233271,LEG
22,2014-12,41.89,43.15,39.38,42.61,24144397,LEG
23,2015-01,42.64,45.79,41.36,42.63,30941922,LEG
24,2015-02,42.75,45.7,42.04,45.05,18347475,LEG
25,2015-03,45.5,46.95,43.94,46.09,24950521,LEG
26,2015-04,46.0,46.14,42.34,42.47,16028571,LEG
27,2015-05,42.53,47.92,42.53,47.28,20467189,LEG
28,2015-06,47.41,49.95,46.82,48.68,22104877,LEG
29,2015-07,49.27,51.28,47.26,47.81,19543073,LEG
30,2015-08,47.74,49.6,39.58,44.42,26487483,LEG
31,2015-09,43.57,44.93,40.33,41.25,23617931,LEG
32,2015-10,41.21,47.2,40.83,45.03,21121430,LEG
33,2015-11,45.19,47.35,43.84,46.6,15442200,LEG
34,2015-12,46.8,46.9,41.59,42.02,19382551,LEG
35,2016-01,41.27,41.58,36.64,41.51,23903355,LEG
36,2016-02,41.25,45.805,39.56,44.66,20296219,LEG
37,2016-03,45.16,48.5,44.88,48.4,16131455,LEG
38,2016-04,48.03,49.46,47.11,49.29,19643228,LEG
39,2016-05,49.5,50.46,47.95,50.26,16034669,LEG
40,2016-06,50.08,51.2,47.44,51.11,15038273,LEG
41,2016-07,51.11,54.625,49.86,52.57,14383596,LEG
42,2016-08,51.8,53.24,51.01,52.48,21032918,LEG
43,2016-09,52.56,52.65,45.11,45.58,20152079,LEG
44,2016-10,45.44,46.38,44.02,45.88,25108631,LEG
45,2016-11,45.99,49.81,44.77,48.06,17938546,LEG
46,2016-12,48.12,50.79,47.49,48.88,13900659,LEG
47,2017-01,49.25,50.09,46.24,47.72,21218381,LEG
48,2017-02,49.4,50.16,47.9,49.18,19102100,LEG
49,2017-03,49.65,50.894,48.075,50.32,20822157,LEG
50,2017-04,50.5,54.97,50.24,52.54,22567974,LEG
51,2017-05,52.76,53.96,49.915,52.02,20486988,LEG
52,2017-06,52.02,53.72,51.51,52.53,16794832,LEG
53,2017-07,52.55,53.96,48.16,48.18,18312337,LEG
54,2017-08,47.78,48.37,44.65,45.97,19892964,LEG
55,2017-09,46.05,47.97,43.165,47.73,21192824,LEG
56,2017-10,47.75,51.99,46.96,47.26,23414747,LEG
57,2017-11,47.15,48.8,44.76,48.24,18237884,LEG
58,2017-12,48.39,49.17,45.82,47.73,16495423,LEG
59,2018-01,47.93,49.88,46.24,46.51,23768911,LEG
60,2018-02,46.27,47.04,42.0,45.78,13621986,LEG
