,date,open,high,low,close,volume,Name
0,2013-02,89.83,90.96,87.73,88.6,11269766,LH
1,2013-03,88.33,90.89,87.65,90.2,14463135,LH
2,2013-04,89.79,95.92,89.685,93.36,20648858,LH
3,2013-05,93.18,101.69,91.25,99.49,18948189,LH
4,2013-06,99.8,101.49,97.74,100.1,13102735,LH
5,2013-07,100.33,101.03,95.36,96.74,18719164,LH
6,2013-08,97.26,99.16,95.5,95.72,11070896,LH
7,2013-09,96.14,101.92,95.63,99.14,11117108,LH
8,2013-10,99.23,104.37,98.35,100.9,16451549,LH
9,2013-11,100.92,108.0,100.15,101.85,13722529,LH
10,2013-12,101.58,101.61,87.01,91.37,28759193,LH
11,2014-01,91.37,93.49,88.59,89.83,21424772,LH
12,2014-02,90.0,94.7,87.25,93.54,22074910,LH
13,2014-03,93.08,102.0,92.5,98.21,25155514,LH
14,2014-04,100.16,102.97,95.12,98.7,24832034,LH
15,2014-05,98.64,102.91,97.31,102.58,15794780,LH
16,2014-06,102.72,105.38,99.367,102.4,17946525,LH
17,2014-07,103.15,107.42,101.64,103.69,15819260,LH
18,2014-08,103.21,107.67,101.84,107.23,10005075,LH
19,2014-09,107.25,108.77,101.55,101.75,9973996,LH
20,2014-10,101.88,109.47,95.61,109.29,16727583,LH
21,2014-11,104.79,105.135,98.54,104.64,35528187,LH
22,2014-12,104.64,109.84,99.89,107.9,29101528,LH
23,2015-01,109.69,119.21,108.7275,114.78,31611855,LH
24,2015-02,113.32,124.57,112.75,123.03,29393961,LH
25,2015-03,123.37,131.19,120.09,126.09,20504568,LH
26,2015-04,125.88,129.33,118.73,119.56,20368566,LH
27,2015-05,119.7,125.45,116.0,117.95,26189492,LH
28,2015-06,118.14,122.5,116.63,121.22,22798361,LH
29,2015-07,121.64,127.99,117.76,127.29,23989476,LH
30,2015-08,127.82,128.84,114.44,117.81,19984399,LH
31,2015-09,115.7,123.17,105.77,108.47,24026785,LH
32,2015-10,108.29,124.5,107.3,122.74,27833672,LH
33,2015-11,123.27,124.92,118.87899999999999,121.54,16398632,LH
34,2015-12,122.46,126.24,117.63,123.64,19196485,LH
35,2016-01,121.86,123.99,106.37,112.35,20771070,LH
36,2016-02,111.12,113.58,97.79,109.84,22750913,LH
37,2016-03,110.93,118.78,108.945,117.13,19935148,LH
38,2016-04,116.71,128.3,115.98,125.32,22305436,LH
39,2016-05,125.38,129.29,122.85,127.95,15241991,LH
40,2016-06,127.42,131.99,124.53,130.27,22930334,LH
41,2016-07,130.48,139.8,129.68,139.56,16194070,LH
42,2016-08,139.87,141.32,135.16,136.93,14479446,LH
43,2016-09,136.93,140.595,131.96,137.48,13778844,LH
44,2016-10,136.95,140.27,122.0,125.34,17378312,LH
45,2016-11,125.68,128.91,119.51,125.85,16167551,LH
46,2016-12,125.9,130.81,123.36,128.38,12918735,LH
47,2017-01,129.17,135.9899,128.15,134.21,16321844,LH
48,2017-02,134.7,143.7,128.0,142.26,19873039,LH
49,2017-03,143.15,145.0,141.06,143.47,14681166,LH
50,2017-04,142.75,146.63,134.19,140.15,16098757,LH
51,2017-05,140.56,142.87,136.61,139.0,13845422,LH
52,2017-06,139.68,154.82,137.825,154.14,17926615,LH
53,2017-07,154.14,164.22,149.84,158.91,12481855,LH
54,2017-08,161.0,161.1499,150.71,156.87,12904311,LH
55,2017-09,157.12,164.86,146.68,150.97,14629670,LH
56,2017-10,151.11,156.44,147.275,153.71,14450253,LH
57,2017-11,153.63,159.545,147.7,158.27,13704143,LH
58,2017-12,158.35,165.18,153.41,159.51,10702935,LH
59,2018-01,160.0,181.715,159.71,174.5,11928146,LH
60,2018-02,173.87,174.835,160.28,169.66,4462653,LH
