,date,open,high,low,close,volume,Name
0,2013-02,23.24,23.99,20.721,21.19,27609959,LKQ
1,2013-03,21.24,21.905,20.09,21.76,54946585,LKQ
2,2013-04,21.81,24.1,20.28,24.08,37723647,LKQ
3,2013-05,24.07,25.89,23.77,24.48,26149929,LKQ
4,2013-06,24.53,26.58,23.68,25.75,26884371,LKQ
5,2013-07,26.39,26.83,25.38,26.07,25081120,LKQ
6,2013-08,27.79,31.07,27.38,29.24,26727877,LKQ
7,2013-09,29.73,32.29,28.64,31.87,27341849,LKQ
8,2013-10,32.44,34.07,30.61,33.03,30735490,LKQ
9,2013-11,32.9,33.46,30.78,33.15,19281307,LKQ
10,2013-12,33.21,34.32,32.0,32.9,29806417,LKQ
11,2014-01,32.84,32.8997,25.27,27.07,93570621,LKQ
12,2014-02,26.58,29.69,25.86,27.89,56873866,LKQ
13,2014-03,27.59,28.816,24.46,26.35,56878740,LKQ
14,2014-04,26.42,29.655,26.36,29.12,49683698,LKQ
15,2014-05,29.29,29.84,27.65,27.74,32872696,LKQ
16,2014-06,27.74,28.77,24.95,26.69,43591668,LKQ
17,2014-07,26.81,27.48,25.145,26.155,38067057,LKQ
18,2014-08,26.08,28.53,25.16,28.4,35900449,LKQ
19,2014-09,28.37,29.21,26.13,26.59,32879609,LKQ
20,2014-10,26.51,28.95,25.04,28.57,36813968,LKQ
21,2014-11,28.55,29.555,28.16,29.05,20180572,LKQ
22,2014-12,28.96,29.64,26.74,28.12,25908113,LKQ
23,2015-01,28.22,28.23,25.115,25.81,25050946,LKQ
24,2015-02,25.86,27.91,22.9,24.575,47586847,LKQ
25,2015-03,24.6,25.76,23.39,25.56,73146050,LKQ
26,2015-04,25.55,27.88,24.92,27.07,41426450,LKQ
27,2015-05,27.31,29.0,26.53,28.57,29106055,LKQ
28,2015-06,28.62,30.82,28.43,30.245,27600214,LKQ
29,2015-07,30.47,32.25,29.927,31.46,40632881,LKQ
30,2015-08,31.52,31.9899,26.67,29.99,29815971,LKQ
31,2015-09,29.45,31.04,27.81,28.36,31126364,LKQ
32,2015-10,28.37,30.318,27.56,29.61,37260108,LKQ
33,2015-11,29.69,30.5,28.685,29.49,24963572,LKQ
34,2015-12,29.55,30.26,27.08,29.63,29553861,LKQ
35,2016-01,29.27,29.49,25.01,27.4,36877566,LKQ
36,2016-02,27.23,29.0,23.95,27.6,35656491,LKQ
37,2016-03,27.79,32.12,27.66,31.93,45005459,LKQ
38,2016-04,31.75,34.26,31.02,32.05,42957517,LKQ
39,2016-05,32.05,33.475,31.23,33.07,106620723,LKQ
40,2016-06,32.78,33.62,29.37,31.7,46410082,LKQ
41,2016-07,31.7,34.51,31.18,34.39,39087758,LKQ
42,2016-08,34.4,36.35,34.25,36.09,34488763,LKQ
43,2016-09,35.9,36.3,34.03,35.46,40840815,LKQ
44,2016-10,35.31,35.58,29.57,32.28,49948500,LKQ
45,2016-11,32.34,33.59,30.98,32.83,35067844,LKQ
46,2016-12,32.84,34.3,30.54,30.65,41136413,LKQ
47,2017-01,30.99,31.99,30.71,31.91,41571377,LKQ
48,2017-02,31.91,33.17,30.58,31.58,52217685,LKQ
49,2017-03,31.9,32.3,29.03,29.27,59532194,LKQ
50,2017-04,29.14,32.47,27.85,31.24,50666390,LKQ
51,2017-05,31.54,31.965999999999998,30.61,31.49,35902796,LKQ
52,2017-06,31.58,33.09,31.25,32.95,38403404,LKQ
53,2017-07,33.2,34.66,31.17,34.56,35789400,LKQ
54,2017-08,34.74,34.75,33.44,34.65,29300580,LKQ
55,2017-09,34.73,36.05,34.45,35.99,23428958,LKQ
56,2017-10,36.08,37.72,35.78,37.69,28844935,LKQ
57,2017-11,37.88,39.63,36.49,39.42,27085289,LKQ
58,2017-12,39.53,41.42,38.85,40.67,33043941,LKQ
59,2018-01,41.04,43.8599,40.41,42.03,27704948,LKQ
60,2018-02,41.73,42.11,38.16,40.35,8915872,LKQ
