,date,open,high,low,close,volume,Name
0,2013-02,87.43,89.08,85.88,88.0,54319305,LMT
1,2013-03,87.75,96.59,86.51,96.52,37664073,LMT
2,2013-04,96.14,99.49,94.0,99.09,37983533,LMT
3,2013-05,98.9,108.8,98.77,105.83,49638084,LMT
4,2013-06,106.0,109.26,103.04,108.46,34733543,LMT
5,2013-07,108.46,121.57,105.54,120.12,32975797,LMT
6,2013-08,120.76,126.729,120.75,122.42,37250699,LMT
7,2013-09,123.35,131.6,122.54,127.55,28051938,LMT
8,2013-10,127.77,134.96,121.52,133.34,38464028,LMT
9,2013-11,133.54,144.43,133.43,141.67,38026665,LMT
10,2013-12,141.85,149.99,135.3856,148.66,28871963,LMT
11,2014-01,147.05,158.43,145.12,150.91,45568251,LMT
12,2014-02,150.54,168.41,144.69,162.3,43937947,LMT
13,2014-03,160.82,167.87,157.01,163.24,38118653,LMT
14,2014-04,163.52,165.13,153.54,164.14,32130610,LMT
15,2014-05,163.72,168.0,159.89,163.65,25883895,LMT
16,2014-06,163.88,168.87,160.36,160.73,21529905,LMT
17,2014-07,160.04,171.36,156.23,166.97,28764439,LMT
18,2014-08,166.72,177.19,162.5201,174.0,23730353,LMT
19,2014-09,175.14,184.09,172.37,182.78,28358314,LMT
20,2014-10,181.15,192.34,166.28,190.57,44084023,LMT
21,2014-11,191.3,192.94,184.393,191.56,25395803,LMT
22,2014-12,190.93,198.72,182.405,192.57,26351859,LMT
23,2015-01,192.1,198.88,186.8,188.37,26631912,LMT
24,2015-02,188.41,207.06,186.01,200.05,26029592,LMT
25,2015-03,200.67,206.19,195.601,202.96,27235625,LMT
26,2015-04,202.1,202.55,185.65,186.6,28425725,LMT
27,2015-05,186.8,194.31,185.91,188.2,21151542,LMT
28,2015-06,189.48,194.49,185.33,185.9,26442802,LMT
29,2015-07,186.01,210.41,186.01,207.1,28547523,LMT
30,2015-08,207.27,213.34,181.91,201.18,29200805,LMT
31,2015-09,197.87,210.53,197.016,207.31,27833026,LMT
32,2015-10,206.31,225.15,201.81,219.83,30567358,LMT
33,2015-11,219.89,227.91,211.78,219.16,27702279,LMT
34,2015-12,220.06,223.1,211.85,217.15,27212451,LMT
35,2016-01,214.0,221.0,200.47,211.0,40443222,LMT
36,2016-02,209.26,220.14,203.65,215.79,32717675,LMT
37,2016-03,216.59,223.86,210.9,221.5,24932104,LMT
38,2016-04,219.96,234.59,219.17,232.38,21631709,LMT
39,2016-05,232.74,245.37,231.365,236.23,23076761,LMT
40,2016-06,235.92,248.72,234.75,248.17,28273378,LMT
41,2016-07,248.24,263.37,247.88,252.73,54459399,LMT
42,2016-08,252.63,266.93,238.6,242.97,146232825,LMT
43,2016-09,243.13,247.48,235.28,239.72,30229692,LMT
44,2016-10,238.71,252.0,228.5,246.38,28917054,LMT
45,2016-11,247.19,269.74,236.2064,265.25,32683800,LMT
46,2016-12,265.29,269.9,245.5,249.94,34841466,LMT
47,2017-01,251.2,259.74,248.0,251.33,30320815,LMT
48,2017-02,250.83,270.0,249.98,266.58,20304772,LMT
49,2017-03,269.09,274.57,264.041,267.6,22118525,LMT
50,2017-04,267.6,276.64,266.32,269.45,18990161,LMT
51,2017-05,269.55,284.0,266.01,281.13,19552440,LMT
52,2017-06,281.18,284.98,273.73,277.61,19226893,LMT
53,2017-07,277.39,293.84,277.2,292.13,20422146,LMT
54,2017-08,292.73,308.48,292.15,305.39,23263802,LMT
55,2017-09,305.96,311.36,298.4,310.29,22602301,LMT
56,2017-10,310.79,322.19,303.31,308.16,22923943,LMT
57,2017-11,309.05,321.21,306.11,319.12,17979216,LMT
58,2017-12,319.06,323.94,310.07,321.05,19477441,LMT
59,2018-01,322.0,358.52,317.5,354.85,30203025,LMT
60,2018-02,354.26,361.79,326.11,345.43,11141263,LMT
