,date,open,high,low,close,volume,Name
0,2013-02,29.31,30.82,27.82,29.54,46917207,LNC
1,2013-03,29.26,33.66,28.91,32.61,65380396,LNC
2,2013-04,32.6,34.3333,30.04,34.01,66862785,LNC
3,2013-05,33.59,36.63,31.01,35.66,73766398,LNC
4,2013-06,35.78,36.75,33.57,36.47,59838323,LNC
5,2013-07,36.73,42.37,36.72,41.67,58890207,LNC
6,2013-08,44.56,44.84,41.78,42.04,49563384,LNC
7,2013-09,42.72,45.46,41.131,41.99,46041631,LNC
8,2013-10,41.97,45.96,40.841,45.41,41735670,LNC
9,2013-11,45.46,51.61,45.13,51.33,43024384,LNC
10,2013-12,51.49,52.27,49.47,51.62,39610339,LNC
11,2014-01,51.33,52.55,46.51,48.03,42981515,LNC
12,2014-02,47.85,51.16,45.7096,50.13,43572649,LNC
13,2014-03,49.16,53.26,48.94,50.67,40366302,LNC
14,2014-04,51.1499,52.09,45.61,48.51,42878393,LNC
15,2014-05,49.0,51.32,46.4,47.96,51190717,LNC
16,2014-06,48.43,53.09,48.23,51.44,35331650,LNC
17,2014-07,51.74,53.86,50.69,52.39,28118677,LNC
18,2014-08,51.26,55.16,50.08,55.04,32947980,LNC
19,2014-09,55.28,56.52,52.65,53.58,35733865,LNC
20,2014-10,53.49,56.55,45.25,54.76,53422346,LNC
21,2014-11,53.84,58.48,53.65,56.63,31507901,LNC
22,2014-12,56.09,59.17,53.95,57.67,40838999,LNC
23,2015-01,58.1,58.549,49.83,49.98,51482359,LNC
24,2015-02,50.36,59.0,49.98,57.64,53234944,LNC
25,2015-03,57.58,60.84,56.17,57.46,44137709,LNC
26,2015-04,56.96,58.58,55.75,56.49,39280695,LNC
27,2015-05,56.93,59.51,56.52,57.01,37905385,LNC
28,2015-06,57.11,62.08,56.5414,59.22,37418818,LNC
29,2015-07,60.38,61.2,55.99100000000001,56.32,39733565,LNC
30,2015-08,56.49,57.53,45.77,50.79,47526562,LNC
31,2015-09,49.22,50.92,45.89,47.46,41546641,LNC
32,2015-10,47.41,55.24,45.56,53.51,41677590,LNC
33,2015-11,53.8,57.54,53.4,54.99,32777742,LNC
34,2015-12,55.4,55.92,48.49,50.26,40962793,LNC
35,2016-01,49.17,49.51,36.73,39.46,52657817,LNC
36,2016-02,39.13,39.415,30.39,36.53,68039467,LNC
37,2016-03,36.91,42.06,36.91,39.2,56441101,LNC
38,2016-04,39.05,44.8,37.12,43.45,45044922,LNC
39,2016-05,43.56,46.69,40.16,45.85,57368305,LNC
40,2016-06,45.31,46.09,35.27,38.77,56681975,LNC
41,2016-07,37.64,43.92,36.0,43.67,49212476,LNC
42,2016-08,43.84,48.48,42.24,48.03,41890268,LNC
43,2016-09,48.2,48.47,44.74,46.98,37070720,LNC
44,2016-10,46.71,50.33,46.615,49.09,29361884,LNC
45,2016-11,49.39,64.82,47.9,64.1,47523458,LNC
46,2016-12,64.87,69.49,64.36,66.27,32952547,LNC
47,2017-01,66.91,70.37,65.18,67.51,26430603,LNC
48,2017-02,68.5,73.31,66.62,70.16,34882635,LNC
49,2017-03,72.25,72.93,61.45,65.45,49786477,LNC
50,2017-04,65.41,67.98,62.67,65.93,31755731,LNC
51,2017-05,66.37,69.28,63.1,64.98,33814056,LNC
52,2017-06,65.62,69.29,63.32,67.58,34096425,LNC
53,2017-07,68.18,73.34,68.12,73.06,23695466,LNC
54,2017-08,73.99,75.78,66.62,67.86,33939152,LNC
55,2017-09,68.16,74.72,64.75,73.48,25346231,LNC
56,2017-10,73.71,77.36,73.181,75.78,22209919,LNC
57,2017-11,76.02,77.95,72.54,76.55,25787180,LNC
58,2017-12,76.7,78.74,74.0,76.87,25156275,LNC
59,2018-01,77.99,86.68,76.88,82.8,30043930,LNC
60,2018-02,83.59,86.19,75.211,78.51,9702585,LNC
