,date,open,high,low,close,volume,Name
0,2013-02,38.77,39.98,35.86,38.15,151894694,LOW
1,2013-03,37.91,39.69,37.55,37.92,151862239,LOW
2,2013-04,37.8,39.42,37.09,38.42,179676336,LOW
3,2013-05,38.34,43.84,37.98,42.11,181807774,LOW
4,2013-06,42.12,42.46,38.87,40.9,174652500,LOW
5,2013-07,41.19,45.3,40.95,44.58,133367587,LOW
6,2013-08,44.94,47.51,43.52,45.82,181943648,LOW
7,2013-09,46.25,49.17,45.17,47.61,128918689,LOW
8,2013-10,47.64,50.74,46.095,49.78,166825248,LOW
9,2013-11,49.83,52.08,47.16,47.48,167552081,LOW
10,2013-12,47.58,49.605,45.75,49.55,121754920,LOW
11,2014-01,49.55,49.91,45.62,46.29,139033139,LOW
12,2014-02,46.26,51.28,44.45,50.03,149587115,LOW
13,2014-03,48.6,50.78,48.16,48.9,112099520,LOW
14,2014-04,49.07,49.97,45.65,45.91,113174131,LOW
15,2014-05,46.05,47.83,44.13,47.08,112809089,LOW
16,2014-06,47.09,48.25,45.1,47.99,134004286,LOW
17,2014-07,48.03,48.54,46.48,47.85,100137936,LOW
18,2014-08,47.89,53.04,47.27,52.51,117360844,LOW
19,2014-09,52.66,54.81,52.03,52.92,102296280,LOW
20,2014-10,52.76,57.41,49.85,57.2,138274194,LOW
21,2014-11,57.2,64.14,56.76,63.83,97616213,LOW
22,2014-12,63.55,69.57,62.91,68.8,111700033,LOW
23,2015-01,69.0,71.11,65.36,67.76,112958538,LOW
24,2015-02,67.58,75.98,66.165,74.09,93875777,LOW
25,2015-03,73.52,76.25,72.48,74.39,103215509,LOW
26,2015-04,74.32,75.64,68.6,68.86,90454186,LOW
27,2015-05,67.67,73.93,67.6,69.98,116900587,LOW
28,2015-06,69.96,71.08,66.69,66.97,111234842,LOW
29,2015-07,67.45,69.8,65.83,69.36,112700087,LOW
30,2015-08,69.17,74.78,64.22,69.17,139075958,LOW
31,2015-09,67.88,71.59,66.22,68.92,94054527,LOW
32,2015-10,69.04,74.57,68.16,73.83,85393879,LOW
33,2015-11,73.9,78.13,69.75,76.6,109619737,LOW
34,2015-12,76.91,77.67,73.87,76.04,84587131,LOW
35,2016-01,74.69,76.4699,66.93,71.66,119580134,LOW
36,2016-02,70.54,72.89,62.6201,67.53,144320959,LOW
37,2016-03,68.18,76.38,66.92,75.75,99098885,LOW
38,2016-04,75.63,77.63,74.67,76.02,83850588,LOW
39,2016-05,75.33,80.69,74.56,80.13,108148787,LOW
40,2016-06,79.86,80.76,75.35,79.17,113968076,LOW
41,2016-07,79.34,83.65,78.82,82.28,86553445,LOW
42,2016-08,81.91,82.68,75.81,76.56,114298611,LOW
43,2016-09,76.69,77.08,70.407,72.21,118348001,LOW
44,2016-10,72.06,73.22,66.38,66.65,125729929,LOW
45,2016-11,66.44,72.37,64.87,70.55,156963619,LOW
46,2016-12,70.34,76.465,69.92,71.12,121375194,LOW
47,2017-01,71.71,74.75,70.49,73.08,104191296,LOW
48,2017-02,72.91,77.52,71.79,74.37,106683867,LOW
49,2017-03,81.28,84.0,80.28,82.21,128276618,LOW
50,2017-04,83.11,85.76,81.05,84.88,81098266,LOW
51,2017-05,84.84,86.25,78.1,78.77,136022967,LOW
52,2017-06,78.77,81.4499,75.79,77.53,131719025,LOW
53,2017-07,78.0,78.45,71.58,77.4,122500926,LOW
54,2017-08,78.46,78.91,70.76,73.89,148695807,LOW
55,2017-09,74.19,80.15,73.72,79.94,145446311,LOW
56,2017-10,80.04,82.74,79.4,79.95,109691044,LOW
57,2017-11,79.62,84.68,75.361,83.37,142209728,LOW
58,2017-12,83.24,93.55,82.1153,92.94,131002762,LOW
59,2018-01,93.02,108.98,91.17,104.73,128537388,LOW
60,2018-02,103.84,105.08,94.81,99.92,33798985,LOW
