,date,open,high,low,close,volume,Name
0,2013-02,11.6,11.895,11.23,11.7,80774693,LUV
1,2013-03,11.66,13.575,11.66,13.48,140663274,LUV
2,2013-04,13.47,13.77,12.445,13.7,158470347,LUV
3,2013-05,13.71,14.56,13.4,14.17,174357913,LUV
4,2013-06,14.18,14.28,12.79,12.89,150912846,LUV
5,2013-07,12.96,14.02,12.58,13.83,119505172,LUV
6,2013-08,13.91,14.24,12.645,12.81,119034751,LUV
7,2013-09,12.97,14.82,12.73,14.56,124582791,LUV
8,2013-10,14.58,17.34,14.48,17.22,151818116,LUV
9,2013-11,17.26,18.975,17.2,18.59,150548783,LUV
10,2013-12,18.62,19.0,17.73,18.84,122876114,LUV
11,2014-01,18.85,22.1,18.78,20.95,195723468,LUV
12,2014-02,20.98,22.625,20.23,22.44,154376058,LUV
13,2014-03,22.15,24.17,21.82,23.61,148120899,LUV
14,2014-04,23.73,24.45,22.35,24.17,141616905,LUV
15,2014-05,24.17,26.64,23.85,26.45,105614278,LUV
16,2014-06,26.48,27.7,25.47,26.86,140150721,LUV
17,2014-07,27.18,29.7,25.86,28.28,140648893,LUV
18,2014-08,28.67,32.43,27.4207,32.01,101226896,LUV
19,2014-09,32.08,35.49,32.03,33.77,150334104,LUV
20,2014-10,32.97,35.35,28.4,34.48,278912481,LUV
21,2014-11,34.55,42.42,34.47,41.82,150297301,LUV
22,2014-12,42.24,43.1872,38.73,42.32,194325354,LUV
23,2015-01,42.69,47.1738,38.26,45.18,187090319,LUV
24,2015-02,44.94,45.4899,42.19,43.24,150687774,LUV
25,2015-03,43.63,46.5,42.21,44.3,133228860,LUV
26,2015-04,44.07,44.19,40.1,40.56,140860110,LUV
27,2015-05,40.83,43.45,35.54,37.05,185920091,LUV
28,2015-06,37.11,38.3,33.02,33.09,238160807,LUV
29,2015-07,33.86,38.695,31.36,36.2,195240903,LUV
30,2015-08,36.66,40.87,32.94,36.7,187825244,LUV
31,2015-09,36.17,40.0,36.0,38.04,140450003,LUV
32,2015-10,37.82,46.95,37.0,46.29,163801408,LUV
33,2015-11,46.47,47.76,44.6802,45.88,99993064,LUV
34,2015-12,46.0,51.34,42.66,43.06,138904336,LUV
35,2016-01,41.7,43.5,35.51,37.62,154042697,LUV
36,2016-02,37.62,42.86,33.96,41.95,146456568,LUV
37,2016-03,42.22,45.39,39.99,44.8,135667217,LUV
38,2016-04,44.4,48.0,43.0901,44.61,136927285,LUV
39,2016-05,44.63,45.0,40.74,42.48,113039273,LUV
40,2016-06,42.5,44.33,36.48,39.21,168438888,LUV
41,2016-07,39.26,43.571000000000005,37.01,37.01,173101981,LUV
42,2016-08,37.16,38.03,35.42,36.88,140716121,LUV
43,2016-09,36.88,39.18,36.31,38.89,134019754,LUV
44,2016-10,38.85,42.93,36.91,40.05,211850483,LUV
45,2016-11,39.98,47.99,39.33,46.61,147979836,LUV
46,2016-12,46.36,51.31,46.185,49.84,104655529,LUV
47,2017-01,50.4,54.18,48.711000000000006,52.31,123704596,LUV
48,2017-02,52.55,58.57,52.18,57.8,99933606,LUV
49,2017-03,58.47,59.68,51.11,53.76,137622080,LUV
50,2017-04,53.72,57.84,52.88,56.22,91115769,LUV
51,2017-05,56.52,61.19,56.17,60.09,89232137,LUV
52,2017-06,60.18,62.75,57.63,62.14,105489900,LUV
53,2017-07,62.52,64.39,53.77,55.51,105944548,LUV
54,2017-08,55.88,56.87,50.49,52.14,128363672,LUV
55,2017-09,52.35,56.65,49.76,55.98,116275938,LUV
56,2017-10,56.02,59.89,53.54,53.86,118508974,LUV
57,2017-11,54.03,61.51,52.78,60.67,91033188,LUV
58,2017-12,60.51,66.985,59.51,65.45,85218377,LUV
59,2018-01,65.91,66.52,59.25,60.8,116207271,LUV
60,2018-02,60.51,61.12,55.55,57.89,28238100,LUV
