,date,open,high,low,close,volume,Name
0,2013-02,61.56,63.3,55.94,58.62,75138584,LYB
1,2013-03,58.19,65.69,57.43,63.29,77963675,LYB
2,2013-04,63.09,63.27,55.02,60.7,99343159,LYB
3,2013-05,60.55,68.09,57.33,66.65,98833343,LYB
4,2013-06,66.82,69.45,63.67,66.26,89648848,LYB
5,2013-07,67.0,71.33,64.74,68.71,72321888,LYB
6,2013-08,68.3,71.04,67.52,70.15,72730669,LYB
7,2013-09,71.19,75.67,68.94,73.23,82899676,LYB
8,2013-10,73.29,79.34,72.27,74.6,64216149,LYB
9,2013-11,74.26,79.34,73.6,77.18,67451449,LYB
10,2013-12,77.44,80.33,74.51,80.28,59527200,LYB
11,2014-01,80.05,82.97,74.37,78.76,83814318,LYB
12,2014-02,78.99,89.19,76.32,88.08,68634578,LYB
13,2014-03,87.28,91.94,87.04,88.94,65832110,LYB
14,2014-04,89.15,93.99,85.4,92.5,72791961,LYB
15,2014-05,92.79,100.49,91.87,99.57,55040489,LYB
16,2014-06,99.93,102.63,96.36,97.65,65875672,LYB
17,2014-07,98.3,110.38,97.09,106.25,54425825,LYB
18,2014-08,106.25,114.38,105.64,114.35,49854123,LYB
19,2014-09,115.07,115.4,107.67,108.66,54049713,LYB
20,2014-10,107.77,107.79,81.15,91.63,165128771,LYB
21,2014-11,91.89,94.33,78.58,78.86,98434110,LYB
22,2014-12,76.21,83.44,70.06,79.39,140039625,LYB
23,2015-01,79.94,82.97,71.74,79.09,104375880,LYB
24,2015-02,79.25,91.99,79.25,85.91,96856785,LYB
25,2015-03,85.55,88.5897,81.76,87.8,84260106,LYB
26,2015-04,88.33,105.23,87.03,103.52,86431928,LYB
27,2015-05,104.31,107.32,99.64,101.1,61777895,LYB
28,2015-06,101.79,106.5,98.6243,103.52,66866877,LYB
29,2015-07,104.15,104.66,88.51,93.83,85050058,LYB
30,2015-08,93.35,93.53,72.76,85.38,100625127,LYB
31,2015-09,82.31,87.62,79.775,83.36,82651115,LYB
32,2015-10,84.72,98.25,83.84100000000001,92.91,95926264,LYB
33,2015-11,92.69,96.87,88.77,95.82,58696044,LYB
34,2015-12,96.0,97.2,83.22,86.9,77465787,LYB
35,2016-01,86.28,88.34,69.095,77.97,84220033,LYB
36,2016-02,77.59,82.01,71.5,80.21,80061067,LYB
37,2016-03,81.09,89.99,79.39,85.58,92035474,LYB
38,2016-04,84.5,93.75,81.6,82.67,69447348,LYB
39,2016-05,83.0,85.0,79.8001,81.36,59318969,LYB
40,2016-06,80.7,83.51,69.82,74.42,86479135,LYB
41,2016-07,74.6,80.24,71.48,75.26,60742637,LYB
42,2016-08,75.26,80.45,71.55,78.89,68670368,LYB
43,2016-09,78.87,81.75,74.02,80.66,72492374,LYB
44,2016-10,80.85,84.59,78.12,79.55,62298338,LYB
45,2016-11,80.01,90.99,76.71,90.32,70694440,LYB
46,2016-12,90.97,92.68,85.14,85.78,59013741,LYB
47,2017-01,87.02,97.64,85.87,93.27,60323478,LYB
48,2017-02,93.75,95.92,89.86,91.24,57540297,LYB
49,2017-03,92.61,94.8299,85.655,91.19,54870931,LYB
50,2017-04,91.49,92.03,84.1,84.76,49336209,LYB
51,2017-05,85.0,85.19,79.03,80.52,67948186,LYB
52,2017-06,79.74,85.08,78.01,84.39,63141756,LYB
53,2017-07,85.05,91.27,82.54,90.09,44822229,LYB
54,2017-08,88.75,91.41,85.35,90.59,49267842,LYB
55,2017-09,90.1,100.69,88.81,99.05,52141194,LYB
56,2017-10,98.57,107.83,96.2,103.53,55089012,LYB
57,2017-11,104.21,107.2,101.78,104.7,39699760,LYB
58,2017-12,105.16,111.62,102.96,110.32,36954323,LYB
59,2018-01,111.05,121.95,110.69,119.84,39118509,LYB
60,2018-02,119.1,119.74,106.0,110.27,18906194,LYB
