,date,open,high,low,close,volume,Name
0,2013-02,43.73,44.21,42.09,43.11,13939410,L
1,2013-03,42.96,44.78,42.5,44.07,20380545,L
2,2013-04,44.0,45.2,42.59,44.67,27713802,L
3,2013-05,44.63,47.1,44.61,45.82,19805830,L
4,2013-06,46.0,46.0,42.85,44.4,18128497,L
5,2013-07,44.83,47.0,44.03,45.55,16566751,L
6,2013-08,45.88,47.71,44.23,44.46,15984082,L
7,2013-09,44.93,47.94,44.095,46.74,15598365,L
8,2013-10,46.81,49.43,46.095,48.31,17838437,L
9,2013-11,48.27,49.05,47.28,47.35,17595953,L
10,2013-12,47.46,48.3,46.25,48.24,12934586,L
11,2014-01,48.12,48.15,44.38,44.59,17597954,L
12,2014-02,44.51,45.18,42.63,43.48,21108286,L
13,2014-03,43.16,45.2,42.9,44.05,22637013,L
14,2014-04,44.2,45.43,43.3,43.97,21518659,L
15,2014-05,44.03,44.66,42.29,43.13,24575287,L
16,2014-06,43.22,44.18,42.96,44.01,25388558,L
17,2014-07,44.2,44.59,42.11,42.13,23199362,L
18,2014-08,42.1,43.75,41.57,43.74,23988616,L
19,2014-09,43.81,43.89,41.63,41.66,24112117,L
20,2014-10,41.66,43.74,39.38,43.6,29163342,L
21,2014-11,43.49,43.77,41.5,41.64,18443364,L
22,2014-12,41.53,42.89,39.04,42.02,34807870,L
23,2015-01,42.26,42.295,38.005,38.26,24445066,L
24,2015-02,38.4,42.78,38.22,41.01,20246987,L
25,2015-03,40.97,41.5,39.35,40.83,23231078,L
26,2015-04,40.83,42.59,40.27,41.64,17466925,L
27,2015-05,41.89,41.99,39.83,40.12,19863468,L
28,2015-06,40.21,40.91,38.14,38.51,27330703,L
29,2015-07,38.94,39.21,37.38,38.11,31548061,L
30,2015-08,37.65,39.1,35.21,36.45,42191528,L
31,2015-09,35.75,36.985,35.29,36.14,33285465,L
32,2015-10,36.16,37.1,34.4,36.46,45003439,L
33,2015-11,36.01,38.1896,35.82,37.89,28991789,L
34,2015-12,38.05,38.88,36.2815,38.4,30394130,L
35,2016-01,37.75,38.01,34.08,37.01,30065845,L
36,2016-02,36.8,37.51,33.84,36.35,29896432,L
37,2016-03,36.73,39.615,36.05,38.26,26714229,L
38,2016-04,38.07,40.5,37.2501,39.68,17115750,L
39,2016-05,39.75,40.87,39.21,40.48,19398127,L
40,2016-06,40.16,41.09,38.17,41.09,21285774,L
41,2016-07,41.11,41.82,39.67,41.33,13607805,L
42,2016-08,41.54,42.07,40.02,41.86,15126494,L
43,2016-09,41.93,41.95,39.71,41.15,23545158,L
44,2016-10,41.1,43.68,40.61,43.03,18693770,L
45,2016-11,43.02,44.96,41.38,44.65,24490569,L
46,2016-12,44.87,48.05,44.6779,46.83,18772764,L
47,2017-01,47.23,47.48,45.54,46.58,15864019,L
48,2017-02,46.75,47.43,45.89,46.98,16059272,L
49,2017-03,47.7,47.88,45.25,46.77,17776004,L
50,2017-04,46.78,47.93,45.71,46.62,17254222,L
51,2017-05,46.73,47.446999999999996,45.62,47.16,19109118,L
52,2017-06,47.35,48.39,46.17,46.81,20309348,L
53,2017-07,47.12,48.97,46.61,48.68,13764497,L
54,2017-08,48.8,49.58,46.37,46.58,17931210,L
55,2017-09,46.68,48.14,45.01,47.86,18130832,L
56,2017-10,47.86,49.57,47.64,49.51,18477075,L
57,2017-11,49.6,50.69,48.8,50.28,22695271,L
58,2017-12,50.46,51.02,49.39,50.03,20214867,L
59,2018-01,50.24,53.59,49.68,51.65,25556320,L
60,2018-02,51.57,51.81,46.61,47.86,10934193,L
