,date,open,high,low,close,volume,Name
0,2013-02,103.22,107.03200000000001,101.78,106.13,24486602,MCK
1,2013-03,106.02,111.55,104.52,107.96,30967434,MCK
2,2013-04,107.77,109.67,102.68,105.82,24122734,MCK
3,2013-05,105.81,119.32,105.19,113.86,27413519,MCK
4,2013-06,114.28,117.21,109.821,114.5,26018368,MCK
5,2013-07,115.77,126.36,113.26,122.66,21306799,MCK
6,2013-08,123.26,124.65,120.17,121.41,18472367,MCK
7,2013-09,122.77,133.33,121.38,128.3,21222956,MCK
8,2013-10,128.97,158.38,128.841,156.34,51550153,MCK
9,2013-11,156.29,166.57,154.02,165.89,27812881,MCK
10,2013-12,165.89,166.25,156.0,161.4,26995549,MCK
11,2014-01,160.85,177.5,159.451,174.41,56538164,MCK
12,2014-02,174.69,179.4,167.02,177.05,29595539,MCK
13,2014-03,175.34,188.02,171.59,176.57,26632822,MCK
14,2014-04,177.26,178.21,162.9,169.19,28929848,MCK
15,2014-05,166.97,189.74,164.58,189.64,32696547,MCK
16,2014-06,189.84,192.03,181.2801,186.21,23382133,MCK
17,2014-07,186.5,195.8933,185.66,191.86,21803166,MCK
18,2014-08,196.04,196.4397,185.84,195.03,18575012,MCK
19,2014-09,195.0,200.0,190.295,194.67,17640607,MCK
20,2014-10,194.92,206.91,178.28,203.41,29786060,MCK
21,2014-11,204.0,211.25,198.16,210.76,16596962,MCK
22,2014-12,210.36,214.37,201.31,207.58,18884624,MCK
23,2015-01,209.06,222.93,205.72,212.65,20053678,MCK
24,2015-02,212.83,231.549,209.0,228.7,22016246,MCK
25,2015-03,228.51,232.69,218.0,226.2,19479636,MCK
26,2015-04,226.03,231.9,219.51,223.4,21324986,MCK
27,2015-05,224.33,243.61,221.044,237.23,20416075,MCK
28,2015-06,237.43,239.19,223.0001,224.81,19562344,MCK
29,2015-07,226.9,236.86,215.6,220.57,26981669,MCK
30,2015-08,221.54,224.73,160.1001,197.58,35092513,MCK
31,2015-09,195.0,208.03,182.66,185.03,40878791,MCK
32,2015-10,184.76,196.68,169.0,178.8,50664752,MCK
33,2015-11,179.91,191.91,178.8,189.35,34866597,MCK
34,2015-12,190.15,202.2,185.924,197.23,33531994,MCK
35,2016-01,193.59,196.84,152.22,160.98,56073015,MCK
36,2016-02,159.8,160.45,148.29,155.62,40747543,MCK
37,2016-03,154.68,167.12900000000002,149.6,157.25,33216318,MCK
38,2016-04,156.75,179.3,154.33,167.82,31247094,MCK
39,2016-05,167.8,185.5811,164.39,183.14,41817339,MCK
40,2016-06,181.72,188.43,171.16,186.65,29887885,MCK
41,2016-07,187.02,199.43,185.43,194.56,25039786,MCK
42,2016-08,195.2,197.08,181.82,184.62,25936716,MCK
43,2016-09,184.72,186.28,163.565,166.75,45506738,MCK
44,2016-10,166.22,166.9,114.53,127.17,63390834,MCK
45,2016-11,127.17,151.77,126.3,143.81,62585999,MCK
46,2016-12,143.44,148.59,136.81,140.45,39090582,MCK
47,2017-01,140.4,151.82,134.17,139.15,45333018,MCK
48,2017-02,139.7,152.0,137.835,150.13,36427772,MCK
49,2017-03,151.3,153.07,143.86,148.26,37648211,MCK
50,2017-04,148.38,148.87,133.82,138.29,31801921,MCK
51,2017-05,138.32,163.75,137.17,163.09,43487902,MCK
52,2017-06,162.66,169.29,158.91,164.54,36349587,MCK
53,2017-07,165.29,168.87,156.09,161.87,27893376,MCK
54,2017-08,156.1,160.69,145.13,149.31,37038981,MCK
55,2017-09,149.48,161.92,146.74,153.61,36295380,MCK
56,2017-10,153.81,162.61,134.25,137.88,50363319,MCK
57,2017-11,138.78,152.39,134.78,147.74,50561571,MCK
58,2017-12,147.0397,164.29,143.87,155.95,33043383,MCK
59,2018-01,156.91,178.86,152.5,168.88,36385751,MCK
60,2018-02,164.39,168.0,148.06,152.83,11634406,MCK
