,date,open,high,low,close,volume,Name
0,2013-02,27.8,28.1,26.45,27.64,236372192,MDLZ
1,2013-03,26.94,30.66,26.94,30.615,275948338,MDLZ
2,2013-04,30.42,32.1,29.73,31.45,253380945,MDLZ
3,2013-05,31.3,31.99,29.21,29.475,269092122,MDLZ
4,2013-06,29.47,30.64,28.22,28.53,200883381,MDLZ
5,2013-07,28.79,31.86,28.5,31.27,202919166,MDLZ
6,2013-08,31.57,32.91,30.15,30.67,187990465,MDLZ
7,2013-09,31.14,33.08,30.05,31.421,166512167,MDLZ
8,2013-10,31.31,34.1,30.065,33.65,202377145,MDLZ
9,2013-11,33.75,34.3,31.76,33.53,177354123,MDLZ
10,2013-12,33.6,35.43,33.22,35.3,169924066,MDLZ
11,2014-01,35.03,36.0483,32.28,32.76,243126151,MDLZ
12,2014-02,32.8,34.95,31.84,34.03,169114669,MDLZ
13,2014-03,33.7,35.28,33.43,34.55,210819380,MDLZ
14,2014-04,34.73,36.12,34.025,35.65,183941114,MDLZ
15,2014-05,35.78,38.47,35.18,37.62,174490631,MDLZ
16,2014-06,37.54,38.41,36.96,37.61,146554788,MDLZ
17,2014-07,37.81,39.54,35.98,36.0199,133909500,MDLZ
18,2014-08,36.23,36.7597,34.92,36.19,129790270,MDLZ
19,2014-09,36.29,36.35,33.93,34.265,148719415,MDLZ
20,2014-10,34.11,35.95,31.83,35.26,207491082,MDLZ
21,2014-11,35.21,39.42,34.95,39.2,149781709,MDLZ
22,2014-12,39.2,39.27,35.685,36.325,170030866,MDLZ
23,2015-01,36.43,37.875,35.16,35.24,168673760,MDLZ
24,2015-02,35.24,37.45,34.89,36.935,190519286,MDLZ
25,2015-03,36.94,37.01,33.97,36.09,259268500,MDLZ
26,2015-04,36.22,39.08,35.93,38.37,216577826,MDLZ
27,2015-05,38.53,41.6,38.08,41.59,190537644,MDLZ
28,2015-06,41.6,41.81,39.785,41.14,178098723,MDLZ
29,2015-07,41.2,45.31,40.98,45.13,160005907,MDLZ
30,2015-08,45.28,48.58,38.91,42.36,298715757,MDLZ
31,2015-09,41.69,44.29,40.29,41.87,246964268,MDLZ
32,2015-10,42.27,47.42,41.55,46.16,179718569,MDLZ
33,2015-11,46.36,46.77,43.12,43.66,136172501,MDLZ
34,2015-12,44.08,45.945,42.41,44.84,183205210,MDLZ
35,2016-01,44.09,44.45,39.68,43.1,248734812,MDLZ
36,2016-02,42.82,42.955,35.88,40.53,260358044,MDLZ
37,2016-03,40.99,42.54,39.21,40.12,233841285,MDLZ
38,2016-04,40.0,44.5,39.53,42.96,170535718,MDLZ
39,2016-05,43.19,45.17,42.57,44.49,139459944,MDLZ
40,2016-06,44.5,45.75,41.08,45.51,193550190,MDLZ
41,2016-07,45.24,46.36,43.44,43.98,148834636,MDLZ
42,2016-08,43.91,45.16,42.3,45.02,142663240,MDLZ
43,2016-09,45.14,45.2,41.96,43.9,184902958,MDLZ
44,2016-10,43.71,45.655,41.44,44.94,150851430,MDLZ
45,2016-11,45.03,46.4,40.67,41.24,204052379,MDLZ
46,2016-12,41.34,45.77,40.5,44.33,188263796,MDLZ
47,2017-01,44.71,45.46,43.92,44.28,139709511,MDLZ
48,2017-02,44.18,45.48,41.3,43.92,187737722,MDLZ
49,2017-03,44.16,45.115,43.06,43.08,170487037,MDLZ
50,2017-04,43.23,45.67,42.915,45.03,121329786,MDLZ
51,2017-05,45.04,46.83,43.46,46.59,170309663,MDLZ
52,2017-06,46.65,47.23,42.915,43.19,167319745,MDLZ
53,2017-07,43.47,44.44,42.755,44.02,119197505,MDLZ
54,2017-08,44.04,44.4784,40.39,40.66,205530398,MDLZ
55,2017-09,40.79,41.4,40.04,40.66,188586716,MDLZ
56,2017-10,40.6,42.49,39.19,41.43,176054667,MDLZ
57,2017-11,41.85,43.43,40.2,42.94,153621171,MDLZ
58,2017-12,42.68,43.98,42.37,42.8,183857893,MDLZ
59,2018-01,43.22,45.06,42.29,44.4,170810406,MDLZ
60,2018-02,44.36,46.54,43.27,44.05,65901195,MDLZ
