,date,open,high,low,close,volume,Name
0,2013-02,46.84,47.405,43.5134,44.96,77674165,MDT
1,2013-03,44.8,47.01,44.51,46.96,76138036,MDT
2,2013-04,46.9,47.98,45.391000000000005,46.68,87866920,MDT
3,2013-05,46.57,53.83,46.26,51.01,118028451,MDT
4,2013-06,51.24,53.8,50.601000000000006,51.47,111150134,MDT
5,2013-07,52.06,55.895,51.275,55.24,94874296,MDT
6,2013-08,55.34,55.98,51.22,51.75,110729565,MDT
7,2013-09,52.25,54.3,51.78,53.25,80604149,MDT
8,2013-10,53.34,58.82,52.44,57.4,88988232,MDT
9,2013-11,57.55,58.85,56.45,57.32,79990554,MDT
10,2013-12,57.32,58.2,55.56,57.39,74359479,MDT
11,2014-01,57.21,60.93,56.11,56.56,121418126,MDT
12,2014-02,56.56,59.8,53.33,59.26,105534659,MDT
13,2014-03,58.69,61.74,57.86,61.54,94714350,MDT
14,2014-04,61.61,62.9,55.85,58.82,102939008,MDT
15,2014-05,58.84,61.18,58.25,61.03,72408730,MDT
16,2014-06,61.0,65.5,58.32,63.76,260935562,MDT
17,2014-07,63.29,64.56,61.57,61.74,166986792,MDT
18,2014-08,61.66,64.62,60.68,63.85,146784197,MDT
19,2014-09,63.87,67.11,61.93,61.95,177042775,MDT
20,2014-10,61.95,69.01,59.83,68.16,267394532,MDT
21,2014-11,68.12,74.53,67.39,73.87,125695055,MDT
22,2014-12,73.41,75.66,70.78,72.2,150300206,MDT
23,2015-01,72.13,77.39,70.87,71.4,249969176,MDT
24,2015-02,70.98,79.45,70.91,77.59,135952127,MDT
25,2015-03,77.94,79.5,75.8,77.99,126351687,MDT
26,2015-04,78.62,78.97,74.12,74.45,111493465,MDT
27,2015-05,74.01,79.08,73.73,76.32,89490535,MDT
28,2015-06,77.07,77.655,73.24,74.1,130289046,MDT
29,2015-07,74.28,78.9,72.2009,78.39,111362077,MDT
30,2015-08,78.09,78.91,55.54,72.29,115146649,MDT
31,2015-09,70.665,72.5,63.98,66.94,164110798,MDT
32,2015-10,66.86,74.5,66.35,73.92,137419803,MDT
33,2015-11,74.04,77.67,73.89,75.34,98083161,MDT
34,2015-12,75.84,78.92,75.38,76.92,120661182,MDT
35,2016-01,75.83,77.88,72.28,75.92,133088904,MDT
36,2016-02,74.51,78.25,71.03,77.39,111423990,MDT
37,2016-03,74.29,77.915,73.055,75.0,131945907,MDT
38,2016-04,74.56,80.74,74.35,79.15,106435440,MDT
39,2016-05,78.91,81.995,78.63,80.48,101005545,MDT
40,2016-06,80.11,86.91,79.89,86.77,125844305,MDT
41,2016-07,86.87,89.27,86.25,87.63,87018445,MDT
42,2016-08,87.41,88.65,84.28,87.03,90738047,MDT
43,2016-09,87.09,88.045,84.38,86.4,90438894,MDT
44,2016-10,86.0,86.745,80.705,82.02,88701314,MDT
45,2016-11,82.02,85.09,72.03,73.01,165903256,MDT
46,2016-12,73.01,74.31,71.035,71.23,135652534,MDT
47,2017-01,70.25,76.27,69.35,76.02,137380092,MDT
48,2017-02,75.28,81.16,75.23,80.91,90556738,MDT
49,2017-03,81.31,84.0,80.36,80.56,102356079,MDT
50,2017-04,80.85,83.495,79.65,83.09,70386641,MDT
51,2017-05,83.01,86.0,81.5,84.28,102589741,MDT
52,2017-06,84.61,89.72,84.37,88.75,95789175,MDT
53,2017-07,88.8,89.2,83.92,83.97,79743773,MDT
54,2017-08,83.54,85.07,79.02,80.62,107948929,MDT
55,2017-09,80.7,82.74,77.165,77.77,104205986,MDT
56,2017-10,78.06,81.69,76.515,80.52,125794094,MDT
57,2017-11,80.42,84.11,77.06,82.13,121090332,MDT
58,2017-12,82.46,84.11,79.57,80.75,94438720,MDT
59,2018-01,82.16,87.93,81.95,85.89,112641905,MDT
60,2018-02,85.38,85.68,79.09,81.35,33123151,MDT
