,date,open,high,low,close,volume,Name
0,2013-02,36.96,37.85,33.89,35.44,139809326,MET
1,2013-03,35.32,40.64,34.76,38.02,197812869,MET
2,2013-04,38.04,39.435,35.25,38.99,174066638,MET
3,2013-05,38.97,45.26,38.37,44.21,174917935,MET
4,2013-06,44.67,46.16,42.46,45.76,169182771,MET
5,2013-07,46.15,49.86,46.01,48.42,137770978,MET
6,2013-08,49.07,51.65,45.52,46.19,132377827,MET
7,2013-09,46.84,50.79,46.36,46.95,141245904,MET
8,2013-10,46.95,49.81,45.75,47.31,123099207,MET
9,2013-11,47.42,53.11,47.105,52.19,124291983,MET
10,2013-12,52.42,54.32,50.13,53.92,117381436,MET
11,2014-01,53.55,54.7,48.335,49.05,112417278,MET
12,2014-02,49.06,51.76,46.98,50.67,122750617,MET
13,2014-03,49.9,54.8,49.66,52.8,125875506,MET
14,2014-04,54.43,54.45,48.75,52.35,134743604,MET
15,2014-05,51.08,52.47,49.06,50.93,127812814,MET
16,2014-06,51.2,56.87,51.02,55.56,131696446,MET
17,2014-07,55.59,57.57,52.4,52.6,110462220,MET
18,2014-08,52.3,54.99,50.81,54.74,108126021,MET
19,2014-09,54.88,56.59,53.07,53.72,103874860,MET
20,2014-10,53.49,55.16,46.15,54.24,175777942,MET
21,2014-11,54.52,56.6,53.51,55.61,93520580,MET
22,2014-12,55.15,57.01,50.63,54.09,135981039,MET
23,2015-01,54.48,54.7599,46.1,46.5,189727936,MET
24,2015-02,46.71,51.73,46.58,50.83,141681819,MET
25,2015-03,50.66,53.34,49.98,50.55,141469037,MET
26,2015-04,50.25,52.48,49.92,51.29,118602545,MET
27,2015-05,51.75,53.87,50.7,52.26,117546342,MET
28,2015-06,52.09,58.23,51.9,55.99,146647513,MET
29,2015-07,57.0,58.13,53.95,55.74,122813308,MET
30,2015-08,55.85,56.57,44.485,50.1,144557609,MET
31,2015-09,48.46,50.06,45.56,47.15,144074075,MET
32,2015-10,47.56,51.5,45.545,50.38,117493346,MET
33,2015-11,50.6,52.45,48.95,51.09,117567059,MET
34,2015-12,51.22,51.73,46.02,48.21,140887777,MET
35,2016-01,47.12,47.35,40.77,44.65,186596416,MET
36,2016-02,44.31,44.47,35.0,39.56,182149745,MET
37,2016-03,39.97,45.89,39.93,43.94,147591968,MET
38,2016-04,43.69,47.09,41.52,45.1,119995639,MET
39,2016-05,45.35,46.08,42.2,45.55,121406974,MET
40,2016-06,45.21,45.85,36.17,39.83,179279980,MET
41,2016-07,39.56,43.52,36.99,42.74,156591101,MET
42,2016-08,43.04,43.87,38.87,43.4,181844420,MET
43,2016-09,43.45,44.89,42.6101,44.43,142692921,MET
44,2016-10,44.25,48.24,44.0,46.96,140080577,MET
45,2016-11,47.16,55.4881,45.22,55.01,166445579,MET
46,2016-12,55.43,58.09,53.2,53.89,118651633,MET
47,2017-01,54.51,56.36,53.05,54.41,110670361,MET
48,2017-02,55.11,55.3,50.35,52.44,133202475,MET
49,2017-03,53.39,55.065,50.25,52.82,133602243,MET
50,2017-04,52.9,53.19,50.75,51.81,111087716,MET
51,2017-05,52.03,53.64,49.571000000000005,50.59,114384816,MET
52,2017-06,50.85,56.29,50.13,54.94,119419719,MET
53,2017-07,55.36,56.58,54.23,55.0,83164136,MET
54,2017-08,53.77,55.7679,46.39,46.83,145809506,MET
55,2017-09,47.05,52.235,46.57,51.95,115816660,MET
56,2017-10,51.94,54.3865,51.5,53.58,80474099,MET
57,2017-11,53.99,55.91,51.0,53.68,84191665,MET
58,2017-12,53.97,54.45,50.51,50.56,97042121,MET
59,2018-01,50.81,55.21,48.01,48.07,152177138,MET
60,2018-02,48.01,48.67,44.58,46.26,60675144,MET
