,date,open,high,low,close,volume,Name
0,2013-02,12.99,13.59,11.935,12.49,176105110,MGM
1,2013-03,12.42,13.5,12.0,13.15,209090810,MGM
2,2013-04,13.1,14.15,11.72,14.12,219977484,MGM
3,2013-05,14.07,15.95,13.5,15.17,261202953,MGM
4,2013-06,15.34,15.425,12.87,14.78,188442497,MGM
5,2013-07,15.05,16.52,14.65,16.31,170478736,MGM
6,2013-08,16.46,18.54,16.27,17.69,196194154,MGM
7,2013-09,17.91,20.62,17.86,20.44,165141485,MGM
8,2013-10,20.54,20.98,18.56,19.04,222450110,MGM
9,2013-11,19.09,19.82,18.4,19.19,146747733,MGM
10,2013-12,19.22,23.65,19.07,23.52,197054351,MGM
11,2014-01,23.54,26.7,23.09,24.36,281782620,MGM
12,2014-02,24.37,28.2,23.04,27.55,207306245,MGM
13,2014-03,27.16,28.75,24.13,25.86,193414969,MGM
14,2014-04,26.76,27.0,22.52,25.23,235859477,MGM
15,2014-05,25.16,26.53,23.54,25.75,165107964,MGM
16,2014-06,25.75,27.07,24.04,26.4,144626069,MGM
17,2014-07,26.55,27.64,25.16,26.84,142422167,MGM
18,2014-08,26.65,27.1,24.24,24.47,150330875,MGM
19,2014-09,24.04,24.505,21.68,22.78,204591104,MGM
20,2014-10,22.48,23.7,19.55,23.25,237933613,MGM
21,2014-11,23.23,23.3,21.35,22.81,135507174,MGM
22,2014-12,22.47,22.58,17.25,21.38,292448861,MGM
23,2015-01,21.32,21.485,18.82,19.48,217074081,MGM
24,2015-02,19.44,22.68,19.12,21.73,235868751,MGM
25,2015-03,21.7,23.25,19.1,21.03,356640888,MGM
26,2015-04,20.98,22.65,20.585,21.15,203084814,MGM
27,2015-05,21.3,21.62,19.03,20.05,230682396,MGM
28,2015-06,19.96,20.58,17.495,18.25,193575563,MGM
29,2015-07,18.71,19.79,16.84,19.62,216297889,MGM
30,2015-08,19.59,22.77,17.08,20.43,220317119,MGM
31,2015-09,19.91,22.05,17.62,18.45,138766265,MGM
32,2015-10,18.5,23.41,18.19,23.19,171103557,MGM
33,2015-11,23.51,24.41,22.03,22.74,94321400,MGM
34,2015-12,22.95,23.78,20.18,22.72,102500290,MGM
35,2016-01,22.06,22.97,17.55,20.08,158710361,MGM
36,2016-02,20.03,20.25,16.18,18.93,203211139,MGM
37,2016-03,19.35,21.75,19.09,21.44,154736527,MGM
38,2016-04,21.16,23.34,20.59,21.3,134540767,MGM
39,2016-05,21.57,23.13,21.12,22.85,111469952,MGM
40,2016-06,22.68,25.29,21.31,22.63,182537319,MGM
41,2016-07,22.7,24.28,22.33,23.98,109707780,MGM
42,2016-08,23.98,25.0,23.38,23.89,107084956,MGM
43,2016-09,24.29,26.49,24.13,26.03,117101878,MGM
44,2016-10,26.33,27.04,25.25,26.17,85467072,MGM
45,2016-11,26.65,29.35,25.73,28.71,180409985,MGM
46,2016-12,28.71,30.62,27.86,28.83,165002101,MGM
47,2017-01,29.01,29.97,28.33,28.8,135026142,MGM
48,2017-02,28.76,29.71,26.03,26.29,206070205,MGM
49,2017-03,27.07,27.6,25.15,27.4,237874717,MGM
50,2017-04,27.74,31.32,27.01,30.71,175222071,MGM
51,2017-05,30.79,32.275,30.185,31.72,142279160,MGM
52,2017-06,32.05,34.34,30.820999999999998,31.29,150833310,MGM
53,2017-07,31.02,34.53,30.2,32.93,287164578,MGM
54,2017-08,31.59,33.0,30.04,32.96,149187623,MGM
55,2017-09,33.16,34.65,31.625,32.59,156633124,MGM
56,2017-10,31.35,32.0,29.53,31.35,217720748,MGM
57,2017-11,31.9,34.235,30.46,34.12,137157388,MGM
58,2017-12,34.14,34.505,32.51,33.39,142503926,MGM
59,2018-01,32.99,38.41,32.83,36.45,170226515,MGM
60,2018-02,36.49,37.14,33.47,34.68,39857743,MGM
