,date,open,high,low,close,volume,Name
0,2013-02,101.73,109.3,100.96,106.02,13048537,MHK
1,2013-03,105.08,115.32,104.28,113.12,14818337,MHK
2,2013-04,113.12,117.9699,105.02,110.88,13922851,MHK
3,2013-05,110.16,120.7,106.39,111.17,18910698,MHK
4,2013-06,111.59,117.48,103.74,112.49,15833547,MHK
5,2013-07,112.85,120.11,108.89,118.99,15904580,MHK
6,2013-08,119.98,134.21,117.22,117.49,18239341,MHK
7,2013-09,118.86,134.7475,115.99,130.25,14367008,MHK
8,2013-10,130.09,135.16,119.59,132.42,23463186,MHK
9,2013-11,137.0,145.34,132.06,140.02,13905076,MHK
10,2013-12,140.34,149.01,134.04,148.9,22848434,MHK
11,2014-01,148.72,155.48,138.41,142.18,18476944,MHK
12,2014-02,142.07,148.43200000000002,137.22,141.53,22056924,MHK
13,2014-03,140.03,145.51,132.87,135.98,20623638,MHK
14,2014-04,136.8,139.9,128.54,132.41,18507451,MHK
15,2014-05,132.31,143.5,131.19,135.66,17534070,MHK
16,2014-06,135.93,138.77,129.79,138.34,15264257,MHK
17,2014-07,138.4,141.0,123.81,124.77,22269973,MHK
18,2014-08,126.78,147.65,126.3,146.02,17668315,MHK
19,2014-09,146.06,149.84,134.59,134.82,14430120,MHK
20,2014-10,134.67,147.03,120.37,142.04,19067793,MHK
21,2014-11,142.44,155.07,138.22,153.59,12014388,MHK
22,2014-12,152.39,158.58,143.22,155.36,15294199,MHK
23,2015-01,156.66,170.06,151.15,165.04,18895422,MHK
24,2015-02,166.96,187.45,162.41,184.35,15316380,MHK
25,2015-03,185.16,188.29,175.68,185.75,14187051,MHK
26,2015-04,185.95,187.29,172.97099999999998,173.5,11688102,MHK
27,2015-05,174.58,190.16,174.17,186.64,11433311,MHK
28,2015-06,186.89,195.3,186.1025,190.9,9689042,MHK
29,2015-07,192.8,202.37,189.0,201.59,10589899,MHK
30,2015-08,204.0,212.16,183.52,196.97,17940365,MHK
31,2015-09,193.5,209.98,174.49,181.79,16575628,MHK
32,2015-10,182.96,199.73,180.88,195.5,18139273,MHK
33,2015-11,196.22,201.878,180.0,190.72,15766781,MHK
34,2015-12,192.02,200.42,183.14,189.39,12561427,MHK
35,2016-01,189.0,189.0,153.15,166.41,14222792,MHK
36,2016-02,166.01,182.96,148.56,179.73,17329897,MHK
37,2016-03,182.06,193.59,176.59,190.9,13714070,MHK
38,2016-04,190.2,200.77,186.16,192.63,9424488,MHK
39,2016-05,194.11,200.63,189.55,196.69,11599059,MHK
40,2016-06,195.37,201.78,177.34,189.76,9862851,MHK
41,2016-07,189.79,209.42,183.895,208.94,9006400,MHK
42,2016-08,209.11,214.93,206.16,212.78,10764381,MHK
43,2016-09,212.86,216.58,197.7,200.34,11454323,MHK
44,2016-10,199.47,201.75,182.68,184.3,10840980,MHK
45,2016-11,183.43,205.2599,175.52,197.44,19139108,MHK
46,2016-12,197.51,205.91,189.44,199.68,10596268,MHK
47,2017-01,201.68,217.96,199.9,215.84,11872960,MHK
48,2017-02,215.85,228.52,209.9,226.36,11709852,MHK
49,2017-03,229.31,233.7,223.84,229.49,10396867,MHK
50,2017-04,229.92,241.02,226.57,234.79,9826975,MHK
51,2017-05,235.95,239.43,226.65,239.3,9277492,MHK
52,2017-06,239.08,248.235,237.47,241.69,8406606,MHK
53,2017-07,242.37,251.69,236.48,248.99,9891626,MHK
54,2017-08,249.9,254.75,244.77,253.12,8913267,MHK
55,2017-09,253.2,259.91,242.49,247.51,10428545,MHK
56,2017-10,248.16,268.46,247.51,261.76,12576506,MHK
57,2017-11,261.39,283.22,256.32,282.61,8374276,MHK
58,2017-12,283.1,286.85,271.535,275.9,9893286,MHK
59,2018-01,277.04,282.21,269.25,281.06,11838177,MHK
60,2018-02,280.27,280.8,255.61,267.66,4600369,MHK
