,date,open,high,low,close,volume,Name
0,2013-02,97.95,102.93,93.99,97.13,5643093,MLM
1,2013-03,96.15,106.57,95.98,102.02,10143918,MLM
2,2013-04,101.96,102.72,93.03,100.99,7043235,MLM
3,2013-05,100.66,113.65,98.83,109.03,9642936,MLM
4,2013-06,108.97,110.85,97.1405,98.42,6701623,MLM
5,2013-07,99.3,106.98,95.64,99.6,7785467,MLM
6,2013-08,101.69,103.75,94.44,96.05,6764063,MLM
7,2013-09,96.78,100.5,94.25,98.17,7432586,MLM
8,2013-10,98.4,100.57,94.01,98.09,7025498,MLM
9,2013-11,99.85,106.48,96.24,96.56,10518582,MLM
10,2013-12,96.36,101.29,94.685,99.94,10437841,MLM
11,2014-01,99.54,115.0,98.63,109.01,19679531,MLM
12,2014-02,108.4,123.69,104.05,121.98,13719043,MLM
13,2014-03,120.65,128.945,120.3,128.35,11516860,MLM
14,2014-04,128.76,130.0,115.49,124.33,20776377,MLM
15,2014-05,124.13,129.14,115.56,122.8,10349520,MLM
16,2014-06,122.77,136.36,120.44,132.05,14714034,MLM
17,2014-07,133.3,134.64,123.66,124.23,41173479,MLM
18,2014-08,126.1,131.84,124.74,130.96,12512352,MLM
19,2014-09,131.09,133.02,126.86,128.94,15851255,MLM
20,2014-10,128.65,128.65,105.09,116.92,28514275,MLM
21,2014-11,117.75,131.705,115.36,120.04,13036585,MLM
22,2014-12,119.55,121.95,103.09,110.32,18565849,MLM
23,2015-01,111.63,112.67,104.15,107.74,13075396,MLM
24,2015-02,107.98,146.21,107.98,142.33,22286275,MLM
25,2015-03,143.08,143.85,136.8301,139.8,13594343,MLM
26,2015-04,140.04,146.34,134.1,142.65,14265338,MLM
27,2015-05,143.72,155.98,142.29,149.01,19710042,MLM
28,2015-06,148.9,153.39,141.48,141.51,18599720,MLM
29,2015-07,142.57,162.75,141.54,156.82,15932015,MLM
30,2015-08,156.63,177.59,143.1601,167.8,18054532,MLM
31,2015-09,164.39,178.67,146.67,151.95,19718746,MLM
32,2015-10,153.23,166.23,143.29,155.15,22855168,MLM
33,2015-11,155.44,163.01,138.3,157.4,21397459,MLM
34,2015-12,158.24,160.73,136.2,136.58,14988081,MLM
35,2016-01,134.59,136.63,113.49,125.58,20248695,MLM
36,2016-02,124.39,145.37,108.31,142.62,21743465,MLM
37,2016-03,144.49,160.18,142.3,159.51,15376628,MLM
38,2016-04,158.1,173.48,156.35,169.23,12230359,MLM
39,2016-05,170.19,193.87,165.27,189.04,20582083,MLM
40,2016-06,187.58,192.11,178.23,192.0,17403071,MLM
41,2016-07,191.71,206.36,185.7,202.65,10645751,MLM
42,2016-08,199.43,201.385,181.63099999999997,183.03,12274962,MLM
43,2016-09,182.62,186.0,172.49,179.11,15930015,MLM
44,2016-10,178.98,186.72,167.06,185.38,15793420,MLM
45,2016-11,188.41,236.41,186.89,219.45,26004976,MLM
46,2016-12,220.15,233.76,218.72,221.53,11934805,MLM
47,2017-01,223.49,243.98,216.8,229.6,13964576,MLM
48,2017-02,231.29,234.43,206.1,215.95,16831929,MLM
49,2017-03,223.02,224.98,201.77,218.25,15699881,MLM
50,2017-04,218.2,224.82,209.43,220.19,10910053,MLM
51,2017-05,221.51,244.32,219.91,224.1,13740057,MLM
52,2017-06,224.17,236.85,219.0,222.58,11280478,MLM
53,2017-07,223.66,230.37,219.2,226.43,9186692,MLM
54,2017-08,211.49,218.17,191.09,211.99,17203791,MLM
55,2017-09,212.32,213.4386,194.28,206.23,15334043,MLM
56,2017-10,206.64,219.15,201.35,216.85,10535959,MLM
57,2017-11,216.9,221.16,200.27,208.39,11218666,MLM
58,2017-12,208.81,222.45,200.7,221.04,12400343,MLM
59,2018-01,222.62,241.33,221.09,228.17,12829522,MLM
60,2018-02,226.58,229.44,203.39,218.85,5534592,MLM
