,date,open,high,low,close,volume,Name
0,2013-02,102.34,104.56,101.75,104.0,33447457,MMM
1,2013-03,103.39,106.88,102.59,106.31,50125722,MMM
2,2013-04,106.0,108.72,102.89,104.71,67233003,MMM
3,2013-05,104.78,112.38,104.42,110.27,62308948,MMM
4,2013-06,110.7,113.25,107.15,109.35,53303767,MMM
5,2013-07,108.37,118.596,108.21,117.43,52525833,MMM
6,2013-08,118.38,119.26,112.36,113.58,44055459,MMM
7,2013-09,114.57,122.27,112.85,119.41,53168532,MMM
8,2013-10,119.69,126.38,116.65,125.85,54308030,MMM
9,2013-11,126.76,134.16,124.86,133.51,45836102,MMM
10,2013-12,131.67,140.43,125.15100000000001,140.25,73401383,MMM
11,2014-01,138.05,139.29,126.42,128.19,60407842,MMM
12,2014-02,128.22,135.2,123.61,134.73,62354805,MMM
13,2014-03,133.07,135.8706,129.7,135.66,60233748,MMM
14,2014-04,135.88,139.52,132.02,139.09,52415794,MMM
15,2014-05,139.5,143.37,138.65,142.55,48494961,MMM
16,2014-06,142.27,145.53,141.61,143.24,35655468,MMM
17,2014-07,143.41,146.43,140.6,140.89,43322385,MMM
18,2014-08,140.15,145.39,138.43,144.0,41032943,MMM
19,2014-09,143.3,147.87,140.66,141.68,51787025,MMM
20,2014-10,141.16,154.44,130.6,153.77,85013307,MMM
21,2014-11,153.14,160.86,152.98,160.09,41078318,MMM
22,2014-12,158.35,168.16,155.59,164.32,53499659,MMM
23,2015-01,164.71,166.57,157.744,162.3,54754630,MMM
24,2015-02,162.12,169.98,160.89,168.65,37365718,MMM
25,2015-03,168.16,170.5,161.21,164.95,48144057,MMM
26,2015-04,164.29,167.7,156.01,156.39,53242400,MMM
27,2015-05,156.79,163.77,156.55,159.08,42820886,MMM
28,2015-06,159.1,160.87,153.92,154.3,48518246,MMM
29,2015-07,156.13,157.94,147.7,151.34,54772405,MMM
30,2015-08,150.79,153.24,134.0,142.14,59245543,MMM
31,2015-09,139.48,145.55,135.39,141.77,65253267,MMM
32,2015-10,142.21,158.68,138.57,157.21,54373970,MMM
33,2015-11,157.51,160.09,155.6,156.58,42413506,MMM
34,2015-12,156.41,158.69,146.69,150.64,61116833,MMM
35,2016-01,148.05,151.0,134.6442,151.0,63784012,MMM
36,2016-02,149.33,159.5,146.05,156.87,52788735,MMM
37,2016-03,158.75,167.5,157.61,166.63,48588964,MMM
38,2016-04,165.63,170.77,164.65,167.38,38822943,MMM
39,2016-05,167.3,171.27,163.17,168.32,36444161,MMM
40,2016-06,167.78,175.14,165.16,175.12,46967078,MMM
41,2016-07,175.14,182.27,173.51,178.36,38663978,MMM
42,2016-08,177.08,181.47,177.08,179.24,30879731,MMM
43,2016-09,179.31,181.66,174.385,176.23,38163533,MMM
44,2016-10,175.33,175.95,165.11,165.3,41885004,MMM
45,2016-11,165.4,175.51,163.85,171.74,43846020,MMM
46,2016-12,171.64,180.06,171.085,178.57,38975273,MMM
47,2017-01,178.83,180.0,173.81,174.82,37984064,MMM
48,2017-02,175.17,188.41,173.55,186.35,38914230,MMM
49,2017-03,188.08,193.5,188.01,191.33,44762162,MMM
50,2017-04,191.87,197.12,188.62,195.83,34994842,MMM
51,2017-05,195.5,204.47,193.54,204.47,40107323,MMM
52,2017-06,204.25,214.57,203.68,208.19,40516117,MMM
53,2017-07,209.14,213.41,197.1726,201.17,35521788,MMM
54,2017-08,207.95,208.63,201.3322,204.32,34382177,MMM
55,2017-09,204.61,214.65,200.51,209.9,35748323,MMM
56,2017-10,210.73,238.9,210.03,230.19,45461351,MMM
57,2017-11,231.0,243.45,226.04,243.14,34746950,MMM
58,2017-12,243.19,244.23,234.28,235.37,38799972,MMM
59,2018-01,235.78,259.77,232.805,250.5,49095766,MMM
60,2018-02,247.44,250.09,226.01,233.19,21175361,MMM
