,date,open,high,low,close,volume,Name
0,2013-02,16.0933,17.96,15.3167,16.82,112660509,MNST
1,2013-03,16.7133,17.03,15.1267,15.9133,126487209,MNST
2,2013-04,15.9133,19.523,15.72,18.8,125742231,MNST
3,2013-05,18.4866,19.78,16.9166,18.1966,144717171,MNST
4,2013-06,18.1433,20.9796,17.8566,20.2766,122386899,MNST
5,2013-07,20.3666,21.6266,19.7166,20.33,81469131,MNST
6,2013-08,20.4733,22.04,18.9266,19.13,88264869,MNST
7,2013-09,19.3866,19.5794,17.2833,17.4166,99092928,MNST
8,2013-10,17.4766,19.6666,17.0483,19.0766,107157339,MNST
9,2013-11,19.1833,20.0833,18.1366,19.7266,87927018,MNST
10,2013-12,20.5466,22.7766,19.72,22.59,82830750,MNST
11,2014-01,22.6266,23.4966,22.1033,22.6333,95248419,MNST
12,2014-02,22.7033,25.21,22.1466,24.6666,104210586,MNST
13,2014-03,24.4466,24.85,22.5733,23.15,83415720,MNST
14,2014-04,23.2466,23.8383,21.0533,22.32,83794431,MNST
15,2014-05,22.3533,23.7633,21.0,23.1266,72484407,MNST
16,2014-06,23.0933,24.46,22.09,23.6766,94841877,MNST
17,2014-07,23.63,24.0,21.2733,21.32,94528716,MNST
18,2014-08,21.4166,31.6433,21.39,29.47,175871319,MNST
19,2014-09,29.6,30.9233,29.4,30.5566,74540049,MNST
20,2014-10,30.5333,33.7933,29.8533,33.6266,93046044,MNST
21,2014-11,33.6166,37.8333,32.8833,37.3833,55908924,MNST
22,2014-12,36.99,37.83,34.3933,36.1166,64367124,MNST
23,2015-01,36.4666,40.7566,35.5914,38.9833,71512002,MNST
24,2015-02,38.93,47.9666,38.2327,47.04,61872582,MNST
25,2015-03,47.3933,47.6633,44.64,46.1316,70956516,MNST
26,2015-04,46.24,48.23,44.6666,45.7033,63706029,MNST
27,2015-05,45.7466,48.1166,42.1233,42.4266,124856715,MNST
28,2015-06,42.6066,46.55,41.3933,44.6733,80301111,MNST
29,2015-07,44.7833,51.3566,43.9133,51.1833,58403781,MNST
30,2015-08,51.5366,51.9433,38.541,46.1533,101285532,MNST
31,2015-09,45.2633,46.3266,42.17,45.0466,77959263,MNST
32,2015-10,44.8133,47.8333,42.4466,45.44,67795590,MNST
33,2015-11,45.3166,52.7833,43.61,51.5366,76495275,MNST
34,2015-12,51.8499,53.4999,48.5133,49.6533,67982967,MNST
35,2016-01,48.84,49.7933,42.8433,45.01,90152196,MNST
36,2016-02,45.75,46.17,37.6933,41.8333,117592566,MNST
37,2016-03,42.03,45.8766,41.7533,44.46,73424955,MNST
38,2016-04,44.4466,48.6266,40.3033,48.0733,108815856,MNST
39,2016-05,48.1366,51.3193,48.0933,49.9999,88332348,MNST
40,2016-06,50.0333,53.6166,49.7866,53.5699,126886878,MNST
41,2016-07,53.6399,54.2566,50.9169,53.5433,44352477,MNST
42,2016-08,53.4466,55.4999,50.9766,51.2966,55008138,MNST
43,2016-09,51.4433,51.8366,47.4366,48.9366,59922126,MNST
44,2016-10,48.6866,50.6304,46.9266,48.1133,45331152,MNST
45,2016-11,48.7166,48.8566,40.64,44.75,97147796,MNST
46,2016-12,44.5,46.09,43.0,44.34,54198148,MNST
47,2017-01,44.65,46.3,41.95,42.6,53140738,MNST
48,2017-02,42.52,44.977,41.02,41.44,45929365,MNST
49,2017-03,41.41,48.94,41.29,46.17,67707254,MNST
50,2017-04,46.23,46.42,44.38,45.38,36868746,MNST
51,2017-05,45.44,51.31,44.35,50.56,58340782,MNST
52,2017-06,50.63,52.41,49.65,49.68,45291706,MNST
53,2017-07,49.97,54.24,49.03,52.75,35759620,MNST
54,2017-08,52.94,56.44,50.79,55.82,43547256,MNST
55,2017-09,55.97,57.25,54.23,55.25,44169009,MNST
56,2017-10,55.25,58.54,54.8,57.93,30714645,MNST
57,2017-11,58.34,62.8,56.0,62.67,49205552,MNST
58,2017-12,62.15,64.79,61.85,63.29,35643976,MNST
59,2018-01,63.4,70.215,62.24,68.23,50385568,MNST
60,2018-02,67.97,68.44,61.15,64.55,14747330,MNST
