,date,open,high,low,close,volume,Name
0,2013-02,61.23,62.42,55.62,58.54,42764012,MOS
1,2013-03,58.11,62.74,57.54,59.61,65414088,MOS
2,2013-04,59.47,61.94,56.9,61.59,58628146,MOS
3,2013-05,61.29,64.65,58.29,60.82,61791007,MOS
4,2013-06,60.88,62.09,53.3,53.81,53538736,MOS
5,2013-07,54.09,56.97,39.95,41.09,176002585,MOS
6,2013-08,42.05,44.8,39.75,41.65,174961161,MOS
7,2013-09,42.11,47.1,41.14,43.02,145150506,MOS
8,2013-10,42.94,47.38,42.76,45.85,98651602,MOS
9,2013-11,45.94,49.81,45.49,47.9,74033035,MOS
10,2013-12,48.0,48.25,43.71,47.27,65079430,MOS
11,2014-01,47.25,49.665,43.58,44.66,75631045,MOS
12,2014-02,44.83,49.15,44.305,48.86,62951508,MOS
13,2014-03,48.49,50.63,47.38,50.0,64602299,MOS
14,2014-04,49.96,50.41,47.09,50.04,43850795,MOS
15,2014-05,50.01,50.42,48.1,49.99,46740915,MOS
16,2014-06,49.98,51.25,48.23,49.45,64980800,MOS
17,2014-07,49.51,49.59,45.95,46.11,56804228,MOS
18,2014-08,46.17,48.21,45.5,47.76,47638074,MOS
19,2014-09,47.63,47.648,44.09,44.41,54141539,MOS
20,2014-10,44.09,44.39,40.32,44.31,81719291,MOS
21,2014-11,44.32,48.73,43.38,44.72,69829961,MOS
22,2014-12,45.67,46.84,43.59,45.65,63207077,MOS
23,2015-01,45.86,49.5,44.78,48.69,70987026,MOS
24,2015-02,48.91,53.83,48.41,53.26,65825918,MOS
25,2015-03,53.1,53.55,45.92,46.06,96003460,MOS
26,2015-04,46.26,46.5,43.33,44.0,75956824,MOS
27,2015-05,44.54,47.68,44.0,45.85,92861200,MOS
28,2015-06,45.9,47.13,43.81,46.85,83721137,MOS
29,2015-07,47.05,47.13,42.0,42.94,85899782,MOS
30,2015-08,42.95,45.355,37.2,40.83,83851895,MOS
31,2015-09,39.57,41.345,30.53,31.11,93534753,MOS
32,2015-10,31.08,36.05,29.61,33.79,109284816,MOS
33,2015-11,33.86,36.95,30.61,31.64,89425950,MOS
34,2015-12,31.5,32.26,26.96,27.59,123111346,MOS
35,2016-01,27.31,28.67,22.05,24.1,131905253,MOS
36,2016-02,23.95,27.2,22.02,26.65,135473273,MOS
37,2016-03,26.56,31.1,26.48,27.0,135832257,MOS
38,2016-04,26.89,29.66,24.52,27.99,110801741,MOS
39,2016-05,28.27,28.59,24.75,25.23,108930423,MOS
40,2016-06,25.0,29.46,24.42,26.18,135702475,MOS
41,2016-07,26.03,29.69,24.45,27.0,103165543,MOS
42,2016-08,27.02,30.96,25.98,30.07,133357072,MOS
43,2016-09,30.0,30.03,23.725,24.46,102032909,MOS
44,2016-10,24.5,25.49,22.77,23.53,97566186,MOS
45,2016-11,23.96,29.12,23.66,28.4,114290859,MOS
46,2016-12,28.6,31.54,27.51,29.33,106431043,MOS
47,2017-01,29.65,33.99,29.28,31.37,95937023,MOS
48,2017-02,31.38,34.36,30.66,31.19,89206412,MOS
49,2017-03,31.6,31.9,28.34,29.18,104219013,MOS
50,2017-04,29.25,29.51,26.67,26.93,76672685,MOS
51,2017-05,27.12,27.15,22.28,22.63,134544835,MOS
52,2017-06,22.63,24.45,21.785,22.83,85985889,MOS
53,2017-07,23.04,24.77,22.17,24.14,71471608,MOS
54,2017-08,22.4,22.87,19.59,19.98,94761127,MOS
55,2017-09,20.05,21.905,19.23,21.59,88613335,MOS
56,2017-10,21.53,22.9,20.72,22.34,82210629,MOS
57,2017-11,23.02,24.71,22.24,24.29,99181628,MOS
58,2017-12,24.31,26.12,23.17,25.66,108539362,MOS
59,2018-01,25.95,28.3,25.22,27.3,103007872,MOS
60,2018-02,27.11,27.69,23.74,25.25,29502513,MOS
