,date,open,high,low,close,volume,Name
0,2013-02,34.11,35.86,32.2,33.5,84848989,MRO
1,2013-03,33.3,35.27,32.09,33.72,92219045,MRO
2,2013-04,33.82,34.12,29.47,32.67,110591201,MRO
3,2013-05,32.3,36.68,31.78,34.39,114801552,MRO
4,2013-06,34.61,36.47,33.15,34.58,103525665,MRO
5,2013-07,34.71,37.77,34.4,36.36,78096789,MRO
6,2013-08,36.76,37.87,32.54,34.43,131116991,MRO
7,2013-09,34.86,36.67,34.47,34.88,121848538,MRO
8,2013-10,34.95,36.37,33.815,35.26,112305477,MRO
9,2013-11,35.34,38.18,34.9,36.04,109867416,MRO
10,2013-12,36.02,37.0,34.17,35.3,117012399,MRO
11,2014-01,35.25,35.33,32.4,32.79,95350141,MRO
12,2014-02,32.78,34.33,31.57,33.5,131095009,MRO
13,2014-03,33.38,35.64,32.62,35.52,122431821,MRO
14,2014-04,35.72,36.99,34.79,36.15,135740721,MRO
15,2014-05,36.23,36.78,35.355,36.66,127259800,MRO
16,2014-06,36.75,40.22,36.28,39.92,136659412,MRO
17,2014-07,40.05,40.745,38.715,38.75,104511348,MRO
18,2014-08,38.7,41.74,37.900999999999996,41.69,117488920,MRO
19,2014-09,41.7,41.92,37.31,37.59,107375927,MRO
20,2014-10,37.59,38.04,31.35,35.4,161196936,MRO
21,2014-11,35.56,35.78,28.55,28.92,143425645,MRO
22,2014-12,28.52,31.01,24.28,28.29,222868737,MRO
23,2015-01,28.06,28.8,24.81,26.6,158077898,MRO
24,2015-02,27.06,29.67,26.86,27.86,151582296,MRO
25,2015-03,27.71,28.035,25.07,26.11,138278872,MRO
26,2015-04,26.3,31.45,26.23,31.1,147639394,MRO
27,2015-05,31.11,31.53,26.99,27.19,140561978,MRO
28,2015-06,27.23,27.77,25.79,26.54,138406104,MRO
29,2015-07,26.59,26.61,20.44,21.01,194611416,MRO
30,2015-08,20.7,21.221,14.03,17.29,320417026,MRO
31,2015-09,16.72,17.59,14.59,15.4,337013365,MRO
32,2015-10,15.79,20.44,15.0,18.38,284240636,MRO
33,2015-11,18.17,20.09,16.68,17.51,207588328,MRO
34,2015-12,17.57,17.69,12.11,12.59,286456909,MRO
35,2016-01,12.56,13.0,7.08,9.73,496498031,MRO
36,2016-02,9.38,10.28,6.52,8.21,641078638,MRO
37,2016-03,7.78,11.88,7.56,11.14,1066603285,MRO
38,2016-04,10.75,15.145,10.32,14.09,539946950,MRO
39,2016-05,14.02,14.08,11.28,13.07,415138459,MRO
40,2016-06,12.88,15.45,12.215,15.01,445153132,MRO
41,2016-07,14.88,15.835,13.06,13.64,345266476,MRO
42,2016-08,13.42,16.845,12.465,15.02,408599423,MRO
43,2016-09,14.96,16.9,13.8,15.81,385474308,MRO
44,2016-10,15.89,16.4,13.14,13.18,287510287,MRO
45,2016-11,13.37,18.55,12.36,18.06,448076150,MRO
46,2016-12,19.12,19.28,17.21,17.31,294459272,MRO
47,2017-01,17.74,18.27,16.28,16.75,179155500,MRO
48,2017-02,17.03,17.36,15.59,16.0,249670083,MRO
49,2017-03,16.16,16.65,14.3,15.8,338929960,MRO
50,2017-04,15.81,16.9,14.63,14.87,251571313,MRO
51,2017-05,14.87,15.12,12.75,13.02,302977485,MRO
52,2017-06,13.05,13.41,11.2,11.85,343529621,MRO
53,2017-07,11.97,12.66,11.22,12.23,298450349,MRO
54,2017-08,12.78,13.11,10.55,11.12,335811895,MRO
55,2017-09,11.14,16.04,11.03,13.56,268408719,MRO
56,2017-10,13.2,14.34,13.08,14.22,226475347,MRO
57,2017-11,14.37,16.59,14.35,14.84,307992729,MRO
58,2017-12,15.0,17.3473,14.38,16.93,233931389,MRO
59,2018-01,17.11,19.52,17.04,18.19,231613390,MRO
60,2018-02,18.25,18.52,16.14,16.33,69194068,MRO
