,date,open,high,low,close,volume,Name
0,2013-02,23.08,24.47,21.78,22.55,260174177,MS
1,2013-03,22.39,23.66,21.78,21.98,374037954,MS
2,2013-04,21.99,22.63,20.16,22.15,469634701,MS
3,2013-05,22.11,26.4177,21.54,25.9,366391544,MS
4,2013-06,26.06,27.17,23.9148,24.43,436191403,MS
5,2013-07,24.64,27.98,23.83,27.21,365620553,MS
6,2013-08,27.57,28.02,25.25,25.76,225005696,MS
7,2013-09,26.22,29.495,25.95,26.95,288135628,MS
8,2013-10,26.95,29.97,26.41,28.73,313342535,MS
9,2013-11,28.89,31.8,28.69,31.3,223656611,MS
10,2013-12,31.52,31.85,30.04,31.36,219401732,MS
11,2014-01,31.33,33.52,29.28,29.51,306336911,MS
12,2014-02,29.51,30.94,28.78,30.8,260697348,MS
13,2014-03,30.24,33.25,29.93,31.17,258351523,MS
14,2014-04,31.37,31.59,28.31,30.93,279060587,MS
15,2014-05,30.91,31.44,29.02,30.86,222271386,MS
16,2014-06,30.86,32.82,30.4001,32.33,184225545,MS
17,2014-07,32.41,33.6,31.2,32.34,189051805,MS
18,2014-08,32.18,34.57,31.1224,34.31,148811006,MS
19,2014-09,34.42,36.44,33.82,34.57,219823274,MS
20,2014-10,34.37,35.4,31.35,34.95,267770525,MS
21,2014-11,35.05,36.13,34.43,35.1,146078664,MS
22,2014-12,35.02,39.19,34.56,38.8,201427184,MS
23,2015-01,39.05,39.15,33.73,33.81,266267801,MS
24,2015-02,33.96,37.2,33.72,35.79,183424567,MS
25,2015-03,35.64,37.2198,34.775,35.69,223990184,MS
26,2015-04,35.72,37.7,35.36,37.31,192293522,MS
27,2015-05,37.5,38.85,36.76,38.2,166299215,MS
28,2015-06,38.42,40.26,38.16,38.79,178389599,MS
29,2015-07,39.46,41.04,37.65,38.84,199036684,MS
30,2015-08,38.96,39.35,30.4,34.45,261247243,MS
31,2015-09,33.42,35.05,30.47,31.5,263764856,MS
32,2015-10,31.42,34.08,30.15,32.97,334521239,MS
33,2015-11,33.1,35.74,33.02,34.3,199512785,MS
34,2015-12,34.6,35.58,31.19,31.81,251525551,MS
35,2016-01,30.7,31.7,24.67,25.88,377989783,MS
36,2016-02,25.78,25.93,21.155,24.7,379278503,MS
37,2016-03,25.09,26.61,24.12,25.01,354572971,MS
38,2016-04,24.89,27.88,23.51,27.06,338461570,MS
39,2016-05,27.1,28.29,25.85,27.37,271752427,MS
40,2016-06,27.11,27.57,23.11,25.98,359969724,MS
41,2016-07,25.77,29.37,24.57,28.73,298418257,MS
42,2016-08,28.84,32.31,27.79,32.06,258709449,MS
43,2016-09,32.14,32.44,30.62,32.06,243354102,MS
44,2016-10,32.02,34.03,30.96,33.57,225584107,MS
45,2016-11,33.68,41.64,32.56,41.36,303751418,MS
46,2016-12,41.76,44.04,41.14,42.25,239348455,MS
47,2017-01,43.09,44.6,41.77,42.49,223884361,MS
48,2017-02,43.3,46.82,41.83,45.67,209225076,MS
49,2017-03,46.95,47.33,40.06,42.84,277901772,MS
50,2017-04,42.81,44.86,40.5,43.37,221141782,MS
51,2017-05,43.76,44.06,40.43,41.74,187541381,MS
52,2017-06,41.98,45.98,41.75,44.56,214567092,MS
53,2017-07,45.0,48.04,44.32,46.9,177147101,MS
54,2017-08,47.14,48.8983,44.3421,45.5,176964569,MS
55,2017-09,45.59,48.49,43.84,48.17,158578680,MS
56,2017-10,48.11,51.52,47.7,50.0,180913449,MS
57,2017-11,50.22,52.58,47.42,51.61,142331053,MS
58,2017-12,51.88,54.25,50.72,52.47,156160291,MS
59,2018-01,52.76,58.05,51.92,56.55,197035499,MS
60,2018-02,56.5,57.46,50.9,54.55,59867605,MS
