,date,open,high,low,close,volume,Name
0,2013-02,28.89,30.47,27.95,29.61,68201766,MYL
1,2013-03,29.63,31.22,28.638,28.955,135524468,MYL
2,2013-04,28.95,29.51,27.655,29.11,136632309,MYL
3,2013-05,29.08,32.265,27.77,30.48,117169998,MYL
4,2013-06,30.46,32.0,29.5,31.03,89175064,MYL
5,2013-07,30.95,33.74,30.01,33.56,70895378,MYL
6,2013-08,33.73,37.47,33.53,35.34,101688126,MYL
7,2013-09,35.75,39.41,34.86,38.17,89821165,MYL
8,2013-10,38.13,40.55,36.97,37.865,100211120,MYL
9,2013-11,38.12,44.73,37.43,44.13,86507014,MYL
10,2013-12,44.3,44.68,41.26,43.4,70984075,MYL
11,2014-01,43.38,46.73,41.97,45.41,70537173,MYL
12,2014-02,46.13,57.07,42.43,55.57,102207323,MYL
13,2014-03,54.77,57.52,47.36,48.83,110832922,MYL
14,2014-04,49.08,55.3034,44.74,50.78,166871258,MYL
15,2014-05,51.44,52.0,45.11,49.84,91814070,MYL
16,2014-06,49.96,53.56,48.42,51.56,57875320,MYL
17,2014-07,51.86,53.05,48.95,49.37,112389016,MYL
18,2014-08,49.32,49.79,44.8,48.6,106070105,MYL
19,2014-09,48.77,49.0,44.8,45.49,84341387,MYL
20,2014-10,45.64,56.1,45.02,53.55,126547671,MYL
21,2014-11,53.6,59.6,52.33,58.61,64171869,MYL
22,2014-12,58.27,58.855,53.27,56.37,64306366,MYL
23,2015-01,56.54,57.32,52.39,53.15,74186548,MYL
24,2015-02,53.55,58.37,52.21,57.325,53845122,MYL
25,2015-03,58.0,65.63,54.81,59.35,123607999,MYL
26,2015-04,58.44,76.685,57.46,72.26,348449461,MYL
27,2015-05,72.72,74.61,69.49,72.63,120113985,MYL
28,2015-06,72.42,74.66,67.33,67.86,109673477,MYL
29,2015-07,68.52,73.91,53.81,55.99,168973308,MYL
30,2015-08,55.89,57.81,45.5,49.59,181523536,MYL
31,2015-09,48.61,50.16,39.16,40.26,157433455,MYL
32,2015-10,40.6,48.04,37.59,44.09,196962175,MYL
33,2015-11,44.87,52.46,42.56,51.3,198997050,MYL
34,2015-12,51.88,55.505,50.13,54.07,125147551,MYL
35,2016-01,52.88,54.44,48.03,52.69,108770985,MYL
36,2016-02,51.92,53.21,40.04,45.07,157213686,MYL
37,2016-03,46.46,48.7096,43.65,46.35,106101272,MYL
38,2016-04,46.22,49.42,41.31,41.71,112015141,MYL
39,2016-05,42.1,44.56,38.01,43.34,113621073,MYL
40,2016-06,43.24,47.0,41.615,43.24,111325539,MYL
41,2016-07,43.34,48.34,41.99,46.79,67958651,MYL
42,2016-08,46.79,50.4,41.87,42.36,164857724,MYL
43,2016-09,42.52,43.72,37.65,38.12,150544423,MYL
44,2016-10,38.1,40.45,35.58,36.5,149414001,MYL
45,2016-11,36.54,40.5,33.6,36.61,140345621,MYL
46,2016-12,36.62,38.79,33.79,38.15,107417049,MYL
47,2017-01,38.48,40.0811,35.16,38.05,104423575,MYL
48,2017-02,38.68,42.7,38.07,41.85,108045275,MYL
49,2017-03,44.34,45.87,38.95,38.99,156674110,MYL
50,2017-04,38.63,40.07,36.54,37.35,90924647,MYL
51,2017-05,37.64,40.1,36.59,38.98,118089633,MYL
52,2017-06,39.08,40.67,36.5,38.82,130399450,MYL
53,2017-07,38.93,39.8,37.28,38.99,68532921,MYL
54,2017-08,39.05,39.05,29.39,31.48,211663597,MYL
55,2017-09,31.51,33.67,30.69,31.37,125877531,MYL
56,2017-10,31.18,39.68,31.03,35.71,149974433,MYL
57,2017-11,35.63,38.44,34.96,36.53,108112273,MYL
58,2017-12,36.97,42.53,36.06,42.31,136438814,MYL
59,2018-01,42.35,47.82,42.28,42.85,130424393,MYL
60,2018-02,42.65,43.5,39.55,40.45,27510848,MYL
