,date,open,high,low,close,volume,Name
0,2013-02,40.39,41.57,38.52,41.1,71905857,M
1,2013-03,40.74,42.89,40.36,41.84,98654881,M
2,2013-04,41.78,45.4,41.51,44.6,85432470,M
3,2013-05,44.54,50.0,44.33,48.34,82240336,M
4,2013-06,48.59,49.48,45.72,48.0,69526516,M
5,2013-07,48.25,50.77,47.48,48.34,77328677,M
6,2013-08,48.92,49.72,43.355,44.43,128149720,M
7,2013-09,44.76,46.18,42.68,43.27,105280452,M
8,2013-10,43.23,46.73,42.18,46.11,108210113,M
9,2013-11,46.18,54.07,45.56,53.26,118285723,M
10,2013-12,52.99,53.86,51.0,53.4,77208883,M
11,2014-01,53.17,56.65,51.36,53.2,94651857,M
12,2014-02,53.12,58.659,50.05,57.86,80609639,M
13,2014-03,57.19,59.95,56.7,59.29,77772831,M
14,2014-04,59.19,61.26,56.465,57.43,68774631,M
15,2014-05,57.69,59.93,54.82,59.89,88409052,M
16,2014-06,60.09,60.34,57.03,58.02,54268175,M
17,2014-07,58.2,60.25,56.37,57.79,63666519,M
18,2014-08,58.16,63.1,55.81,62.29,105169726,M
19,2014-09,62.37,62.97,57.86,58.18,89613533,M
20,2014-10,58.34,59.92,54.84,57.82,120642138,M
21,2014-11,57.96,65.74,55.64,64.91,120398811,M
22,2014-12,64.34,66.59,60.22,65.75,90717484,M
23,2015-01,66.33,68.3,62.23,63.88,84324484,M
24,2015-02,64.0,66.09,61.1,63.72,85042141,M
25,2015-03,63.4,66.14,61.85,64.91,76135981,M
26,2015-04,64.52,69.98,64.3,64.63,92184690,M
27,2015-05,64.16,69.22,62.8,66.95,123128307,M
28,2015-06,67.03,71.1,66.5,67.47,101416518,M
29,2015-07,67.82,73.61,65.53,69.06,104372471,M
30,2015-08,69.11,70.12,55.16,58.61,117910740,M
31,2015-09,57.61,60.13,49.72,51.32,103705163,M
32,2015-10,51.18,52.2,47.1,50.98,104541779,M
33,2015-11,51.02,52.48,37.75,39.08,221377254,M
34,2015-12,39.38,39.94,34.05,34.98,178793900,M
35,2016-01,34.45,41.8,34.33,40.41,189262732,M
36,2016-02,40.22,44.0,37.71,43.21,115548620,M
37,2016-03,43.47,45.5,42.41,44.09,70243066,M
38,2016-04,44.01,44.07,39.0601,39.59,80459613,M
39,2016-05,39.78,40.15,29.94,33.21,198128803,M
40,2016-06,33.05,34.65,30.82,33.61,160852146,M
41,2016-07,33.62,37.42,32.5401,35.83,111659641,M
42,2016-08,35.92,40.98,31.02,36.18,214727890,M
43,2016-09,36.32,37.37,34.31,37.05,131587441,M
44,2016-10,36.97,38.48,34.8,36.49,102436099,M
45,2016-11,36.44,45.41,36.42,42.2,149315238,M
46,2016-12,42.01,43.79,35.61,35.81,115719232,M
47,2017-01,36.13,36.395,28.55,29.54,182174277,M
48,2017-02,29.32,34.37,29.12,33.22,221926406,M
49,2017-03,33.48,33.67,27.72,29.64,157656422,M
50,2017-04,29.6,30.18,28.46,29.22,87154369,M
51,2017-05,29.23,29.83,22.43,23.5,222658640,M
52,2017-06,23.47,24.5604,21.51,23.24,218434599,M
53,2017-07,23.33,24.6534,20.85,23.75,160638877,M
54,2017-08,23.75,24.24,19.324,20.77,241085911,M
55,2017-09,20.88,22.87,20.79,21.82,176658382,M
56,2017-10,21.72,21.7854,18.51,18.76,265659826,M
57,2017-11,18.85,24.9,17.405,23.8,392347590,M
58,2017-12,23.84,27.0699,23.39,25.19,240126382,M
59,2018-01,25.81,27.64,23.44,25.95,241986459,M
60,2018-02,25.75,26.145,22.47,24.76,53125546,M
