,date,open,high,low,close,volume,Name
0,2013-02,29.4,32.1499,29.142,31.66,33317432,NDAQ
1,2013-03,31.6,32.89,31.18,32.3,23665603,NDAQ
2,2013-04,32.28,32.5,27.47,29.48,48857697,NDAQ
3,2013-05,29.34,32.445,29.1,31.46,33118716,NDAQ
4,2013-06,31.46,33.43,30.53,32.79,27804118,NDAQ
5,2013-07,32.95,34.41,31.87,32.4,22107837,NDAQ
6,2013-08,32.7,33.21,29.69,29.86,27935048,NDAQ
7,2013-09,30.35,32.68,29.51,32.11,28395916,NDAQ
8,2013-10,32.1,36.25,31.76,35.43,26975545,NDAQ
9,2013-11,35.42,39.83,35.01,39.29,22750433,NDAQ
10,2013-12,39.47,40.641,38.21,39.8,24578806,NDAQ
11,2014-01,39.89,40.74,37.06,38.15,25986622,NDAQ
12,2014-02,38.16,39.79,36.37,38.39,24714186,NDAQ
13,2014-03,37.93,41.25,36.36,36.94,35808453,NDAQ
14,2014-04,37.31,37.33,33.49,36.9,58779426,NDAQ
15,2014-05,36.95,38.16,34.7,37.9,25073694,NDAQ
16,2014-06,37.95,39.24,36.24,38.62,28798705,NDAQ
17,2014-07,38.8,43.255,38.31,42.19,30829327,NDAQ
18,2014-08,42.2,44.06,40.91,43.47,18729726,NDAQ
19,2014-09,43.8,44.33,41.83,42.42,19072464,NDAQ
20,2014-10,42.43,43.39,38.43,43.26,25165852,NDAQ
21,2014-11,43.11,44.97,43.0,44.91,13903425,NDAQ
22,2014-12,44.85,49.71,44.26,47.96,21195082,NDAQ
23,2015-01,48.22,49.39,44.82,45.6,23321140,NDAQ
24,2015-02,45.61,51.22,45.61,50.16,17101589,NDAQ
25,2015-03,50.37,51.181000000000004,48.91,50.94,20908770,NDAQ
26,2015-04,50.64,50.93,48.11,48.63,23234916,NDAQ
27,2015-05,48.84,52.94,48.62,51.75,15963194,NDAQ
28,2015-06,52.05,52.34,48.53,48.81,18581005,NDAQ
29,2015-07,48.8,52.42,47.81,51.03,20946104,NDAQ
30,2015-08,50.69,54.68,47.95,51.19,35888959,NDAQ
31,2015-09,50.09,53.9999,49.82,53.33,22559520,NDAQ
32,2015-10,53.46,59.9,50.98,57.89,21813132,NDAQ
33,2015-11,58.25,60.05,56.19,58.62,23524728,NDAQ
34,2015-12,58.89,60.1097,54.62,58.17,24924152,NDAQ
35,2016-01,56.9,62.36,55.27,62.0,27792613,NDAQ
36,2016-02,61.96,65.1,57.85,63.29,27788394,NDAQ
37,2016-03,63.82,67.605,63.11,66.38,33361536,NDAQ
38,2016-04,66.12,66.66,61.25,61.71,21687664,NDAQ
39,2016-05,61.74,66.03,61.57,66.01,16346242,NDAQ
40,2016-06,65.5,65.97,61.19,64.67,19161816,NDAQ
41,2016-07,64.71,71.47,63.1901,70.76,14663261,NDAQ
42,2016-08,71.0,71.88,69.23,71.21,16943480,NDAQ
43,2016-09,71.23,71.92,67.0,67.54,14822018,NDAQ
44,2016-10,67.28,67.77,63.32,63.97,15979988,NDAQ
45,2016-11,63.8,68.29,63.3,64.09,19265478,NDAQ
46,2016-12,63.97,69.73,63.36,67.12,17250013,NDAQ
47,2017-01,67.47,70.61,66.1,70.54,13828587,NDAQ
48,2017-02,70.47,71.89,68.62,71.11,19148604,NDAQ
49,2017-03,72.0,72.52,68.425,69.45,20960420,NDAQ
50,2017-04,69.28,70.99,67.92,68.87,16473353,NDAQ
51,2017-05,69.24,69.24,65.98,67.65,18607830,NDAQ
52,2017-06,68.05,72.14,67.37,71.49,18609938,NDAQ
53,2017-07,71.51,75.23,69.52,74.37,13907855,NDAQ
54,2017-08,74.43,77.75,74.11,75.38,15753228,NDAQ
55,2017-09,75.48,78.31,73.35,77.57,17190081,NDAQ
56,2017-10,77.67,78.07,71.77,72.65,30436227,NDAQ
57,2017-11,73.02,79.85,71.65,79.16,19435759,NDAQ
58,2017-12,79.46,80.14,74.95,76.83,16263694,NDAQ
59,2018-01,77.15,83.29,76.475,80.91,20066356,NDAQ
60,2018-02,80.31,82.16,72.98,77.27,9297641,NDAQ
