,date,open,high,low,close,volume,Name
0,2013-02,72.26,73.4999,71.42,71.87,42714986,NEE
1,2013-03,71.85,77.79,71.51,77.68,42270306,NEE
2,2013-04,77.61,82.65,77.24,82.03,34040900,NEE
3,2013-05,81.65,82.2,74.86,75.62,36004339,NEE
4,2013-06,75.66,81.78,74.78,81.48,44747074,NEE
5,2013-07,81.88,87.65,79.04,86.61,41534590,NEE
6,2013-08,87.02,88.39,79.74,80.36,35335172,NEE
7,2013-09,81.07,83.89,78.81,80.16,45958361,NEE
8,2013-10,80.27,86.73,78.97,84.75,37923751,NEE
9,2013-11,86.33,89.75,84.38,84.59,41368993,NEE
10,2013-12,84.84,85.84,81.521,85.62,45451278,NEE
11,2014-01,85.39,92.25,83.97,91.93,46363645,NEE
12,2014-02,92.05,94.04,89.012,91.39,40188517,NEE
13,2014-03,90.87,96.13,89.81,95.62,42228908,NEE
14,2014-04,95.61,101.5,93.28,99.85,43198030,NEE
15,2014-05,100.22,100.35,94.22,97.36,46774622,NEE
16,2014-06,97.15,102.51,94.19,102.48,48361645,NEE
17,2014-07,102.44,102.46,93.8,93.89,39166761,NEE
18,2014-08,93.94,98.63,91.79,98.45,36742294,NEE
19,2014-09,98.29,98.52,92.57,93.88,34904990,NEE
20,2014-10,93.68,100.51,90.33,100.22,49326342,NEE
21,2014-11,100.32,105.94,99.65,104.39,38536183,NEE
22,2014-12,103.84,110.84,99.5676,106.29,49212728,NEE
23,2015-01,106.63,112.64,105.1901,109.24,40914750,NEE
24,2015-02,109.53,110.63,102.7,103.46,40549142,NEE
25,2015-03,103.0,107.47,97.48,104.05,59672508,NEE
26,2015-04,103.94,106.63,100.25,100.93,35968835,NEE
27,2015-05,101.0,103.94,98.82,102.34,46501323,NEE
28,2015-06,102.55,104.38,97.23,98.03,43272726,NEE
29,2015-07,98.41,106.32,97.92,105.2,44090988,NEE
30,2015-08,108.48,109.98,97.62,98.41,59082735,NEE
31,2015-09,97.32,100.22,93.74,97.55,63515727,NEE
32,2015-10,97.79,105.85,95.84,102.66,41008150,NEE
33,2015-11,102.76,103.51,97.45,99.86,40963495,NEE
34,2015-12,100.03,105.3,96.19,103.89,52550114,NEE
35,2016-01,102.87,111.86,102.2,111.71,57472032,NEE
36,2016-02,111.64,116.98,110.6,112.82,58400545,NEE
37,2016-03,113.43,119.37,109.34,118.34,47252890,NEE
38,2016-04,118.09,119.18,112.44,117.58,35573094,NEE
39,2016-05,117.83,121.51,116.5,120.12,35940782,NEE
40,2016-06,120.12,130.43,118.7,130.4,43733031,NEE
41,2016-07,131.27,131.98,125.55,128.29,38394130,NEE
42,2016-08,128.2,128.81,120.62,120.94,43619304,NEE
43,2016-09,120.75,128.87,120.22,122.32,45517238,NEE
44,2016-10,122.46,128.46,117.52,128.0,40691479,NEE
45,2016-11,128.19,128.28,110.49,114.23,76015885,NEE
46,2016-12,113.52,120.75,112.63,119.46,45272127,NEE
47,2017-01,119.54,124.31,117.33,123.72,35373249,NEE
48,2017-02,122.72,131.48,122.09,131.0,33051730,NEE
49,2017-03,129.56,133.28,127.78,128.37,44494094,NEE
50,2017-04,128.5,134.33,127.09,133.56,31781836,NEE
51,2017-05,134.14,141.83,132.78,141.44,39160403,NEE
52,2017-06,141.35,144.87,138.15,140.13,44551188,NEE
53,2017-07,140.85,146.88,138.0,146.09,31539100,NEE
54,2017-08,146.95,151.28,145.38,150.51,31504947,NEE
55,2017-09,151.0,156.99,144.7,146.55,33505432,NEE
56,2017-10,147.37,156.8,145.62,155.07,28325668,NEE
57,2017-11,155.67,159.28,148.37,158.04,36241921,NEE
58,2017-12,158.39,159.4,152.68,156.19,34625419,NEE
59,2018-01,156.43,159.23,149.07,158.42,47329575,NEE
60,2018-02,158.61,159.64,147.15,148.09,15301943,NEE
