,date,open,high,low,close,volume,Name
0,2013-02,45.18,45.48,40.13,40.29,123496318,NEM
1,2013-03,40.37,41.94,38.5,41.89,144162840,NEM
2,2013-04,42.0,42.0,31.33,32.4,231467236,NEM
3,2013-05,32.15,34.48,30.3,34.28,174014554,NEM
4,2013-06,34.4,35.44,27.07,29.95,181057285,NEM
5,2013-07,30.31,31.41,26.47,30.0,204161114,NEM
6,2013-08,30.24,34.27,26.43,31.77,206501766,NEM
7,2013-09,32.0,32.18,27.39,28.1,183427181,NEM
8,2013-10,27.41,28.71,25.33,27.26,200087437,NEM
9,2013-11,26.97,28.4473,24.35,24.83,167715155,NEM
10,2013-12,24.46,24.6,22.34,23.03,210279741,NEM
11,2014-01,23.47,25.65,21.27,21.6,222191615,NEM
12,2014-02,21.7,24.5467,20.785,23.26,229259516,NEM
13,2014-03,23.91,26.37,22.66,23.44,194059880,NEM
14,2014-04,23.52,26.5,23.28,24.83,186993112,NEM
15,2014-05,24.69,25.02,22.22,22.89,105980679,NEM
16,2014-06,22.78,25.54,22.2149,25.44,125877064,NEM
17,2014-07,25.48,26.17,24.48,24.91,138231407,NEM
18,2014-08,25.14,27.3999,24.77,27.09,108435709,NEM
19,2014-09,26.65,26.85,22.9,23.05,135657563,NEM
20,2014-10,23.2,23.71,18.51,18.76,203125681,NEM
21,2014-11,18.85,20.07,17.75,18.4,198974902,NEM
22,2014-12,18.89,20.45,17.6,18.9,214581884,NEM
23,2015-01,18.65,25.25,18.6,25.15,233554985,NEM
24,2015-02,24.74,26.7,23.59,26.33,135033241,NEM
25,2015-03,26.4,26.51,21.5,21.71,172799066,NEM
26,2015-04,21.83,26.79,21.76,26.49,144262906,NEM
27,2015-05,26.17,27.9,25.3,27.24,115029692,NEM
28,2015-06,27.35,27.48,23.1,23.36,179064274,NEM
29,2015-07,23.25,24.07,17.05,17.17,193371418,NEM
30,2015-08,17.09,18.92,15.39,17.07,200671804,NEM
31,2015-09,17.07,17.65,15.4,16.07,178269383,NEM
32,2015-10,16.23,20.57,15.75,19.46,195805327,NEM
33,2015-11,19.32,19.76,16.65,18.41,140092833,NEM
34,2015-12,18.24,20.49,17.48,17.99,151173963,NEM
35,2016-01,18.44,20.07,16.05,19.96,173418791,NEM
36,2016-02,20.02,26.4,19.6,25.83,276978628,NEM
37,2016-03,26.28,28.3935,24.59,26.58,199615777,NEM
38,2016-04,26.0,34.99,25.63,34.97,173003722,NEM
39,2016-05,35.06,35.75,30.86,32.41,196885870,NEM
40,2016-06,32.52,39.245,31.68,39.12,189297917,NEM
41,2016-07,39.86,44.17,39.05,44.0,157263275,NEM
42,2016-08,43.78,46.07,37.76,38.24,149647084,NEM
43,2016-09,38.03,42.69,37.62,39.29,145119407,NEM
44,2016-10,39.04,39.33,33.29,37.04,141637524,NEM
45,2016-11,37.7,38.87,30.19,32.44,185191888,NEM
46,2016-12,32.1,36.085,30.4,34.07,181002316,NEM
47,2017-01,34.12,37.25,33.52,36.28,149781848,NEM
48,2017-02,35.74,38.01,33.78,34.24,119750112,NEM
49,2017-03,33.74,34.71,32.15,32.96,150249819,NEM
50,2017-04,33.05,35.53,32.03,33.81,127577160,NEM
51,2017-05,33.65,34.81,32.12,34.15,108397972,NEM
52,2017-06,33.58,35.561,32.12,32.39,104514437,NEM
53,2017-07,31.78,37.35,31.42,37.17,103625569,NEM
54,2017-08,37.1,38.91,35.22,38.34,111796940,NEM
55,2017-09,38.59,39.625,36.88,37.51,98859957,NEM
56,2017-10,37.33,38.8462,35.07,36.16,86695112,NEM
57,2017-11,36.36,37.59,35.49,36.99,88897741,NEM
58,2017-12,37.07,38.04,34.1977,37.52,97689066,NEM
59,2018-01,37.87,42.04,37.37,40.51,97558547,NEM
60,2018-02,40.23,41.02,36.88,37.03,36709275,NEM
