,date,open,high,low,close,volume,Name
0,2013-02,25.9635,28.2314,24.9714,26.8685,476471709,NFLX
1,2013-03,26.73,28.1514,25.1657,27.04,520195669,NFLX
2,2013-04,27.2785,32.0428,22.7143,30.8671,853062763,NFLX
3,2013-05,30.8457,35.55,29.1457,32.3214,536557637,NFLX
4,2013-06,32.4357,33.6971,29.3928,30.1557,412532407,NFLX
5,2013-07,30.5171,38.6157,30.2857,34.9263,540601362,NFLX
6,2013-08,35.22,41.4614,34.4828,40.5585,416565884,NFLX
7,2013-09,41.0614,45.77,40.65,44.1728,386759597,NFLX
8,2013-10,44.9671,55.5942,40.4,46.0685,840678727,NFLX
9,2013-11,46.9757,52.5428,46.45,52.2571,343913248,NFLX
10,2013-12,52.1257,54.8514,50.2857,52.5957,313568199,NFLX
11,2014-01,52.4014,58.9142,45.5814,58.4757,602287602,NFLX
12,2014-02,58.8428,65.3985,56.7157,63.6614,318080280,NFLX
13,2014-03,63.0271,65.4285,49.9828,50.2899,377475406,NFLX
14,2014-04,50.2499,54.4114,42.7857,46.0057,648980038,NFLX
15,2014-05,46.2928,60.2485,44.9085,59.6899,524085408,NFLX
16,2014-06,59.9257,64.4028,58.9285,62.9428,353042872,NFLX
17,2014-07,65.1756,67.9814,59.7885,60.3885,430134383,NFLX
18,2014-08,60.2514,69.3285,58.9299,68.2342,274474991,NFLX
19,2014-09,68.3571,69.898,62.6971,64.4542,268473135,NFLX
20,2014-10,64.0985,66.8556,47.2857,56.1099,583487184,NFLX
21,2014-11,56.1757,56.5028,49.1428,49.5128,256641973,NFLX
22,2014-12,49.2857,51.1357,45.0772,48.8014,266217028,NFLX
23,2015-01,49.1514,65.3399,45.2642,63.1142,425979414,NFLX
24,2015-02,62.8428,69.4998,61.9557,67.8442,209704803,NFLX
25,2015-03,67.7142,68.6071,58.5728,59.5271,327869647,NFLX
26,2015-04,59.6428,82.3042,58.4642,79.4999,508470347,NFLX
27,2015-05,79.8556,90.2056,78.8942,89.1513,280028679,NFLX
28,2015-06,88.8371,100.8913,87.9442,93.8485,469261457,NFLX
29,2015-07,94.8056,117.88,92.2842,114.31,406358087,NFLX
30,2015-08,114.6,129.29,85.5,115.03,469721039,NFLX
31,2015-09,109.36,111.24,93.55,103.26,497401163,NFLX
32,2015-10,102.91,115.83,96.26,108.38,446442151,NFLX
33,2015-11,109.2,126.6,101.86,123.33,320321714,NFLX
34,2015-12,124.47,133.27,113.85,114.38,320005595,NFLX
35,2016-01,109.0,122.18,90.11,91.84,488193128,NFLX
36,2016-02,91.79,97.48,79.95,93.41,389268936,NFLX
37,2016-03,94.58,104.91,93.61,102.23,311385042,NFLX
38,2016-04,102.93,111.85,88.21,90.03,340174277,NFLX
39,2016-05,90.41,104.0,85.74,102.57,265066427,NFLX
40,2016-06,101.5,102.15,84.81,91.48,218261920,NFLX
41,2016-07,95.0,101.27,84.5,91.25,320137989,NFLX
42,2016-08,91.23,98.85,90.5,97.45,182611315,NFLX
43,2016-09,97.81,100.35,93.26,98.55,169724435,NFLX
44,2016-10,98.0,129.29,97.63,124.87,274097791,NFLX
45,2016-11,124.98,125.83,110.68,117.0,147512942,NFLX
46,2016-12,117.52,129.07,113.95,123.8,128529159,NFLX
47,2017-01,124.96,143.46,124.31,140.71,182188811,NFLX
48,2017-02,141.2,145.95,139.05,142.13,91444625,NFLX
49,2017-03,142.84,148.29,138.26,147.81,110701208,NFLX
50,2017-04,146.7,153.52,138.66,152.2,149771034,NFLX
51,2017-05,151.91,164.75,151.61,163.07,116814819,NFLX
52,2017-06,163.52,166.87,147.3,149.41,135699482,NFLX
53,2017-07,149.8,191.5,144.25,181.66,185144654,NFLX
54,2017-08,182.49,184.62,164.23,174.71,136534503,NFLX
55,2017-09,175.55,189.95,172.44,181.35,111436033,NFLX
56,2017-10,182.11,204.38,176.58,196.43,208657745,NFLX
57,2017-11,197.24,202.48,184.32,187.58,110926862,NFLX
58,2017-12,186.99,194.49,178.38,191.96,115103735,NFLX
59,2018-01,196.1,286.81,195.42,270.3,238377533,NFLX
60,2018-02,266.41,272.45,245.0,264.56,52266023,NFLX
