,date,open,high,low,close,volume,Name
0,2013-02,29.75,30.5,22.95,23.12,42372468,NFX
1,2013-03,22.97,24.72,22.14,22.42,42362582,NFX
2,2013-04,22.61,23.3,19.57,21.79,74290768,NFX
3,2013-05,21.58,25.73,21.4,23.79,59851231,NFX
4,2013-06,23.91,24.64,22.15,23.89,39763158,NFX
5,2013-07,24.08,27.85,23.56,24.6,44652717,NFX
6,2013-08,24.9,25.3,22.71,23.82,33078068,NFX
7,2013-09,24.11,28.41,23.52,27.37,61898212,NFX
8,2013-10,27.36,32.55,27.3,30.45,58347640,NFX
9,2013-11,30.49,31.75,27.77,28.1,50331926,NFX
10,2013-12,28.15,28.9,22.79,24.63,67482415,NFX
11,2014-01,24.6,26.17,23.73,24.77,55191778,NFX
12,2014-02,24.75,28.35,23.57,28.19,69311459,NFX
13,2014-03,27.7801,31.745,27.3575,31.36,59125023,NFX
14,2014-04,31.43,34.02,30.94,33.85,58361522,NFX
15,2014-05,34.0,36.77,32.72,36.48,45819322,NFX
16,2014-06,36.55,44.255,36.19,44.2,56499795,NFX
17,2014-07,44.21,45.43,40.3,40.3,53731445,NFX
18,2014-08,39.96,44.87,38.8,44.82,38988427,NFX
19,2014-09,44.63,44.66,36.97,37.07,53692696,NFX
20,2014-10,37.14,37.49,25.14,32.61,106091535,NFX
21,2014-11,32.81,35.84,27.06,27.23,52236712,NFX
22,2014-12,26.9,28.6,22.9,27.12,86419321,NFX
23,2015-01,26.84,30.255,22.31,29.78,88341458,NFX
24,2015-02,30.13,36.26,28.68,33.03,99408504,NFX
25,2015-03,32.91,35.58,30.15,35.09,66037310,NFX
26,2015-04,35.4,40.27,35.4,39.24,54242290,NFX
27,2015-05,39.15,39.98,33.96,37.81,57680985,NFX
28,2015-06,37.88,38.64,34.83,36.12,55484091,NFX
29,2015-07,36.07,36.77,29.84,32.79,79061490,NFX
30,2015-08,32.31,36.68,26.78,33.31,95295846,NFX
31,2015-09,32.29,36.57,31.12,32.9,73723441,NFX
32,2015-10,33.67,41.17,33.12,40.19,69747975,NFX
33,2015-11,39.87,41.34,37.34,38.26,68930596,NFX
34,2015-12,38.32,39.22,29.88,32.56,77187609,NFX
35,2016-01,32.48,33.01,22.2,29.07,89082152,NFX
36,2016-02,28.24,29.18,20.84,27.23,133272444,NFX
37,2016-03,27.46,34.97,26.74,33.25,117117131,NFX
38,2016-04,32.47,38.78,30.88,36.25,64725266,NFX
39,2016-05,36.43,41.99,33.54,40.77,83849363,NFX
40,2016-06,40.22,44.79,38.49,44.18,76704313,NFX
41,2016-07,44.18,45.61,41.45,43.3,51135592,NFX
42,2016-08,42.95,47.56,40.44,43.36,67337795,NFX
43,2016-09,43.1,46.25,39.25,43.46,57153131,NFX
44,2016-10,43.42,44.53,40.33,40.59,48864948,NFX
45,2016-11,40.99,45.87,37.17,45.22,72202032,NFX
46,2016-12,46.54,50.0,40.0,40.5,54968326,NFX
47,2017-01,41.45,43.64,39.476,40.08,39324400,NFX
48,2017-02,40.44,43.74,36.185,36.46,61724358,NFX
49,2017-03,36.97,37.24,33.0,36.91,81049279,NFX
50,2017-04,36.88,37.61,34.09,34.62,41585683,NFX
51,2017-05,34.57,37.0,31.86,32.48,64519252,NFX
52,2017-06,32.66,33.04,27.22,28.46,81907266,NFX
53,2017-07,28.5,29.61,25.46,28.73,63757720,NFX
54,2017-08,26.43,27.88,24.41,26.13,70452322,NFX
55,2017-09,26.18,30.05,24.47,29.67,54495837,NFX
56,2017-10,29.16,31.15,28.06,30.79,59663548,NFX
57,2017-11,31.91,33.33,28.991,30.93,57213938,NFX
58,2017-12,31.29,32.35,27.77,31.53,41870988,NFX
59,2018-01,31.84,35.2,31.44,31.66,55889909,NFX
60,2018-02,31.75,32.28,28.46,28.53,17745722,NFX
