,date,open,high,low,close,volume,Name
0,2013-02,26.93,27.78,26.7,27.7,29922090,NI
1,2013-03,27.66,29.38,27.51,29.34,38180161,NI
2,2013-04,29.21,31.39,29.05,30.73,42526665,NI
3,2013-05,30.76,30.99,28.33,28.73,55808268,NI
4,2013-06,28.72,29.52,27.11,28.64,37151471,NI
5,2013-07,28.62,31.48,28.27,30.72,34779767,NI
6,2013-08,30.99,31.26,28.99,29.26,34487716,NI
7,2013-09,29.47,31.085,28.85,30.89,48085770,NI
8,2013-10,30.89,32.52,30.09,31.52,44650205,NI
9,2013-11,31.54,32.6,30.651,31.62,40182821,NI
10,2013-12,31.6,33.48,30.7,32.88,49778313,NI
11,2014-01,32.84,34.68,32.11,34.37,47406230,NI
12,2014-02,34.35,36.82,33.25,34.82,41202083,NI
13,2014-03,34.62,35.83,33.95,35.53,38487652,NI
14,2014-04,35.53,36.53,34.36,36.32,43821520,NI
15,2014-05,36.42,37.67,35.76,37.37,41781949,NI
16,2014-06,37.38,39.69,36.181,39.34,40331504,NI
17,2014-07,39.43,39.7,37.31,37.68,37056176,NI
18,2014-08,37.24,39.81,36.0,39.67,39235872,NI
19,2014-09,39.62,41.7,38.41,40.98,49291559,NI
20,2014-10,40.94,42.5,37.58,42.06,51734795,NI
21,2014-11,42.06,42.77,40.59,41.84,37890264,NI
22,2014-12,41.56,44.91,38.84,42.42,37871352,NI
23,2015-01,42.54,44.9,41.23,43.26,36869699,NI
24,2015-02,43.41,45.1,42.09,42.91,47888289,NI
25,2015-03,42.83,44.635,40.89,44.16,41988226,NI
26,2015-04,44.06,45.25,42.8,43.42,40758881,NI
27,2015-05,43.48,47.79,42.25,47.18,48748254,NI
28,2015-06,47.14,49.16,44.77,45.59,50413678,NI
29,2015-07,45.61,45.71,16.49,17.46,127540135,NI
30,2015-08,16.6,18.185,16.2,16.79,86010666,NI
31,2015-09,16.49,18.57,16.035,18.55,63890909,NI
32,2015-10,18.7,19.8499,18.33,19.16,62183999,NI
33,2015-11,19.13,20.125,18.76,19.19,52971273,NI
34,2015-12,19.23,19.89,18.6,19.51,54404831,NI
35,2016-01,19.41,21.1276,19.05,21.01,55862544,NI
36,2016-02,21.02,22.14,20.675,21.48,67409551,NI
37,2016-03,21.57,23.735,20.94,23.56,49488681,NI
38,2016-04,23.41,24.01,21.97,22.71,54372553,NI
39,2016-05,22.69,24.305,22.6,23.86,77132366,NI
40,2016-06,23.86,26.53,23.73,26.52,59078861,NI
41,2016-07,26.46,26.94,25.16,25.66,57118664,NI
42,2016-08,25.63,25.96,23.7,23.94,77742354,NI
43,2016-09,23.91,25.58,23.2,24.11,52669967,NI
44,2016-10,24.06,24.06,22.2,23.26,54706451,NI
45,2016-11,23.13,23.19,21.17,21.94,62561236,NI
46,2016-12,21.82,22.5,21.31,22.14,61822469,NI
47,2017-01,22.17,22.735,21.65,22.37,52138172,NI
48,2017-02,22.16,24.04,21.9,23.91,65716696,NI
49,2017-03,23.58,24.285,22.96,23.79,69261504,NI
50,2017-04,23.74,24.44,23.5301,24.25,60403575,NI
51,2017-05,24.29,26.15,23.935,26.07,57510662,NI
52,2017-06,26.07,26.56,25.19,25.36,55318652,NI
53,2017-07,25.44,26.56,24.96,26.06,41327133,NI
54,2017-08,26.16,27.25,25.75,26.87,47497545,NI
55,2017-09,26.95,27.29,25.22,25.59,33471990,NI
56,2017-10,25.61,26.86,25.25,26.37,44025158,NI
57,2017-11,26.99,27.76,26.39,27.53,58497494,NI
58,2017-12,27.6,27.68,24.63,25.67,61163971,NI
59,2018-01,25.64,25.69,23.77,24.68,64561951,NI
60,2018-02,24.7,24.77,22.695,23.09,19733184,NI
