,date,open,high,low,close,volume,Name
0,2013-02,27.285,27.95,26.97,27.23,96045974,NKE
1,2013-03,27.21,30.125,26.635,29.505,197438078,NKE
2,2013-04,29.5,31.8825,28.99,31.8,147263018,NKE
3,2013-05,31.78,33.035,30.78,30.83,143184708,NKE
4,2013-06,30.8,32.035,29.555,31.84,178639328,NKE
5,2013-07,31.97,32.33,30.95,31.46,139175618,NKE
6,2013-08,31.62,33.425,31.3,31.41,136632156,NKE
7,2013-09,31.805,37.625,31.75,36.32,225752606,NKE
8,2013-10,36.52,38.445,34.98,37.88,178441026,NKE
9,2013-11,37.9,39.935,37.79,39.57,102263206,NKE
10,2013-12,39.735,40.13,37.71,39.32,162567886,NKE
11,2014-01,39.075,39.415,35.755,36.425,168007342,NKE
12,2014-02,36.38,39.5275,34.925,39.15,137175532,NKE
13,2014-03,38.815,40.045,36.505,36.93,178570846,NKE
14,2014-04,37.01,37.59,35.3,36.475,166181004,NKE
15,2014-05,36.405,38.465,35.7625,38.455,113466430,NKE
16,2014-06,38.495,39.575,36.57,38.775,165365616,NKE
17,2014-07,38.865,39.97,38.15,38.565,134547794,NKE
18,2014-08,39.895,40.15,37.95,39.275,113978726,NKE
19,2014-09,39.175,45.145,39.175,44.6,217293062,NKE
20,2014-10,44.455,47.07,41.925,46.485,183668614,NKE
21,2014-11,46.675,49.88,46.3081,49.645,99490536,NKE
22,2014-12,49.33,49.75,46.415,48.075,168756462,NKE
23,2015-01,48.275,48.725,46.015,46.125,130925134,NKE
24,2015-02,46.34,48.7025,45.3451,48.56,138933154,NKE
25,2015-03,48.445,51.895,47.59,50.165,189358694,NKE
26,2015-04,50.0,51.0,49.07,49.42,112486506,NKE
27,2015-05,49.94,52.75,49.705,50.835,114085382,NKE
28,2015-06,50.885,55.17,50.39,54.01,137113666,NKE
29,2015-07,54.475,57.97,54.295,57.61,126941414,NKE
30,2015-08,57.755,58.8599,47.25,55.875,169809456,NKE
31,2015-09,54.49,62.975,54.015,61.485,222223410,NKE
32,2015-10,61.58,66.76,60.5,65.515,177931480,NKE
33,2015-11,65.865,67.65,60.21,66.14,163168148,NKE
34,2015-12,66.06,68.195,62.15,62.5,234856860,NKE
35,2016-01,61.11,62.59,56.59,62.01,201105045,NKE
36,2016-02,61.75,63.5,53.64,61.59,211308102,NKE
37,2016-03,61.97,65.44,57.95,61.47,230587601,NKE
38,2016-04,61.22,61.85,56.89,58.94,178121773,NKE
39,2016-05,59.09,59.99,55.17,55.22,192374924,NKE
40,2016-06,53.33,55.64,51.475,55.2,316786140,NKE
41,2016-07,55.07,58.865,54.82,55.5,166877361,NKE
42,2016-08,55.73,60.33,54.28,57.65,181042086,NKE
43,2016-09,57.67,59.18,52.12,52.65,230973651,NKE
44,2016-10,52.54,53.06,50.0,50.18,190327931,NKE
45,2016-11,50.5,51.89,49.01,50.07,166220023,NKE
46,2016-12,50.11,53.35,50.06,50.83,215471088,NKE
47,2017-01,51.99,54.12,51.63,52.9,175930926,NKE
48,2017-02,52.98,58.42,52.05,57.16,178369648,NKE
49,2017-03,57.86,59.0,53.76,55.73,249523050,NKE
50,2017-04,55.74,56.69,54.5,55.41,137922961,NKE
51,2017-05,55.43,55.45,50.81,52.99,223448711,NKE
52,2017-06,53.06,59.71,50.79,59.0,275425135,NKE
53,2017-07,58.37,60.0,57.0,59.05,158127101,NKE
54,2017-08,59.0,60.53,52.065,52.81,174951250,NKE
55,2017-09,53.0,54.16,51.03,51.85,212311860,NKE
56,2017-10,52.16,57.25,50.35,54.99,245890904,NKE
57,2017-11,55.42,61.21,54.59,60.42,182939407,NKE
58,2017-12,60.42,65.185,59.24,62.55,198525198,NKE
59,2018-01,62.85,68.83,62.55,68.22,157812128,NKE
60,2018-02,67.67,67.97,62.09,65.63,49890694,NKE
