,date,open,high,low,close,volume,Name
0,2013-02,32.86,33.98,31.38,33.69,52749728,NLSN
1,2013-03,33.49,35.84,33.29,35.82,21668065,NLSN
2,2013-04,35.52,36.74,33.37,34.62,27991955,NLSN
3,2013-05,34.63,37.09,33.4,33.91,72961344,NLSN
4,2013-06,33.83,35.77,33.13,33.59,40749576,NLSN
5,2013-07,33.64,35.7,32.63,33.42,117849533,NLSN
6,2013-08,33.74,34.78,32.4,34.5,43794863,NLSN
7,2013-09,34.81,37.3,34.38,36.45,38843057,NLSN
8,2013-10,37.12,39.75,35.86,39.44,41006776,NLSN
9,2013-11,39.79,43.33,38.99,43.16,50573010,NLSN
10,2013-12,42.98,46.2,42.38,45.89,55503273,NLSN
11,2014-01,45.8,45.9,41.92,42.29,48196509,NLSN
12,2014-02,42.17,47.45,40.88,47.34,41248070,NLSN
13,2014-03,47.1,47.33,43.71,44.63,59434146,NLSN
14,2014-04,44.63,47.475,42.54,46.95,34968419,NLSN
15,2014-05,47.01,48.38,45.86,48.26,30248126,NLSN
16,2014-06,48.43,48.67,46.22,48.41,48202865,NLSN
17,2014-07,48.64,49.61,45.84,46.11,33431272,NLSN
18,2014-08,46.44,48.94,46.23,46.99,25702968,NLSN
19,2014-09,46.99,47.17,43.89,44.33,39203562,NLSN
20,2014-10,44.33,44.38,40.56,42.49,81619329,NLSN
21,2014-11,42.6,43.725,40.81,41.77,49829545,NLSN
22,2014-12,41.72,45.89,41.33,44.73,91979849,NLSN
23,2015-01,45.04,45.25,41.92,43.56,51928784,NLSN
24,2015-02,43.59,46.71,42.93,45.21,45228288,NLSN
25,2015-03,44.745,45.165,42.23,44.57,62718403,NLSN
26,2015-04,44.5,46.641999999999996,44.11,44.94,64030264,NLSN
27,2015-05,45.01,46.11,44.32,44.99,60189284,NLSN
28,2015-06,45.18,46.85,44.26,44.77,49044493,NLSN
29,2015-07,45.41,49.37,43.95,48.46,42691223,NLSN
30,2015-08,48.3,48.62,42.76,45.23,51743276,NLSN
31,2015-09,44.2,47.86,43.3,44.47,48685725,NLSN
32,2015-10,44.41,48.78,44.13,47.51,49074908,NLSN
33,2015-11,47.29,48.39,46.05,46.68,30204740,NLSN
34,2015-12,46.93,47.5,44.24,46.6,47782963,NLSN
35,2016-01,45.77,48.2,42.895,48.16,61841113,NLSN
36,2016-02,47.77,51.35,43.91,50.34,61706284,NLSN
37,2016-03,50.29,53.08,50.02,52.66,43677088,NLSN
38,2016-04,52.49,54.59,51.15,52.14,43550818,NLSN
39,2016-05,52.14,53.92,50.66,53.39,32309631,NLSN
40,2016-06,53.3,55.06,49.76,51.97,42090159,NLSN
41,2016-07,51.97,55.94,51.1,53.86,43832646,NLSN
42,2016-08,53.77,53.96,52.0,53.28,34068891,NLSN
43,2016-09,53.13,54.19,51.38,53.57,45021007,NLSN
44,2016-10,53.43,54.99,44.295,45.02,71625096,NLSN
45,2016-11,45.26,46.23,42.25,43.1,61502623,NLSN
46,2016-12,43.2,43.78,41.0,41.95,59953364,NLSN
47,2017-01,42.2,42.9,40.278,40.91,61494770,NLSN
48,2017-02,40.93,45.73,40.67,44.36,55728343,NLSN
49,2017-03,44.48,45.295,40.635,41.31,54284205,NLSN
50,2017-04,41.27,42.25,38.31,41.13,65105648,NLSN
51,2017-05,41.14,41.33,37.95,38.48,64500284,NLSN
52,2017-06,38.5,39.45,36.96,38.66,72324263,NLSN
53,2017-07,38.68,43.305,36.98,43.01,60504368,NLSN
54,2017-08,43.22,43.61,38.43,38.85,57463126,NLSN
55,2017-09,38.92,41.61,38.07,41.45,36902184,NLSN
56,2017-10,41.45,42.155,36.97,37.07,68415560,NLSN
57,2017-11,37.18,38.35,34.22,36.72,75423130,NLSN
58,2017-12,36.75,38.35,35.55,36.4,73502122,NLSN
59,2018-01,36.4,37.89,35.68,37.41,73636394,NLSN
60,2018-02,37.21,39.25,35.25,37.56,28003390,NLSN
