,date,open,high,low,close,volume,Name
0,2013-02,65.62,66.95,64.45,65.68,22221165,NOC
1,2013-03,65.39,70.21,64.2,70.15,35420172,NOC
2,2013-04,70.1,75.78,69.13,75.74,39658142,NOC
3,2013-05,75.45,84.06,75.32,82.39,40584096,NOC
4,2013-06,82.48,84.34,80.64,82.8,28094201,NOC
5,2013-07,82.78,92.99,81.74,92.06,32613724,NOC
6,2013-08,92.45,96.4201,91.97,92.27,35295268,NOC
7,2013-09,93.43,99.1,92.32,95.26,23420866,NOC
8,2013-10,95.19,108.86,92.51,107.51,29589434,NOC
9,2013-11,107.57,114.48,106.67,112.68,24571024,NOC
10,2013-12,112.6,116.19,107.21,114.61,29580636,NOC
11,2014-01,114.18,120.68,110.5,115.55,30952920,NOC
12,2014-02,116.09,123.3,109.17,121.03,28499531,NOC
13,2014-03,119.74,125.37,119.68,123.38,27804630,NOC
14,2014-04,123.16,126.0,116.11,121.51,28796400,NOC
15,2014-05,121.22,123.48,117.5,121.55,21325754,NOC
16,2014-06,121.32,124.92,119.3,119.63,21518088,NOC
17,2014-07,119.33,128.46,118.23,123.27,21623688,NOC
18,2014-08,123.53,128.66,119.97,127.22,19004053,NOC
19,2014-09,128.41,134.24,126.7405,131.76,21877522,NOC
20,2014-10,130.61,139.46,118.2401,137.96,30103885,NOC
21,2014-11,137.79,142.51,134.83,140.93,19999534,NOC
22,2014-12,140.72,153.19,138.68,147.39,30072778,NOC
23,2015-01,148.29,159.2,141.58,156.95,39596746,NOC
24,2015-02,157.29,172.3,154.69,165.71,25107285,NOC
25,2015-03,165.61,167.73,156.315,160.96,33398204,NOC
26,2015-04,160.09,165.95,152.78,154.04,21636523,NOC
27,2015-05,154.87,161.79,152.44,159.18,20466947,NOC
28,2015-06,159.09,166.55,156.181,158.63,24442358,NOC
29,2015-07,159.64,176.5,158.1,173.01,25288288,NOC
30,2015-08,172.85,176.83,152.31,163.74,23908603,NOC
31,2015-09,160.75,173.49,158.84,165.95,23643436,NOC
32,2015-10,166.0,193.99,162.68,187.75,28812954,NOC
33,2015-11,188.48,190.15,178.6,186.36,21064028,NOC
34,2015-12,187.09,191.865,182.01,188.81,25326428,NOC
35,2016-01,185.98,193.2,175.0,185.06,29701984,NOC
36,2016-02,186.38,194.8,180.1,192.22,26346148,NOC
37,2016-03,193.34,199.5,185.08,197.9,24014648,NOC
38,2016-04,196.59,208.9892,195.66,206.26,19256171,NOC
39,2016-05,206.87,218.84,205.83,212.67,18470837,NOC
40,2016-06,211.57,223.11,208.29,222.28,18913065,NOC
41,2016-07,222.5,224.12,215.62,216.63,23384438,NOC
42,2016-08,215.86,220.5175,210.62,212.07,17193824,NOC
43,2016-09,212.2,218.67,206.69,213.95,16037167,NOC
44,2016-10,213.0,230.0,212.02,229.0,20301888,NOC
45,2016-11,229.5,253.8,224.72,249.65,26772274,NOC
46,2016-12,248.85,252.02,220.72,232.58,25187510,NOC
47,2017-01,234.1,237.92,223.88,229.08,22503350,NOC
48,2017-02,228.72,249.43,227.73,247.09,18509990,NOC
49,2017-03,247.87,248.88,233.195,237.84,19531555,NOC
50,2017-04,237.58,250.0,235.16,245.96,16474313,NOC
51,2017-05,246.3,259.22,243.391,259.22,17467114,NOC
52,2017-06,257.73,262.59,252.82,256.71,14305115,NOC
53,2017-07,257.53,266.81,256.655,263.13,11683992,NOC
54,2017-08,263.32,274.61,263.04,272.21,14644764,NOC
55,2017-09,272.03,287.81,264.36,287.72,15658948,NOC
56,2017-10,288.5,306.61,287.22,295.53,14798903,NOC
57,2017-11,295.67,309.76,293.88,307.4,14403710,NOC
58,2017-12,307.0,311.1525,297.0,306.91,14510740,NOC
59,2018-01,307.35,344.2,303.21,340.53,18021014,NOC
60,2018-02,340.53,349.18,313.01,337.66,8040123,NOC
