,date,open,high,low,close,volume,Name
0,2013-02,68.34,71.12,66.02,68.13,55157906,NOV
1,2013-03,67.78,71.305,65.56,70.75,79530678,NOV
2,2013-04,70.76,71.09,63.08,65.22,85625518,NOV
3,2013-05,64.68,71.9,63.25,70.3,90760935,NOV
4,2013-06,70.56,72.0,66.01,68.9,65507472,NOV
5,2013-07,69.43,74.37,68.07,70.17,71378108,NOV
6,2013-08,70.89,74.87,70.38,74.3,60528289,NOV
7,2013-09,75.09,80.27,75.09,78.11,56682923,NOV
8,2013-10,78.0,83.07,77.46,81.18,66160826,NOV
9,2013-11,81.2,84.705,79.8,81.5,51081260,NOV
10,2013-12,81.74,82.66,76.6,79.53,57486016,NOV
11,2014-01,79.4,80.32,72.67,75.01,86111375,NOV
12,2014-02,75.19,77.4,73.1,77.04,89448959,NOV
13,2014-03,76.58,79.12,73.095,77.87,82377885,NOV
14,2014-04,77.82,83.82,76.9403,78.53,85761265,NOV
15,2014-05,78.62,83.22,78.25,81.87,62928777,NOV
16,2014-06,74.7,82.75,73.79,82.35,71020080,NOV
17,2014-07,82.66,86.41,80.9,81.04,68912895,NOV
18,2014-08,81.09,86.46,80.52,86.43,53630084,NOV
19,2014-09,86.5,86.55,75.23,76.1,74815033,NOV
20,2014-10,76.2,76.7255,67.25,72.64,114329078,NOV
21,2014-11,71.97,74.65,65.61,67.04,88686571,NOV
22,2014-12,66.09,67.92,60.88,65.53,110859624,NOV
23,2015-01,64.97,66.02,52.14,54.43,127954724,NOV
24,2015-02,55.16,57.66,49.25,54.35,155106153,NOV
25,2015-03,54.25,56.165,46.08,49.99,154641375,NOV
26,2015-04,50.19,56.64,49.6,54.41,126656588,NOV
27,2015-05,54.35,56.13,49.075,49.19,93371743,NOV
28,2015-06,49.16,50.7,47.47,48.28,94837924,NOV
29,2015-07,48.26,48.47,40.3,42.13,122715899,NOV
30,2015-08,41.74,42.55,34.54,42.33,156217683,NOV
31,2015-09,40.77,42.48,36.32,37.65,120280628,NOV
32,2015-10,38.3,42.62,34.56,37.64,132626909,NOV
33,2015-11,37.28,40.24,36.58,37.34,73605060,NOV
34,2015-12,37.39,38.04,32.89,33.49,129795619,NOV
35,2016-01,33.51,34.61,28.51,32.54,135007088,NOV
36,2016-02,31.93,32.35,25.74,29.27,156600752,NOV
37,2016-03,29.64,35.2,28.87,31.1,159098437,NOV
38,2016-04,30.36,36.49,26.86,36.04,161626029,NOV
39,2016-05,35.95,36.28,30.91,32.95,112963816,NOV
40,2016-06,32.33,37.49,31.25,33.65,101648793,NOV
41,2016-07,33.65,34.59,29.79,32.35,82279000,NOV
42,2016-08,32.0,36.21,31.0,33.54,80433076,NOV
43,2016-09,33.4,38.55,31.89,36.74,88893347,NOV
44,2016-10,36.01,37.8,31.96,32.1,90241625,NOV
45,2016-11,32.43,37.91,31.025,37.36,78159790,NOV
46,2016-12,37.98,43.63,37.32,37.44,74059038,NOV
47,2017-01,38.12,39.94,36.82,37.81,59563095,NOV
48,2017-02,38.19,41.54,37.26,40.42,83283877,NOV
49,2017-03,40.89,41.895,36.435,40.09,81394802,NOV
50,2017-04,40.18,40.33,34.13,34.97,71498932,NOV
51,2017-05,34.87,35.37,32.11,32.67,68945713,NOV
52,2017-06,32.79,34.81,31.385,32.94,77972790,NOV
53,2017-07,33.17,35.34,31.61,32.71,54922991,NOV
54,2017-08,32.53,33.21,29.9,30.67,71114319,NOV
55,2017-09,30.7,36.4786,30.49,35.73,63091440,NOV
56,2017-10,35.34,36.22,32.01,34.19,66207250,NOV
57,2017-11,34.49,35.83,31.47,33.55,63900751,NOV
58,2017-12,33.8,36.13,31.99,36.02,59469554,NOV
59,2018-01,36.13,39.3,35.75,36.68,60608007,NOV
60,2018-02,36.8,37.53,33.001,34.05,22160439,NOV
