,date,open,high,low,close,volume,Name
0,2013-02,68.85,73.79,68.6,73.05,31427144,NSC
1,2013-03,72.61,77.415,72.21,77.08,40434227,NSC
2,2013-04,76.94,78.08,72.26,77.42,47633947,NSC
3,2013-05,76.85,81.0,74.89,76.59,41326114,NSC
4,2013-06,77.01,78.36,70.27,72.65,46082879,NSC
5,2013-07,72.99,78.2,71.51,73.16,43492536,NSC
6,2013-08,73.96,76.55,71.86,72.16,31921125,NSC
7,2013-09,72.89,78.91,71.88,77.35,29271417,NSC
8,2013-10,77.37,88.99,76.085,86.02,48927700,NSC
9,2013-11,86.4,88.42,85.0,87.69,27713743,NSC
10,2013-12,87.7,93.17,86.55,92.83,31729311,NSC
11,2014-01,92.33,95.095,87.14,92.59,46231810,NSC
12,2014-02,93.13,94.93,89.46,91.91,51904030,NSC
13,2014-03,90.96,98.09,90.9,97.17,41986533,NSC
14,2014-04,97.5,98.12,91.91,94.53,36532047,NSC
15,2014-05,94.38,101.33,92.69,100.75,26137944,NSC
16,2014-06,101.06,104.62799999999999,98.54,103.03,28768859,NSC
17,2014-07,103.21,108.84,101.55,101.66,30983005,NSC
18,2014-08,101.21,107.0,99.63,107.0,29680314,NSC
19,2014-09,107.0,113.41,106.6,111.6,29619827,NSC
20,2014-10,110.86,113.5,101.8,110.64,55117733,NSC
21,2014-11,110.5,117.64,108.13,111.64,31526908,NSC
22,2014-12,111.08,112.22,101.02,109.61,53777186,NSC
23,2015-01,110.7,111.0597,99.8,101.97,50792599,NSC
24,2015-02,102.2,112.05,102.09299999999999,109.16,37454678,NSC
25,2015-03,109.61,111.76,101.96,102.92,45648673,NSC
26,2015-04,102.65,107.31,97.81,100.85,54772044,NSC
27,2015-05,101.54,104.58,91.85,92.0,43242464,NSC
28,2015-06,92.48,93.81,86.74,87.36,40686763,NSC
29,2015-07,87.88,88.65,82.31,84.33,43668321,NSC
30,2015-08,84.27,84.53,72.1,77.91,52847277,NSC
31,2015-09,76.23,82.3,74.36,76.4,46921462,NSC
32,2015-10,77.23,84.0,75.92,80.03,41102695,NSC
33,2015-11,79.08,98.75,78.47,95.06,62404550,NSC
34,2015-12,95.2,95.88,83.23,84.59,47418385,NSC
35,2016-01,83.64,83.655,66.51,70.5,35744727,NSC
36,2016-02,70.16,77.15,64.51,73.17,33772683,NSC
37,2016-03,73.69,86.66,73.31,83.25,41447463,NSC
38,2016-04,82.43,94.1,78.15,90.11,45762789,NSC
39,2016-05,90.82,91.05,81.48,84.06,36875375,NSC
40,2016-06,83.3,87.5,78.73,85.13,33694929,NSC
41,2016-07,84.89,93.09,83.23,89.78,32032012,NSC
42,2016-08,89.67,94.43,86.88,93.9,28171965,NSC
43,2016-09,94.11,97.28,89.92,97.06,29529146,NSC
44,2016-10,96.59,97.82,89.95,93.0,36493640,NSC
45,2016-11,93.28,107.32,90.98,106.46,46213453,NSC
46,2016-12,106.87,111.43,105.09,108.07,33046200,NSC
47,2017-01,108.91,122.17,105.89,117.46,50621957,NSC
48,2017-02,117.37,125.0,117.25,121.03,35376598,NSC
49,2017-03,122.2,124.5,109.27,111.97,48559958,NSC
50,2017-04,112.23,120.74,111.07,117.49,37242242,NSC
51,2017-05,117.65,124.43,111.21,124.03,37377004,NSC
52,2017-06,124.4,125.31,116.3,121.7,34293690,NSC
53,2017-07,122.32,124.24,112.25,112.58,33753910,NSC
54,2017-08,113.52,121.92,111.44,120.52,37911619,NSC
55,2017-09,121.18,144.63,120.13,132.24,27643008,NSC
56,2017-10,132.65,134.52,125.8,131.42,37105916,NSC
57,2017-11,132.45,139.98,125.59,138.63,28463145,NSC
58,2017-12,138.94,146.33,134.83,144.9,27944518,NSC
59,2018-01,145.96,157.1499,144.83,150.88,38642956,NSC
60,2018-02,149.28,150.35,134.55,142.68,9630169,NSC
