,date,open,high,low,close,volume,Name
0,2013-02,35.59,36.61,33.51,33.84,90734607,NTAP
1,2013-03,33.81,34.945,32.975,34.16,100627227,NTAP
2,2013-04,34.07,36.16,32.75,34.89,176297613,NTAP
3,2013-05,34.81,39.15,33.61,37.53,267553956,NTAP
4,2013-06,37.51,39.51,37.02,37.78,118627960,NTAP
5,2013-07,37.74,42.11,37.72,41.12,106027835,NTAP
6,2013-08,41.22,43.125,40.2,41.54,123444874,NTAP
7,2013-09,41.62,44.65,41.62,42.62,99889468,NTAP
8,2013-10,42.67,43.145,38.68,38.81,124751977,NTAP
9,2013-11,38.98,42.685,38.34,41.25,84896347,NTAP
10,2013-12,40.5,41.95,39.0,41.14,67827589,NTAP
11,2014-01,41.01,45.96,39.6,42.34,88559687,NTAP
12,2014-02,43.32,44.28,39.65,40.41,91272301,NTAP
13,2014-03,40.1,41.03,36.0411,36.9,146238430,NTAP
14,2014-04,36.92,38.299,34.21,35.61,81950279,NTAP
15,2014-05,35.69,37.17,33.34,37.01,102586321,NTAP
16,2014-06,36.19,37.69,35.33,36.52,77804032,NTAP
17,2014-07,36.65,39.3,36.03,38.84,75935555,NTAP
18,2014-08,38.76,42.165,38.18,42.16,70295050,NTAP
19,2014-09,42.1,43.75,41.81,42.96,59792235,NTAP
20,2014-10,42.62,42.86,37.44,42.8,67105661,NTAP
21,2014-11,42.8,43.67,40.38,42.55,57064212,NTAP
22,2014-12,42.06,43.58,40.18,41.45,53210920,NTAP
23,2015-01,41.68,41.788999999999994,37.54,37.8,50478833,NTAP
24,2015-02,37.8,39.9,35.88,38.65,65612584,NTAP
25,2015-03,38.29,38.93,34.975,35.46,78403866,NTAP
26,2015-04,35.4,37.07,34.94,36.25,64101982,NTAP
27,2015-05,36.45,36.98,30.85,33.4,108156373,NTAP
28,2015-06,33.27,34.72,31.42,31.56,94198977,NTAP
29,2015-07,32.28,32.28,30.25,31.15,76106566,NTAP
30,2015-08,31.17,32.29,28.88,31.96,92316850,NTAP
31,2015-09,31.07,32.73,28.75,29.6,72949547,NTAP
32,2015-10,29.65,34.81,28.8501,34.0,65308178,NTAP
33,2015-11,33.93,34.73,30.12,30.66,62402037,NTAP
34,2015-12,30.29,31.64,25.21,26.53,92606937,NTAP
35,2016-01,26.16,26.24,20.66,21.93,87529213,NTAP
36,2016-02,21.69,25.56,20.89,24.84,96230761,NTAP
37,2016-03,25.04,27.51,24.89,27.29,68773067,NTAP
38,2016-04,26.99,27.19,23.38,23.64,61582763,NTAP
39,2016-05,23.69,26.31,22.5,25.53,67838597,NTAP
40,2016-06,24.44,26.03,22.89,24.59,77708130,NTAP
41,2016-07,24.54,26.95,23.08,26.35,45368251,NTAP
42,2016-08,26.3,35.49,25.82,34.59,82793076,NTAP
43,2016-09,34.74,36.1,33.88,35.82,64066924,NTAP
44,2016-10,35.58,35.64,33.271,33.94,55785887,NTAP
45,2016-11,33.94,39.0,30.36,36.56,95770805,NTAP
46,2016-12,36.16,37.31,34.72,35.27,71892349,NTAP
47,2017-01,35.44,38.97,35.08,38.32,47474644,NTAP
48,2017-02,38.55,42.18,37.58,41.83,61113485,NTAP
49,2017-03,42.02,43.14,40.3001,41.85,70254708,NTAP
50,2017-04,41.87,42.34,39.33,39.85,51665245,NTAP
51,2017-05,40.01,41.8,39.06,40.49,66815324,NTAP
52,2017-06,39.85,40.59,37.43,40.05,71531049,NTAP
53,2017-07,40.44,45.24,38.2,43.42,68719142,NTAP
54,2017-08,43.72,43.83,37.84,38.66,68614844,NTAP
55,2017-09,38.82,44.47,37.55,43.76,57854785,NTAP
56,2017-10,43.89,45.14,42.99,44.42,55921924,NTAP
57,2017-11,44.74,57.75,43.91,56.51,69563686,NTAP
58,2017-12,55.59,58.99,54.93,55.32,51132725,NTAP
59,2018-01,55.5,64.0599,55.41,61.5,55439827,NTAP
60,2018-02,61.37,62.37,53.86,57.63,15372429,NTAP
