,date,open,high,low,close,volume,Name
0,2013-02,52.64,53.96,51.925,53.19,14954921,NTRS
1,2013-03,53.05,55.5,52.48,54.559,22405169,NTRS
2,2013-04,54.38,56.66,51.9,53.92,29989541,NTRS
3,2013-05,53.88,59.33,53.04,58.15,31360269,NTRS
4,2013-06,58.53,59.09,56.4,57.9,31999053,NTRS
5,2013-07,58.13,62.02,58.04,58.54,27811175,NTRS
6,2013-08,58.97,59.66,54.59,54.87,17727368,NTRS
7,2013-09,55.38,56.82,53.92,54.38,28037135,NTRS
8,2013-10,54.44,57.69,52.4,56.42,32149349,NTRS
9,2013-11,56.38,59.401,56.04,58.99,19625826,NTRS
10,2013-12,58.91,62.0,56.66,61.89,25945476,NTRS
11,2014-01,61.76,63.0,59.83,60.22,31120785,NTRS
12,2014-02,60.3,62.84,58.305,61.85,18406467,NTRS
13,2014-03,61.43,67.17,60.78,65.56,23455590,NTRS
14,2014-04,65.78,65.98,58.301,60.25,33111920,NTRS
15,2014-05,60.27,61.92,58.61,60.4,17395478,NTRS
16,2014-06,60.46,64.97,60.195,64.21,19830369,NTRS
17,2014-07,64.51,68.11,63.11,66.89,24482348,NTRS
18,2014-08,66.8,69.44,64.06,69.35,24439593,NTRS
19,2014-09,69.54,70.84,67.62,68.03,24845181,NTRS
20,2014-10,68.1,68.7,60.78,66.3,33630979,NTRS
21,2014-11,66.23,69.15,65.2,67.73,17756397,NTRS
22,2014-12,67.49,69.0,64.72,67.4,18288247,NTRS
23,2015-01,67.68,68.62,61.1,65.38,27886577,NTRS
24,2015-02,65.95,71.8399,65.46,69.83,23394663,NTRS
25,2015-03,70.08,72.72,68.17,69.65,22956378,NTRS
26,2015-04,69.36,74.27,68.88,73.15,25950119,NTRS
27,2015-05,73.64,76.63,73.3,74.55,21137983,NTRS
28,2015-06,74.79,78.88,73.77,76.46,26245206,NTRS
29,2015-07,77.36,79.25,73.92,76.49,24601028,NTRS
30,2015-08,76.77,78.7,65.17,69.84,27362021,NTRS
31,2015-09,67.96,71.8,66.05,68.16,27655762,NTRS
32,2015-10,68.14,72.09,64.77,70.39,31701817,NTRS
33,2015-11,70.8,76.11,70.6,74.94,22942519,NTRS
34,2015-12,75.45,75.77,68.5,72.09,29769578,NTRS
35,2016-01,70.29,71.13,58.74,62.08,38768785,NTRS
36,2016-02,61.57,62.02,54.38,59.38,37783785,NTRS
37,2016-03,60.04,66.69,60.04,65.17,27514160,NTRS
38,2016-04,64.52,73.0,62.67,71.08,29776284,NTRS
39,2016-05,71.75,74.86,68.04,74.1,26189540,NTRS
40,2016-06,72.78,74.36,61.32,66.26,32344259,NTRS
41,2016-07,65.76,69.28,61.86,67.59,26567617,NTRS
42,2016-08,67.57,71.15,65.92,70.59,18584181,NTRS
43,2016-09,70.97,71.66,66.395,67.99,20754619,NTRS
44,2016-10,67.73,72.91,67.58,72.42,24650133,NTRS
45,2016-11,72.88,83.09,71.62,82.15,33176221,NTRS
46,2016-12,82.56,90.96,81.62,89.05,30687913,NTRS
47,2017-01,90.34,91.14,81.92,82.96,26572997,NTRS
48,2017-02,83.76,88.99,81.96,87.35,18297488,NTRS
49,2017-03,88.77,90.67,83.17,86.58,27662043,NTRS
50,2017-04,86.47,92.29,84.93,90.0,19704504,NTRS
51,2017-05,90.49,91.6,85.4104,87.44,21105021,NTRS
52,2017-06,87.76,98.72,86.81,97.21,23633058,NTRS
53,2017-07,97.67,99.3,86.57,87.51,29824816,NTRS
54,2017-08,88.16,90.51,86.76,88.5,25265869,NTRS
55,2017-09,88.67,92.64,85.69,91.93,23780207,NTRS
56,2017-10,91.81,97.11,91.06,93.52,30176431,NTRS
57,2017-11,93.93,99.07,91.2,97.78,18566171,NTRS
58,2017-12,98.13,101.455,95.62,99.89,17801217,NTRS
59,2018-01,104.84,108.91,98.82,105.39,24050528,NTRS
60,2018-02,104.82,107.49,95.84,100.73,8818833,NTRS
