,date,open,high,low,close,volume,Name
0,2013-02,12.37,12.85,12.05,12.66,193983693,NVDA
1,2013-03,12.57,13.0,12.32,12.83,165272139,NVDA
2,2013-04,12.8,13.77,12.04,13.77,234630952,NVDA
3,2013-05,13.77,14.98,13.52,14.47,207262047,NVDA
4,2013-06,14.49,15.48,13.83,14.04,232258466,NVDA
5,2013-07,14.14,14.78,13.96,14.435,130747908,NVDA
6,2013-08,14.49,15.4,13.11,14.75,196454937,NVDA
7,2013-09,14.79,16.1,14.67,15.56,120523488,NVDA
8,2013-10,15.58,16.01,15.0,15.189,144307249,NVDA
9,2013-11,15.27,16.315,14.52,15.6,165742915,NVDA
10,2013-12,15.54,16.1,14.9,16.02,154213190,NVDA
11,2014-01,15.92,16.44,15.33,15.7,135455500,NVDA
12,2014-02,15.81,19.05,15.32,18.38,193121251,NVDA
13,2014-03,17.97,18.97,17.56,17.91,180462792,NVDA
14,2014-04,18.48,19.46,17.88,18.47,173435525,NVDA
15,2014-05,18.75,19.13,17.71,19.0,140319942,NVDA
16,2014-06,19.06,19.73,18.23,18.54,131929908,NVDA
17,2014-07,18.52,19.6,17.415,17.5,156733216,NVDA
18,2014-08,17.5,19.49,17.34,19.45,152023064,NVDA
19,2014-09,19.5,20.15,18.2236,18.45,137810992,NVDA
20,2014-10,18.48,19.55,16.77,19.54,165190718,NVDA
21,2014-11,19.99,21.09,19.375,20.97,116079517,NVDA
22,2014-12,20.88,21.25,19.1,20.05,106485166,NVDA
23,2015-01,20.13,20.745,19.08,19.205,103509462,NVDA
24,2015-02,19.32,22.5,18.94,22.06,104839455,NVDA
25,2015-03,22.0,23.605,20.46,20.925,182761992,NVDA
26,2015-04,21.01,22.84,20.65,22.195,141841084,NVDA
27,2015-05,22.38,22.88,20.38,22.13,177033827,NVDA
28,2015-06,22.27,22.6001,19.97,20.11,183345778,NVDA
29,2015-07,20.61,20.9,19.09,19.95,137012807,NVDA
30,2015-08,20.11,23.95,19.85,22.48,236738754,NVDA
31,2015-09,21.83,24.68,21.4,24.65,162006972,NVDA
32,2015-10,24.65,28.78,23.47,28.37,201349013,NVDA
33,2015-11,28.46,31.94,27.63,31.72,183626338,NVDA
34,2015-12,32.0,33.94,31.97,32.96,140690850,NVDA
35,2016-01,32.29,33.44,26.45,29.29,203476313,NVDA
36,2016-02,29.26,32.1162,24.75,31.36,225001134,NVDA
37,2016-03,31.44,36.25,31.04,35.63,164454439,NVDA
38,2016-04,35.41,37.46,34.63,35.53,168356804,NVDA
39,2016-05,35.87,46.815,34.4,46.72,259213398,NVDA
40,2016-06,46.5,48.54,44.57,47.01,204978756,NVDA
41,2016-07,46.75,57.25,46.03,57.1,180251256,NVDA
42,2016-08,57.34,63.4964,55.5,61.34,232628024,NVDA
43,2016-09,61.39,69.19,57.315,68.52,216644185,NVDA
44,2016-10,68.52,72.95,63.7,71.16,163789051,NVDA
45,2016-11,71.42,95.2499,66.575,92.2,319186695,NVDA
46,2016-12,92.1,119.93,84.77,106.74,452055630,NVDA
47,2017-01,104.4,111.89,99.11,109.18,334936385,NVDA
48,2017-02,110.58,120.92,95.7,101.48,355169590,NVDA
49,2017-03,103.79,110.0,95.17,108.93,357243119,NVDA
50,2017-04,108.95,109.65,95.49,104.3,239216479,NVDA
51,2017-05,104.74,147.0,102.31,144.35,480270766,NVDA
52,2017-06,144.99,168.5,142.11,144.56,586138059,NVDA
53,2017-07,145.05,169.92700000000002,138.58,162.51,387275410,NVDA
54,2017-08,162.125,174.56,152.91,169.44,368205214,NVDA
55,2017-09,169.95,191.2,162.71,178.77,361216519,NVDA
56,2017-10,180.8,207.89,177.0,206.81,285566473,NVDA
57,2017-11,209.35,218.67,191.23,200.71,294740561,NVDA
58,2017-12,199.31,200.3,180.58,193.5,252805405,NVDA
59,2018-01,195.78,249.27,194.5,245.8,286405440,NVDA
60,2018-02,238.52,246.9,204.0,228.8,108015614,NVDA
