,date,open,high,low,close,volume,Name
0,2013-02,24.14,24.51,22.46,23.34,42973712,NWL
1,2013-03,23.25,26.11,23.06,26.1,59229680,NWL
2,2013-04,26.15,26.961,24.9,26.34,55646176,NWL
3,2013-05,26.35,28.47,25.9,27.04,60542509,NWL
4,2013-06,27.03,27.85,25.25,26.25,47228587,NWL
5,2013-07,26.24,27.97,25.885,27.02,34029152,NWL
6,2013-08,27.21,27.88,24.32,25.3,52019875,NWL
7,2013-09,25.6,27.82,25.6,27.5,40153516,NWL
8,2013-10,27.52,30.44,26.29,29.63,43488568,NWL
9,2013-11,29.75,30.54,28.6,30.35,29079391,NWL
10,2013-12,30.23,32.54,29.64,32.41,42691760,NWL
11,2014-01,32.4,32.54,29.59,30.9,50543289,NWL
12,2014-02,30.85,32.31,30.07,32.11,40933319,NWL
13,2014-03,31.88,32.3,29.14,29.9,68021781,NWL
14,2014-04,30.06,30.61,28.61,30.11,43345603,NWL
15,2014-05,30.04,30.52,28.27,29.28,45416392,NWL
16,2014-06,29.34,31.61,28.89,30.99,41551830,NWL
17,2014-07,31.03,33.17,30.85,32.48,41954136,NWL
18,2014-08,32.44,33.93,32.34,33.52,32626737,NWL
19,2014-09,33.69,35.25,33.6,34.41,31098717,NWL
20,2014-10,34.41,35.43,31.14,33.33,47291196,NWL
21,2014-11,33.55,36.39,33.37,36.31,31693227,NWL
22,2014-12,36.19,38.73,34.44,38.09,41301966,NWL
23,2015-01,38.15,38.77,36.69,36.87,41929979,NWL
24,2015-02,36.94,40.365,36.33,39.29,32941364,NWL
25,2015-03,39.49,39.86,37.55,39.07,29470778,NWL
26,2015-04,39.05,40.73,37.95,38.13,27674530,NWL
27,2015-05,39.33,40.48,38.53,39.53,32035666,NWL
28,2015-06,39.6,42.0,39.135,41.11,36751810,NWL
29,2015-07,41.49,44.0,40.16,43.28,32140711,NWL
30,2015-08,43.46,44.51,39.31,42.13,33745635,NWL
31,2015-09,41.21,44.3,38.175,39.71,44048211,NWL
32,2015-10,40.08,43.9,39.39,42.43,46778060,NWL
33,2015-11,42.54,44.99,42.39,44.66,34429711,NWL
34,2015-12,44.83,50.9,40.12,44.08,124919931,NWL
35,2016-01,43.31,43.83,34.5,38.78,117797113,NWL
36,2016-02,39.18,39.42,33.26,38.01,110765982,NWL
37,2016-03,38.33,45.57,37.96,44.29,108253103,NWL
38,2016-04,43.86,46.9,43.11,45.54,171148650,NWL
39,2016-05,46.21,49.18,45.84,47.69,96970896,NWL
40,2016-06,47.56,49.485,44.83,48.57,94044766,NWL
41,2016-07,48.57,53.75,47.07,52.46,78567121,NWL
42,2016-08,52.58,55.45,52.41,53.08,85093127,NWL
43,2016-09,52.84,54.38,49.11,52.66,83696132,NWL
44,2016-10,52.44,53.22,47.86,48.02,79411732,NWL
45,2016-11,48.56,50.7,45.95,47.01,99025831,NWL
46,2016-12,46.87,48.02,44.24,44.65,83695484,NWL
47,2017-01,45.0,47.7512,44.745,47.33,77075796,NWL
48,2017-02,47.3,50.17,43.43,49.03,104612943,NWL
49,2017-03,49.42,49.77,46.95,47.17,72421464,NWL
50,2017-04,47.15,49.27,45.67,47.74,57003598,NWL
51,2017-05,47.18,53.63,45.19,52.95,105215837,NWL
52,2017-06,53.0,55.08,52.0,53.62,80207321,NWL
53,2017-07,53.86,54.19,51.91,52.72,45086189,NWL
54,2017-08,51.08,53.09,47.13,48.28,91962578,NWL
55,2017-09,48.64,49.24,30.8,42.67,130112342,NWL
56,2017-10,42.7,43.99,39.575,40.78,100904989,NWL
57,2017-11,40.89,41.31,27.455,30.97,232821252,NWL
58,2017-12,30.9,32.285,30.13,30.9,114672857,NWL
59,2018-01,31.09,32.58,23.85,26.44,222359325,NWL
60,2018-02,26.44,30.17,25.56,29.46,88058670,NWL
