,date,open,high,low,close,volume,Name
0,2013-02,54.39,58.16,54.33,57.53,31584189,OMC
1,2013-03,56.84,60.05,56.69,58.9,27999167,OMC
2,2013-04,58.78,60.79,57.73,59.77,37487458,OMC
3,2013-05,59.78,64.29,59.295,62.13,40061535,OMC
4,2013-06,62.15,64.2468,60.11,62.87,33497814,OMC
5,2013-07,62.89,70.5,61.76,64.27,59686972,OMC
6,2013-08,64.88,65.3,59.7,60.65,40337553,OMC
7,2013-09,61.61,66.36,60.14,63.44,24942705,OMC
8,2013-10,64.17,68.96,61.35,68.11,33633939,OMC
9,2013-11,68.19,72.49,68.14,71.45,22503577,OMC
10,2013-12,71.37,74.5,68.79,74.37,27001455,OMC
11,2014-01,74.52,75.36,71.32,72.58,30904348,OMC
12,2014-02,72.71,76.87,70.59,75.68,33754676,OMC
13,2014-03,74.85,76.18,70.72,72.6,27827156,OMC
14,2014-04,72.8,72.84,65.96,67.68,41028666,OMC
15,2014-05,67.54,71.31,65.43,71.15,61658475,OMC
16,2014-06,71.3,71.85,69.38,71.22,31509372,OMC
17,2014-07,71.5,74.14,69.8,69.99,38291869,OMC
18,2014-08,69.77,72.79,69.55,72.01,21967676,OMC
19,2014-09,71.97,72.79,68.32,68.86,27870561,OMC
20,2014-10,68.69,73.5154,64.03,71.86,44550262,OMC
21,2014-11,72.09,77.39,71.92,77.27,23072773,OMC
22,2014-12,77.1,78.49,74.53,77.47,31895504,OMC
23,2015-01,78.0,78.06,72.5,72.8,26853898,OMC
24,2015-02,73.14,80.528,71.98,79.54,31368443,OMC
25,2015-03,79.56,80.98,76.13,77.98,21219661,OMC
26,2015-04,77.36,79.28,75.37,75.76,32079184,OMC
27,2015-05,76.22,78.6,74.05,74.53,24573429,OMC
28,2015-06,74.77,75.31,69.02,69.49,26117259,OMC
29,2015-07,70.49,74.56,68.75,73.08,42745631,OMC
30,2015-08,73.14,74.1,64.31,66.98,31905400,OMC
31,2015-09,65.59,69.99,64.1216,65.9,28362558,OMC
32,2015-10,65.6,75.58,64.44,74.92,36382758,OMC
33,2015-11,74.93,75.31,71.19,73.92,31016297,OMC
34,2015-12,74.42,77.57,73.29,75.66,41870750,OMC
35,2016-01,74.39,74.44,66.48,73.35,32916185,OMC
36,2016-02,72.91,78.69,68.05,77.81,44299973,OMC
37,2016-03,78.63,84.23,77.15,83.23,35964275,OMC
38,2016-04,82.29,85.95,82.19,82.97,35433726,OMC
39,2016-05,83.46,84.63,81.56,83.33,32073820,OMC
40,2016-06,83.14,85.75,75.61,81.49,39017504,OMC
41,2016-07,81.37,85.42,79.94,82.29,33428124,OMC
42,2016-08,82.45,86.5,80.63,86.13,25719225,OMC
43,2016-09,86.25,87.5,83.14,85.0,21617532,OMC
44,2016-10,84.46,84.96,78.78,79.82,38526404,OMC
45,2016-11,80.0,88.79,78.67,86.94,33523602,OMC
46,2016-12,86.8,89.66,81.53,85.11,41876521,OMC
47,2017-01,85.91,87.24,84.38,85.65,25162309,OMC
48,2017-02,85.67,87.43,83.82,85.1,30660203,OMC
49,2017-03,85.82,86.71,83.67,86.21,36465602,OMC
50,2017-04,86.27,86.71,81.73,82.12,40185742,OMC
51,2017-05,82.4,84.495,81.28,83.72,37058759,OMC
52,2017-06,83.69,85.44,79.86,82.9,39699300,OMC
53,2017-07,82.69,83.64,77.5,78.74,42985776,OMC
54,2017-08,79.03,80.26,71.8,72.38,41475213,OMC
55,2017-09,72.38,76.67,71.63,74.07,37949635,OMC
56,2017-10,74.21,78.7,67.17,67.19,57710708,OMC
57,2017-11,67.68,74.97,65.32,71.44,51703259,OMC
58,2017-12,71.57,76.48,70.64,72.83,46674074,OMC
59,2018-01,72.66,78.24,69.65,76.65,48955706,OMC
60,2018-02,76.22,76.94,71.4,75.38,13367457,OMC
